algorithm,dimension,run,checkpoint,error
Adagrad_Fair,3658,0,0.01,"[(0.5152142857142857, 1.5722487871945694, 4.790467977523804)]"
Adagrad_Fair,3658,0,0.1,"[(0.15335714285714286, 0.5185617591160855, 179.3646478652954)]"
Adagrad_Fair,3658,0,0.2,"[(0.12178571428571427, 0.41411046782901006, 418.7629942893982)]"
Adagrad_Fair,3658,0,0.3,"[(0.11471428571428577, 0.37428662091292325, 651.4800038337708)]"
Adagrad_Fair,3658,0,0.4,"[(0.10792857142857137, 0.36224183934108073, 871.463663816452)]"
Adagrad_Fair,3658,0,0.5,"[(0.09742857142857142, 0.3272254460344605, 1087.3292772769928)]"
Adagrad_Fair,3658,0,0.6,"[(0.09299999999999997, 0.3111111884821993, 1320.4354965686798)]"
Adagrad_Fair,3658,0,0.7,"[(0.09064285714285714, 0.3038739990916379, 1554.5242137908936)]"
Adagrad_Fair,3658,0,0.8,"[(0.09007142857142858, 0.29510788843168395, 1768.0014045238495)]"
Adagrad_Fair,3658,0,0.9,"[(0.09007142857142858, 0.29510788843168395, 2000.1006393432617)]"
Adagrad_Fair,3658,0,1.0,"[(0.09007142857142858, 0.29510788843168395, 2227.064304113388)]"
Adagrad_Fair,3658,1,0.01,"[(0.5637142857142857, 1.6541071969414498, 2.018489360809326)]"
Adagrad_Fair,3658,1,0.1,"[(0.1567142857142857, 0.5395876949423843, 143.85297513008118)]"
Adagrad_Fair,3658,1,0.2,"[(0.12857142857142856, 0.4374360179943877, 370.3071093559265)]"
Adagrad_Fair,3658,1,0.3,"[(0.11171428571428577, 0.3832239255117256, 582.2946701049805)]"
Adagrad_Fair,3658,1,0.4,"[(0.1111428571428571, 0.3760501405530718, 799.0533828735352)]"
Adagrad_Fair,3658,1,0.5,"[(0.09878571428571425, 0.34003074947061984, 1030.4491963386536)]"
Adagrad_Fair,3658,1,0.6,"[(0.0962142857142857, 0.33516917018100173, 1252.3160338401794)]"
Adagrad_Fair,3658,1,0.7,"[(0.09350000000000003, 0.32648154616404557, 1479.9248850345612)]"
Adagrad_Fair,3658,1,0.8,"[(0.09350000000000003, 0.32648154616404557, 1697.920815229416)]"
Adagrad_Fair,3658,1,0.9,"[(0.09014285714285719, 0.3148599433329526, 1910.8550724983215)]"
Adagrad_Fair,3658,1,1.0,"[(0.09014285714285719, 0.3148599433329526, 2126.494015455246)]"
Adagrad_Fair,3658,2,0.01,"[(0.5829285714285715, 1.7536875634715698, 7.543138265609741)]"
Adagrad_Fair,3658,2,0.1,"[(0.1497857142857143, 0.5105676863841035, 154.34618067741394)]"
Adagrad_Fair,3658,2,0.2,"[(0.12835714285714284, 0.43076319807002217, 348.7726593017578)]"
Adagrad_Fair,3658,2,0.3,"[(0.12835714285714284, 0.43076319807002217, 558.8103353977203)]"
Adagrad_Fair,3658,2,0.4,"[(0.10985714285714288, 0.36372446924284085, 759.1201410293579)]"
Adagrad_Fair,3658,2,0.5,"[(0.10799999999999998, 0.3572111677498784, 972.2634108066559)]"
Adagrad_Fair,3658,2,0.6,"[(0.10457142857142854, 0.34260719872916917, 1172.6647300720215)]"
Adagrad_Fair,3658,2,0.7,"[(0.10457142857142854, 0.34260719872916917, 1385.7423796653748)]"
Adagrad_Fair,3658,2,0.8,"[(0.10071428571428576, 0.32757578306599294, 1597.0379536151886)]"
Adagrad_Fair,3658,2,0.9,"[(0.10071428571428576, 0.32757578306599294, 1805.1588888168335)]"
Adagrad_Fair,3658,2,1.0,"[(0.0951428571428572, 0.31319214225683767, 1981.6192693710327)]"
Adagrad_Fair,3658,3,0.01,"[(0.4912857142857143, 1.5558498742798406, 8.710564136505127)]"
Adagrad_Fair,3658,3,0.1,"[(0.1567142857142857, 0.5288634213476684, 205.5697546005249)]"
Adagrad_Fair,3658,3,0.2,"[(0.125, 0.427804888558371, 431.969779253006)]"
Adagrad_Fair,3658,3,0.3,"[(0.11150000000000004, 0.38632352207525916, 658.1281852722168)]"
Adagrad_Fair,3658,3,0.4,"[(0.09942857142857142, 0.3372644641016796, 883.9885137081146)]"
Adagrad_Fair,3658,3,0.5,"[(0.09978571428571426, 0.3287730887886612, 1119.440402507782)]"
Adagrad_Fair,3658,3,0.6,"[(0.09450000000000003, 0.31742991888259076, 1359.0615408420563)]"
Adagrad_Fair,3658,3,0.7,"[(0.08978571428571425, 0.30191052841222604, 1596.8704884052277)]"
Adagrad_Fair,3658,3,0.8,"[(0.08514285714285719, 0.28497616444247376, 1819.858095407486)]"
Adagrad_Fair,3658,3,0.9,"[(0.08514285714285719, 0.28497616444247376, 2045.8333401679993)]"
