algorithm,dimension,run,checkpoint,error
Adagrad_Fair,3658,0,0.01,"[(0.36764285714285716, 1.198823428327211, 1.4004943370819092)]"
Adagrad_Fair,3658,0,0.1,"[(0.13549999999999995, 0.457859302973533, 132.75706553459167)]"
Adagrad_Fair,3658,0,0.2,"[(0.1130714285714286, 0.389477109467784, 347.3993113040924)]"
Adagrad_Fair,3658,0,0.3,"[(0.10971428571428576, 0.37403251770040297, 597.5574774742126)]"
Adagrad_Fair,3658,0,0.4,"[(0.10035714285714281, 0.33921006861406755, 856.7608020305634)]"
Adagrad_Fair,3658,0,0.5,"[(0.10035714285714281, 0.33921006861406755, 1100.291470527649)]"
Adagrad_Fair,3658,0,0.6,"[(0.10035714285714281, 0.33921006861406755, 1360.58456158638)]"
Adagrad_Fair,3658,0,0.7,"[(0.08499999999999996, 0.29278100777911087, 1610.0043785572052)]"
Adagrad_Fair,3658,0,0.8,"[(0.08178571428571424, 0.28525032285767116, 1855.2187943458557)]"
Adagrad_Fair,3658,0,0.9,"[(0.08178571428571424, 0.28525032285767116, 2104.414099216461)]"
Adagrad_Fair,3658,0,1.0,"[(0.08221428571428568, 0.2795958775456373, 2342.5040941238403)]"
Adagrad_Fair,3658,1,0.01,"[(0.4017857142857143, 1.1819562808083444, 3.0105369091033936)]"
Adagrad_Fair,3658,1,0.1,"[(0.13814285714285712, 0.4621706006842818, 110.29172134399414)]"
Adagrad_Fair,3658,1,0.2,"[(0.11585714285714288, 0.3917650087576682, 313.77246928215027)]"
Adagrad_Fair,3658,1,0.3,"[(0.11064285714285715, 0.37202318002213036, 506.4923412799835)]"
Adagrad_Fair,3658,1,0.4,"[(0.10099999999999998, 0.3376088211705697, 711.1037817001343)]"
Adagrad_Fair,3658,1,0.5,"[(0.09385714285714286, 0.31918987072181043, 922.4050829410553)]"
Adagrad_Fair,3658,1,0.6,"[(0.09385714285714286, 0.31918987072181043, 1124.3387429714203)]"
Adagrad_Fair,3658,1,0.7,"[(0.09385714285714286, 0.31918987072181043, 1324.6303596496582)]"
Adagrad_Fair,3658,1,0.8,"[(0.08864285714285713, 0.3001556192029957, 1521.3409473896027)]"
Adagrad_Fair,3658,1,0.9,"[(0.08864285714285713, 0.3001556192029957, 1696.0275883674622)]"
Adagrad_Fair,3658,1,1.0,"[(0.08864285714285713, 0.3001556192029957, 1898.6713690757751)]"
Adagrad_Fair,3658,2,0.01,"[(0.3235, 1.1546453609249925, 5.078798055648804)]"
Adagrad_Fair,3658,2,0.1,"[(0.13657142857142857, 0.44642082186587473, 124.68978023529053)]"
Adagrad_Fair,3658,2,0.2,"[(0.11142857142857143, 0.3691854050947955, 322.35461616516113)]"
Adagrad_Fair,3658,2,0.3,"[(0.10799999999999998, 0.3573678025822724, 499.05364537239075)]"
Adagrad_Fair,3658,2,0.4,"[(0.09842857142857142, 0.3257027477238173, 672.7050995826721)]"
Adagrad_Fair,3658,2,0.5,"[(0.09685714285714286, 0.318653799001545, 855.8919656276703)]"
Adagrad_Fair,3658,2,0.6,"[(0.09171428571428575, 0.3081409523835274, 1040.0221493244171)]"
Adagrad_Fair,3658,2,0.7,"[(0.09171428571428575, 0.3081409523835274, 1219.772604227066)]"
Adagrad_Fair,3658,2,0.8,"[(0.08635714285714291, 0.28909155917421486, 1402.2563302516937)]"
Adagrad_Fair,3658,2,0.9,"[(0.08635714285714291, 0.28909155917421486, 1589.2902126312256)]"
Adagrad_Fair,3658,2,1.0,"[(0.08550000000000002, 0.28269030551484575, 1777.917557001114)]"
Adagrad_Fair,3658,3,0.01,"[(0.3464285714285714, 1.1162940413490627, 3.412815570831299)]"
Adagrad_Fair,3658,3,0.1,"[(0.12971428571428567, 0.45529149601952185, 152.75440883636475)]"
Adagrad_Fair,3658,3,0.2,"[(0.1111428571428571, 0.38456372845441295, 412.1851954460144)]"
Adagrad_Fair,3658,3,0.3,"[(0.1052142857142857, 0.3587643543285832, 663.2645237445831)]"
Adagrad_Fair,3658,3,0.4,"[(0.09750000000000003, 0.33246052091020095, 915.4046185016632)]"
Adagrad_Fair,3658,3,0.5,"[(0.09914285714285709, 0.3286272659275969, 1171.9241676330566)]"
Adagrad_Fair,3658,3,0.6,"[(0.09692857142857148, 0.3249415034278361, 1418.9658045768738)]"
Adagrad_Fair,3658,3,0.7,"[(0.08657142857142852, 0.293708992328753, 1657.3276698589325)]"
Adagrad_Fair,3658,3,0.8,"[(0.08657142857142852, 0.293708992328753, 1902.9618301391602)]"
Adagrad_Fair,3658,3,0.9,"[(0.08657142857142852, 0.293708992328753, 2141.8780114650726)]"
Adagrad_Fair,3658,3,1.0,"[(0.08657142857142852, 0.293708992328753, 2363.414428949356)]"
Adagrad_Fair,3658,4,0.01,"[(0.4076428571428572, 1.2061023116409761, 3.8998594284057617)]"
Adagrad_Fair,3658,4,0.1,"[(0.14242857142857146, 0.4950474881310922, 107.51078128814697)]"
Adagrad_Fair,3658,4,0.2,"[(0.12642857142857145, 0.4263705881663409, 313.20061588287354)]"
Adagrad_Fair,3658,4,0.3,"[(0.11150000000000004, 0.3828440180215171, 526.6948821544647)]"
Adagrad_Fair,3658,4,0.4,"[(0.1080714285714286, 0.36048331652870114, 722.4637906551361)]"
Adagrad_Fair,3658,4,0.5,"[(0.1080714285714286, 0.36048331652870114, 924.8088579177856)]"
Adagrad_Fair,3658,4,0.6,"[(0.0972142857142857, 0.32877981798260464, 1133.0365543365479)]"
Adagrad_Fair,3658,4,0.7,"[(0.0972142857142857, 0.32877981798260464, 1332.8499624729156)]"
Adagrad_Fair,3658,4,0.8,"[(0.0912857142857143, 0.3091575063539085, 1531.1593852043152)]"
Adagrad_Fair,3658,4,0.9,"[(0.09442857142857142, 0.3123496436427364, 1736.1624128818512)]"
Adagrad_Fair,3658,4,1.0,"[(0.0892857142857143, 0.2958590053955161, 1933.350537776947)]"
Adagrad_Fair,3658,5,0.01,"[(0.35485714285714287, 1.183796213180278, 4.088745594024658)]"
Adagrad_Fair,3658,5,0.1,"[(0.13857142857142857, 0.4467458994392826, 142.6272361278534)]"
Adagrad_Fair,3658,5,0.2,"[(0.11621428571428571, 0.38369226130291334, 337.56388807296753)]"
Adagrad_Fair,3658,5,0.3,"[(0.10285714285714287, 0.3441292853745791, 515.0397057533264)]"
Adagrad_Fair,3658,5,0.4,"[(0.09850000000000003, 0.33106533341103284, 693.1269423961639)]"
Adagrad_Fair,3658,5,0.5,"[(0.09850000000000003, 0.33106533341103284, 874.4178674221039)]"
Adagrad_Fair,3658,5,0.6,"[(0.09850000000000003, 0.33106533341103284, 1054.5413179397583)]"
Adagrad_Fair,3658,5,0.7,"[(0.09850000000000003, 0.33106533341103284, 1231.6280660629272)]"
Adagrad_Fair,3658,5,0.8,"[(0.09850000000000003, 0.33106533341103284, 1416.8646728992462)]"
Adagrad_Fair,3658,5,0.9,"[(0.08207142857142857, 0.27310096247388455, 1600.4862496852875)]"
Adagrad_Fair,3658,5,1.0,"[(0.08207142857142857, 0.27310096247388455, 1786.4310884475708)]"
Adagrad_Fair,3658,6,0.01,"[(0.37949999999999995, 1.1675250810829518, 6.159178733825684)]"
Adagrad_Fair,3658,6,0.1,"[(0.13721428571428573, 0.459963355692166, 166.22580695152283)]"
Adagrad_Fair,3658,6,0.2,"[(0.11821428571428572, 0.403171310994146, 398.1161665916443)]"
Adagrad_Fair,3658,6,0.3,"[(0.1081428571428571, 0.36232531107795213, 650.4153051376343)]"
Adagrad_Fair,3658,6,0.4,"[(0.10292857142857148, 0.3517044932143113, 896.7865509986877)]"
Adagrad_Fair,3658,6,0.5,"[(0.10399999999999998, 0.34769221941390366, 1158.0134654045105)]"
Adagrad_Fair,3658,6,0.6,"[(0.10399999999999998, 0.34769221941390366, 1413.2019202709198)]"
Adagrad_Fair,3658,6,0.7,"[(0.10399999999999998, 0.34769221941390366, 1659.2544963359833)]"
Adagrad_Fair,3658,6,0.8,"[(0.08857142857142852, 0.2952289912463056, 1903.788651227951)]"
Adagrad_Fair,3658,6,0.9,"[(0.08857142857142852, 0.2952289912463056, 2140.761574983597)]"
Adagrad_Fair,3658,6,1.0,"[(0.08857142857142852, 0.2952289912463056, 2369.93696308136)]"
Adagrad_Fair,3658,7,0.01,"[(0.36564285714285716, 1.1492759327136723, 7.5610740184783936)]"
Adagrad_Fair,3658,7,0.1,"[(0.13449999999999995, 0.4591893179293835, 174.1426603794098)]"
Adagrad_Fair,3658,7,0.2,"[(0.11378571428571427, 0.3805918299880917, 374.635853767395)]"
Adagrad_Fair,3658,7,0.3,"[(0.10542857142857143, 0.35074119700968265, 637.9756486415863)]"
Adagrad_Fair,3658,7,0.4,"[(0.09992857142857148, 0.3352205333693066, 891.5927975177765)]"
