algorithm,run,checkpoint,error
adam,0,0.01,"[(0.12835714285714284, 0.019813665104362155, 38.73071074485779)]"
adam,0,0.1,"[(0.07350000000000001, 0.01122671194129421, 1238.4496281147003)]"
adam,0,0.2,"[(0.06814285714285717, 0.010475444499181695, 2631.1111171245575)]"
adam,0,0.3,"[(0.06821428571428567, 0.01073165552174205, 4023.043808221817)]"
adam,0,0.4,"[(0.07014285714285717, 0.010762603142020525, 5413.562678813934)]"
adam,0,0.5,"[(0.06985714285714284, 0.010915227655725878, 6793.181507110596)]"
adam,0,0.6,"[(0.07057142857142862, 0.011103475242330478, 8171.381094694138)]"
adam,0,0.7,"[(0.07071428571428573, 0.011216515336632142, 9565.878775119781)]"
adam,0,0.8,"[(0.07121428571428567, 0.011222979016985137, 10920.355658769608)]"
adam,0,0.9,"[(0.0685, 0.01097717289418323, 12308.380773544312)]"
adam,0,1.0,"[(0.06899999999999995, 0.011094587619285013, 13683.074774742126)]"
adam,1,0.01,"[(0.13128571428571434, 0.019904133404080097, 76.69142174720764)]"
adam,1,0.1,"[(0.07657142857142862, 0.011622454177158044, 1449.6993713378906)]"
adam,1,0.2,"[(0.0703571428571429, 0.010907000280490717, 2968.863653421402)]"
adam,1,0.3,"[(0.07457142857142862, 0.011456283581804214, 4497.519462823868)]"
adam,1,0.4,"[(0.06957142857142862, 0.010611871976020456, 6007.24404668808)]"
adam,1,0.5,"[(0.07050000000000001, 0.01105712051478923, 7401.827488183975)]"
adam,1,0.6,"[(0.06864285714285712, 0.010731076120783826, 8973.208060979843)]"
adam,1,0.7,"[(0.0704285714285714, 0.011191183179872648, 10504.253326654434)]"
adam,1,0.8,"[(0.07078571428571434, 0.011228427828028626, 12055.567514181137)]"
adam,1,0.9,"[(0.0704285714285714, 0.011173678120319476, 13453.050776720047)]"
adam,1,1.0,"[(0.07071428571428573, 0.011304641664459556, 14434.242121458054)]"
adam,2,0.01,"[(0.13278571428571428, 0.020004769401249314, 70.69476652145386)]"
adam,2,0.1,"[(0.07971428571428574, 0.012103545673521397, 1262.7070562839508)]"
adam,2,0.2,"[(0.07521428571428568, 0.011198715675059737, 2658.559408187866)]"
adam,2,0.3,"[(0.07150000000000001, 0.010807316738477922, 4045.9650406837463)]"
adam,2,0.4,"[(0.0685, 0.01041920771610953, 5416.771926164627)]"
adam,2,0.5,"[(0.06964285714285712, 0.010886592951163837, 6807.490658521652)]"
adam,2,0.6,"[(0.07107142857142856, 0.01093582398877838, 8197.72786641121)]"
adam,2,0.7,"[(0.07385714285714284, 0.011450547072497147, 9596.073392152786)]"
adam,2,0.8,"[(0.0724285714285714, 0.011201526037912945, 10994.868524312973)]"
adam,2,0.9,"[(0.07071428571428573, 0.01113816824550706, 12392.289007902145)]"
adam,2,1.0,"[(0.07364285714285712, 0.011505954801318932, 13757.289556026459)]"
adam,3,0.01,"[(0.134, 0.02052869017796051, 71.10191893577576)]"
adam,3,0.1,"[(0.07578571428571423, 0.011421040475466607, 1630.9962961673737)]"
adam,3,0.2,"[(0.07328571428571429, 0.011079017935564062, 3079.9933018684387)]"
adam,3,0.3,"[(0.07207142857142856, 0.011266278181832259, 4618.356661558151)]"
adam,3,0.4,"[(0.07092857142857145, 0.011020057072985248, 6127.444800615311)]"
adam,3,0.5,"[(0.06907142857142856, 0.01065138752531571, 7788.583302497864)]"
adam,3,0.6,"[(0.06857142857142862, 0.01059471698092028, 9249.545602798462)]"
adam,3,0.7,"[(0.0724285714285714, 0.011267013296749177, 10743.17511677742)]"
adam,3,0.8,"[(0.06871428571428573, 0.01070371991143584, 12309.775775194168)]"
adam,3,0.9,"[(0.06799999999999995, 0.010841692035921776, 13892.054047822952)]"
adam,3,1.0,"[(0.07085714285714284, 0.011195768676546413, 14654.77834057808)]"
adam,4,0.01,"[(0.14071428571428568, 0.021125004311615556, 93.77126908302307)]"
adam,4,0.1,"[(0.07721428571428568, 0.011585941810386496, 1592.5647985935211)]"
adam,4,0.2,"[(0.07171428571428573, 0.010800494524742117, 3218.312495470047)]"
adam,4,0.3,"[(0.06978571428571434, 0.01081198538308133, 4750.1907687187195)]"
adam,4,0.4,"[(0.07464285714285712, 0.01132320895537611, 6290.860166549683)]"
adam,4,0.5,"[(0.06928571428571428, 0.010850315372606388, 7939.0444848537445)]"
adam,4,0.6,"[(0.06964285714285712, 0.010962333097057717, 9407.321996450424)]"
adam,4,0.7,"[(0.07014285714285717, 0.011163577720757038, 10937.114391565323)]"
adam,4,0.8,"[(0.07528571428571429, 0.011757690070829501, 12553.004708051682)]"
adam,4,0.9,"[(0.07428571428571429, 0.011784844261467092, 14096.497793674469)]"
adam,4,1.0,"[(0.07164285714285712, 0.011543016170461154, 14686.80384349823)]"
