algorithm,run,checkpoint,error
adam,0,0.01,"[(0.3799285714285714, 1.377777485278578, 1.7957983016967773)]"
adam,0,0.1,"[(0.126, 0.42579016680850873, 29.35529375076294)]"
adam,0,0.2,"[(0.1080714285714286, 0.3653024379339437, 69.82969546318054)]"
adam,0,0.3,"[(0.10171428571428576, 0.3468448764449741, 121.42685556411743)]"
adam,0,0.4,"[(0.09214285714285719, 0.3122705522247, 169.0741195678711)]"
adam,0,0.5,"[(0.09050000000000002, 0.3048071887205604, 213.64792203903198)]"
adam,0,0.6,"[(0.08757142857142852, 0.2988546466793322, 259.8505654335022)]"
adam,0,0.7,"[(0.08485714285714285, 0.2933090857076627, 307.92013001441956)]"
adam,0,0.8,"[(0.08714285714285719, 0.29604597541519007, 354.99645042419434)]"
adam,0,0.9,"[(0.08799999999999997, 0.3047481375666525, 400.7003216743469)]"
adam,0,1.0,"[(0.08050000000000002, 0.2789329607461467, 449.9571599960327)]"
adam,1,0.01,"[(0.39821428571428574, 1.3612006594704855, 2.0899410247802734)]"
adam,1,0.1,"[(0.12021428571428572, 0.40207296706329915, 35.13003873825073)]"
adam,1,0.2,"[(0.10014285714285709, 0.3407443259886818, 79.60099363327026)]"
adam,1,0.3,"[(0.09657142857142853, 0.3174562236983615, 131.14264917373657)]"
adam,1,0.4,"[(0.08585714285714285, 0.2988176918069476, 177.46363830566406)]"
adam,1,0.5,"[(0.08485714285714285, 0.29545632685346795, 223.95636415481567)]"
adam,1,0.6,"[(0.07921428571428568, 0.27368557552990874, 272.4854233264923)]"
adam,1,0.7,"[(0.07871428571428574, 0.27257473658306525, 321.2223308086395)]"
adam,1,0.8,"[(0.08250000000000002, 0.28238638231434066, 368.3043758869171)]"
adam,1,0.9,"[(0.08021428571428568, 0.2725451489385695, 412.43247389793396)]"
adam,1,1.0,"[(0.07414285714285718, 0.25388797444177214, 458.05069065093994)]"
adam,2,0.01,"[(0.3870714285714286, 1.3809287000356187, 2.741401195526123)]"
adam,2,0.1,"[(0.13314285714285712, 0.4382823966639408, 27.438300371170044)]"
adam,2,0.2,"[(0.10185714285714287, 0.34258719353110856, 73.95482301712036)]"
adam,2,0.3,"[(0.10207142857142859, 0.3387104102601991, 136.3615267276764)]"
adam,2,0.4,"[(0.09285714285714286, 0.31331545804139976, 207.97732877731323)]"
adam,2,0.5,"[(0.08564285714285713, 0.29214599015506165, 272.0107228755951)]"
adam,2,0.6,"[(0.08264285714285713, 0.2866614950427852, 341.55473017692566)]"
adam,2,0.7,"[(0.08092857142857146, 0.28712711702123583, 415.4261519908905)]"
adam,2,0.8,"[(0.08571428571428574, 0.2917376482857906, 484.9344627857208)]"
adam,2,0.9,"[(0.07678571428571423, 0.26729963428281955, 545.7147238254547)]"
adam,2,1.0,"[(0.07821428571428568, 0.26922787570062556, 588.9717905521393)]"
adam,3,0.01,"[(0.3849285714285714, 1.413631946695049, 2.557471513748169)]"
adam,3,0.1,"[(0.12978571428571428, 0.4312290116377464, 26.083234548568726)]"
adam,3,0.2,"[(0.10671428571428576, 0.35982640172642, 73.2625560760498)]"
adam,3,0.3,"[(0.09850000000000003, 0.3302421645220308, 127.46153783798218)]"
adam,3,0.4,"[(0.0892857142857143, 0.30902120235344616, 187.34251308441162)]"
adam,3,0.5,"[(0.09299999999999997, 0.312292516861086, 237.87770891189575)]"
adam,3,0.6,"[(0.0912857142857143, 0.30558978338611176, 293.56574630737305)]"
adam,3,0.7,"[(0.08821428571428569, 0.29887536520607366, 345.46511673927307)]"
adam,3,0.8,"[(0.08864285714285713, 0.298339301365104, 403.0540759563446)]"
adam,3,0.9,"[(0.08357142857142852, 0.2839311273329088, 457.3799841403961)]"
adam,3,1.0,"[(0.08699999999999997, 0.2910737891877242, 504.194885969162)]"
adam,4,0.01,"[(0.3811428571428571, 1.4089569130062674, 3.543898582458496)]"
adam,4,0.1,"[(0.12921428571428573, 0.4326129617428164, 30.56038498878479)]"
adam,4,0.2,"[(0.10742857142857143, 0.35605452583723685, 75.20240592956543)]"
adam,4,0.3,"[(0.09450000000000003, 0.32116899803161597, 126.3802580833435)]"
adam,4,0.4,"[(0.08964285714285714, 0.30737565339008766, 181.4454162120819)]"
adam,4,0.5,"[(0.09114285714285719, 0.3047382170955745, 234.58079171180725)]"
adam,4,0.6,"[(0.08457142857142852, 0.29315908970539467, 289.00059056282043)]"
adam,4,0.7,"[(0.0842857142857143, 0.2908898633573064, 340.8907401561737)]"
adam,4,0.8,"[(0.08514285714285719, 0.29521826761120495, 397.75360655784607)]"
adam,4,0.9,"[(0.0804285714285714, 0.2740333486458906, 451.2891776561737)]"
adam,4,1.0,"[(0.08485714285714285, 0.294228607145578, 502.6290075778961)]"
adam,5,0.01,"[(0.38235714285714284, 1.3957422855047905, 5.034147500991821)]"
adam,5,0.1,"[(0.12935714285714284, 0.4313456368668284, 33.956315994262695)]"
adam,5,0.2,"[(0.10799999999999998, 0.36726477954928566, 83.83516240119934)]"
adam,5,0.3,"[(0.09885714285714287, 0.33734027030973857, 137.75703644752502)]"
adam,5,0.4,"[(0.09299999999999997, 0.31725783786320305, 197.01108980178833)]"
adam,5,0.5,"[(0.09192857142857147, 0.3139399338488955, 248.39543414115906)]"
adam,5,0.6,"[(0.08899999999999997, 0.30192242115016066, 307.554584980011)]"
adam,5,0.7,"[(0.08471428571428574, 0.2908814108020817, 364.5381121635437)]"
adam,5,0.8,"[(0.08199999999999996, 0.27952155983953264, 419.9885630607605)]"
adam,5,0.9,"[(0.08899999999999997, 0.30202613885125146, 475.975474357605)]"
adam,5,1.0,"[(0.08207142857142857, 0.2806810380912436, 529.4851176738739)]"
adam,6,0.01,"[(0.38742857142857146, 1.3983357403127321, 6.567570209503174)]"
adam,6,0.1,"[(0.12271428571428566, 0.4194725748706541, 36.573338985443115)]"
adam,6,0.2,"[(0.10207142857142859, 0.35033720261287876, 88.81777596473694)]"
adam,6,0.3,"[(0.0942857142857143, 0.31510971551829986, 144.91991186141968)]"
