algorithm,run,checkpoint,error
adam,0,0.01,"[(0.9000714285714286, 0.10388378850054672)]"
adam,0,0.1,"[(0.6539285714285714, 0.08085336451186152)]"
adam,0,0.2,"[(0.4443571428571429, 0.06319041177252395)]"
adam,0,0.3,"[(0.3325, 0.04865843329583673)]"
adam,0,0.4,"[(0.2876428571428571, 0.042583901838315764)]"
adam,0,0.5,"[(0.2687142857142857, 0.03966410280889296)]"
adam,0,0.6,"[(0.26228571428571423, 0.03787039852738632)]"
adam,0,0.7,"[(0.24728571428571433, 0.03598076694028719)]"
adam,0,0.8,"[(0.24335714285714283, 0.03535830994295785)]"
adam,0,0.9,"[(0.23771428571428577, 0.03409089183470794)]"
adam,0,1.0,"[(0.23378571428571426, 0.03345966370056983)]"
adam,1,0.01,"[(0.9059285714285714, 0.1039702933345619)]"
adam,1,0.1,"[(0.6755714285714285, 0.08161179115723985)]"
adam,1,0.2,"[(0.4437142857142857, 0.06104670148667103)]"
adam,1,0.3,"[(0.31321428571428567, 0.04511048754657918)]"
adam,1,0.4,"[(0.24578571428571427, 0.035812719598062356)]"
adam,1,0.5,"[(0.21092857142857147, 0.031127848287282794)]"
adam,1,0.6,"[(0.18400000000000005, 0.027456779592706343)]"
adam,1,0.7,"[(0.16392857142857142, 0.024852605650624433)]"
adam,1,0.8,"[(0.15357142857142858, 0.02346415792219612)]"
adam,1,0.9,"[(0.14407142857142852, 0.021924827119881155)]"
adam,1,1.0,"[(0.14100000000000001, 0.0211399403846138)]"
adam,2,0.01,"[(0.9077857142857143, 0.10515931253452243)]"
adam,2,0.1,"[(0.6541428571428571, 0.0808186918121689)]"
adam,2,0.2,"[(0.41621428571428576, 0.06130755010929823)]"
adam,2,0.3,"[(0.3014285714285714, 0.04360223478745817)]"
adam,2,0.4,"[(0.24964285714285717, 0.03597939839855596)]"
adam,2,0.5,"[(0.20657142857142852, 0.030658030836168356)]"
adam,2,0.6,"[(0.1875, 0.028032193731934316)]"
adam,2,0.7,"[(0.17007142857142854, 0.025609830224608485)]"
adam,2,0.8,"[(0.15521428571428575, 0.023542616890702382)]"
adam,2,0.9,"[(0.1459285714285714, 0.021961032319098225)]"
adam,2,1.0,"[(0.14835714285714285, 0.022373867917806736)]"
adam,3,0.01,"[(0.9048571428571428, 0.10358383303706417)]"
adam,3,0.1,"[(0.6423571428571428, 0.08068939062616193)]"
adam,3,0.2,"[(0.4526428571428571, 0.062227457126081326)]"
adam,3,0.3,"[(0.3311428571428572, 0.047677472877086735)]"
adam,3,0.4,"[(0.2819285714285714, 0.04149968144426452)]"
adam,3,0.5,"[(0.2576428571428572, 0.03805970994191989)]"
adam,3,0.6,"[(0.24778571428571428, 0.03638578848132718)]"
adam,3,0.7,"[(0.23342857142857143, 0.034574634174081846)]"
adam,3,0.8,"[(0.2261428571428571, 0.03346524849957995)]"
adam,3,0.9,"[(0.22007142857142858, 0.032407459571685386)]"
adam,3,1.0,"[(0.2193571428571428, 0.03188983152072545)]"
adam,4,0.01,"[(0.9072142857142858, 0.10499216500061563)]"
adam,4,0.1,"[(0.6578571428571429, 0.08094233877119271)]"
adam,4,0.2,"[(0.41721428571428576, 0.06115403885172681)]"
adam,4,0.3,"[(0.3216428571428571, 0.04776377729080183)]"
adam,4,0.4,"[(0.28335714285714286, 0.04193974951013103)]"
adam,4,0.5,"[(0.27449999999999997, 0.04058344117247183)]"
adam,4,0.6,"[(0.25557142857142856, 0.03745950165332641)]"
adam,4,0.7,"[(0.24385714285714288, 0.035335528664115004)]"
adam,4,0.8,"[(0.23864285714285716, 0.0342495816817931)]"
adam,4,0.9,"[(0.2301428571428571, 0.03326731057036589)]"
adam,4,1.0,"[(0.22650000000000003, 0.032901377902032534)]"
