algorithm,run,checkpoint,error
adam,0,0.01,"[(0.5777857142857143, 0.07334718358293107)]"
adam,0,0.1,"[(0.18407142857142855, 0.02649816810376973)]"
adam,0,0.2,"[(0.15135714285714286, 0.021901935799125388)]"
adam,0,0.3,"[(0.13928571428571423, 0.020597660445573932)]"
adam,0,0.4,"[(0.13821428571428573, 0.020209918389689052)]"
adam,0,0.5,"[(0.12928571428571434, 0.019051577286704566)]"
adam,0,0.6,"[(0.13078571428571428, 0.019059033883770574)]"
adam,0,0.7,"[(0.12492857142857139, 0.018468772246193196)]"
adam,0,0.8,"[(0.12271428571428566, 0.018286827884853467)]"
adam,0,0.9,"[(0.12142857142857144, 0.018018743040889743)]"
adam,0,1.0,"[(0.12271428571428566, 0.01811525596190587)]"
adam,1,0.01,"[(0.5670714285714286, 0.07351834878203603)]"
adam,1,0.1,"[(0.18271428571428572, 0.026297190564643178)]"
adam,1,0.2,"[(0.15307142857142852, 0.022456666305026865)]"
adam,1,0.3,"[(0.1427857142857143, 0.02115979428394077)]"
adam,1,0.4,"[(0.1397857142857143, 0.02061927046895213)]"
adam,1,0.5,"[(0.13442857142857145, 0.019967781416088504)]"
adam,1,0.6,"[(0.13042857142857145, 0.019275565347510536)]"
adam,1,0.7,"[(0.12964285714285717, 0.01903292992584431)]"
adam,1,0.8,"[(0.12635714285714283, 0.01869478751045007)]"
adam,1,0.9,"[(0.12878571428571428, 0.018880843718029505)]"
adam,1,1.0,"[(0.12342857142857144, 0.018392182941345397)]"
adam,2,0.01,"[(0.5716428571428571, 0.07228195343011877)]"
adam,2,0.1,"[(0.17414285714285715, 0.02516915455213822)]"
adam,2,0.2,"[(0.14757142857142858, 0.021768495053033122)]"
adam,2,0.3,"[(0.1379285714285714, 0.02043435765002132)]"
adam,2,0.4,"[(0.13357142857142856, 0.019862496687872138)]"
adam,2,0.5,"[(0.13071428571428567, 0.01920572182616296)]"
adam,2,0.6,"[(0.126, 0.018581970033180552)]"
adam,2,0.7,"[(0.12242857142857144, 0.018046141212958836)]"
adam,2,0.8,"[(0.12321428571428572, 0.018162171479028558)]"
adam,2,0.9,"[(0.124, 0.01827099871829288)]"
adam,2,1.0,"[(0.12107142857142861, 0.01779784209659521)]"
adam,3,0.01,"[(0.5873571428571429, 0.07213300138894384)]"
adam,3,0.1,"[(0.17835714285714288, 0.02584957237798883)]"
adam,3,0.2,"[(0.14942857142857147, 0.021502405306183112)]"
adam,3,0.3,"[(0.1419285714285714, 0.020716299074369067)]"
adam,3,0.4,"[(0.133, 0.019710393007950376)]"
adam,3,0.5,"[(0.12849999999999995, 0.018813372999220663)]"
adam,3,0.6,"[(0.13221428571428573, 0.01942332130172327)]"
adam,3,0.7,"[(0.12307142857142861, 0.018189095673694148)]"
adam,3,0.8,"[(0.1269285714285714, 0.01847454095190227)]"
adam,3,0.9,"[(0.12649999999999995, 0.018382789535435488)]"
adam,3,1.0,"[(0.11778571428571427, 0.017486162096228164)]"
adam,4,0.01,"[(0.5575714285714286, 0.07275636541571341)]"
adam,4,0.1,"[(0.1846428571428571, 0.027228541548172364)]"
adam,4,0.2,"[(0.15307142857142852, 0.022392559247812433)]"
adam,4,0.3,"[(0.14221428571428574, 0.020956020222421164)]"
adam,4,0.4,"[(0.1377857142857143, 0.020554190597089232)]"
adam,4,0.5,"[(0.12957142857142856, 0.01941628871441233)]"
adam,4,0.6,"[(0.12442857142857144, 0.018743942117538714)]"
adam,4,0.7,"[(0.13, 0.019138051200154292)]"
adam,4,0.8,"[(0.12328571428571433, 0.018179035335525923)]"
adam,4,0.9,"[(0.12207142857142861, 0.01797894487754553)]"
adam,4,1.0,"[(0.12521428571428572, 0.01856816964670019)]"
