algorithm,run,checkpoint,error
adam,0,0.01,"[(0.251, 0.03538823254434759)]"
adam,0,0.1,"[(0.12857142857142856, 0.019122797023100054)]"
adam,0,0.2,"[(0.11735714285714283, 0.017381286118656025)]"
adam,0,0.3,"[(0.11435714285714282, 0.016974108226511894)]"
adam,0,0.4,"[(0.1080714285714286, 0.016389067547725622)]"
adam,0,0.5,"[(0.10599999999999998, 0.01602492625865386)]"
adam,0,0.6,"[(0.10785714285714287, 0.015915819498092648)]"
adam,0,0.7,"[(0.10450000000000004, 0.015702873736189494)]"
adam,0,0.8,"[(0.10642857142857143, 0.015655496087394118)]"
adam,0,0.9,"[(0.10207142857142859, 0.015648315124879072)]"
adam,0,1.0,"[(0.1051428571428571, 0.01597827724143528)]"
adam,1,0.01,"[(0.2747142857142857, 0.038922361132252566)]"
adam,1,0.1,"[(0.13807142857142862, 0.02036488104656954)]"
adam,1,0.2,"[(0.12121428571428572, 0.01807817825652119)]"
adam,1,0.3,"[(0.11435714285714282, 0.017261861658088545)]"
adam,1,0.4,"[(0.11157142857142854, 0.016734010589874813)]"
adam,1,0.5,"[(0.10764285714285715, 0.016162127009923102)]"
adam,1,0.6,"[(0.1081428571428571, 0.01625112226186668)]"
adam,1,0.7,"[(0.10742857142857143, 0.015997165570029115)]"
adam,1,0.8,"[(0.1050714285714286, 0.015820892020230185)]"
adam,1,0.9,"[(0.1042142857142857, 0.015506305987568693)]"
adam,1,1.0,"[(0.10350000000000004, 0.01571093451144742)]"
adam,2,0.01,"[(0.2571428571428571, 0.03588515357357211)]"
adam,2,0.1,"[(0.12564285714285717, 0.01872653377389635)]"
adam,2,0.2,"[(0.118, 0.017596516778897665)]"
adam,2,0.3,"[(0.11199999999999999, 0.0167363842433215)]"
adam,2,0.4,"[(0.11328571428571432, 0.01684530270201)]"
adam,2,0.5,"[(0.10857142857142854, 0.01610285895814561)]"
adam,2,0.6,"[(0.11285714285714288, 0.01669217750245622)]"
adam,2,0.7,"[(0.10699999999999998, 0.01613951599839787)]"
adam,2,0.8,"[(0.11099999999999999, 0.01647092912090653)]"
adam,2,0.9,"[(0.11221428571428571, 0.01658024109543681)]"
adam,2,1.0,"[(0.11057142857142854, 0.01643152331853471)]"
adam,3,0.01,"[(0.2581428571428571, 0.03596557383146655)]"
adam,3,0.1,"[(0.1278571428571429, 0.018641977838265808)]"
adam,3,0.2,"[(0.11764285714285716, 0.017496917344935692)]"
adam,3,0.3,"[(0.10542857142857143, 0.015746161610095094)]"
adam,3,0.4,"[(0.10442857142857143, 0.015673265747516426)]"
adam,3,0.5,"[(0.10228571428571431, 0.015482687569444117)]"
adam,3,0.6,"[(0.10142857142857142, 0.015214697877896423)]"
adam,3,0.7,"[(0.10057142857142853, 0.01500806895049827)]"
adam,3,0.8,"[(0.10292857142857148, 0.015477734789443132)]"
adam,3,0.9,"[(0.09899999999999998, 0.014842732577750066)]"
adam,3,1.0,"[(0.09964285714285714, 0.015043117331402183)]"
adam,4,0.01,"[(0.2730714285714285, 0.037945842921187516)]"
adam,4,0.1,"[(0.13464285714285718, 0.019838684591892728)]"
adam,4,0.2,"[(0.1261428571428571, 0.01856515786270569)]"
adam,4,0.3,"[(0.1190714285714286, 0.017271892135149076)]"
adam,4,0.4,"[(0.11578571428571427, 0.016839837447493695)]"
adam,4,0.5,"[(0.11142857142857143, 0.016321031688700575)]"
adam,4,0.6,"[(0.10757142857142854, 0.01592332931207701)]"
adam,4,0.7,"[(0.10550000000000004, 0.015682352308522603)]"
adam,4,0.8,"[(0.10635714285714282, 0.01606034822139021)]"
adam,4,0.9,"[(0.10457142857142854, 0.015610293810840297)]"
adam,4,1.0,"[(0.10371428571428576, 0.015675072834924298)]"
