algorithm,run,checkpoint,error
adam,0,0.01,"[(0.12050000000000005, 0.018474743104153927, 80.38118267059326)]"
adam,0,0.1,"[(0.07128571428571429, 0.010841735328121532, 1382.954511165619)]"
adam,0,0.2,"[(0.06728571428571428, 0.010473994068901888, 2808.411375761032)]"
adam,0,0.3,"[(0.06592857142857145, 0.010272792462712609, 4294.268503189087)]"
adam,0,0.4,"[(0.06507142857142856, 0.010343468638156694, 5720.519838094711)]"
adam,0,0.5,"[(0.0674285714285714, 0.010540936621600383, 7120.168682813644)]"
adam,0,0.6,"[(0.06878571428571434, 0.01085023085032199, 8512.911345243454)]"
adam,0,0.7,"[(0.0693571428571429, 0.011148485577043598, 9905.779317617416)]"
adam,0,0.8,"[(0.07050000000000001, 0.011018382538771581, 11333.432317018509)]"
adam,0,0.9,"[(0.07350000000000001, 0.011735919361123072, 12764.23891711235)]"
adam,0,1.0,"[(0.07057142857142862, 0.011455456171858265, 14170.29501080513)]"
adam,1,0.01,"[(0.11864285714285716, 0.017838713225189883, 95.36993765830994)]"
adam,1,0.1,"[(0.07864285714285713, 0.012013265428868419, 1694.636138677597)]"
adam,1,0.2,"[(0.07350000000000001, 0.011289099039007811, 3541.4809403419495)]"
adam,1,0.3,"[(0.0713571428571429, 0.010803796881469973, 5119.275249004364)]"
adam,1,0.4,"[(0.07114285714285717, 0.010881804372690868, 6743.286103010178)]"
adam,1,0.5,"[(0.06771428571428573, 0.010583904801057907, 8376.613302230835)]"
adam,1,0.6,"[(0.07114285714285717, 0.010982339172318816, 10107.195289850235)]"
adam,1,0.7,"[(0.06871428571428573, 0.010814563139246978, 11789.312412977219)]"
adam,1,0.8,"[(0.0695, 0.01085277366515784, 13593.024251937866)]"
adam,1,0.9,"[(0.06892857142857145, 0.01100958645332175, 14607.468033313751)]"
adam,1,1.0,"[(0.0695, 0.011078664135114597, 15306.203325510025)]"
adam,2,0.01,"[(0.12435714285714283, 0.01903718185452489, 83.00184798240662)]"
adam,2,0.1,"[(0.07507142857142857, 0.011575331293028814, 1392.7859098911285)]"
adam,2,0.2,"[(0.07307142857142856, 0.011212214933076753, 2839.615783929825)]"
adam,2,0.3,"[(0.07150000000000001, 0.011058501798022657, 4329.318652868271)]"
adam,2,0.4,"[(0.07214285714285718, 0.0112629261797303, 5769.358685731888)]"
adam,2,0.5,"[(0.07021428571428567, 0.010934290689982225, 7218.298620939255)]"
adam,2,0.6,"[(0.07085714285714284, 0.011012270875657157, 8679.954600095749)]"
adam,2,0.7,"[(0.07350000000000001, 0.011670222047206797, 10152.225281953812)]"
adam,2,0.8,"[(0.07050000000000001, 0.011333181064962847, 11584.535133838654)]"
adam,2,0.9,"[(0.07264285714285712, 0.011489815514749133, 13027.259348869324)]"
adam,2,1.0,"[(0.0724285714285714, 0.011704932731015086, 14413.153022766113)]"
adam,3,0.01,"[(0.1180714285714286, 0.018179259113822656, 76.85669875144958)]"
adam,3,0.1,"[(0.07685714285714285, 0.011703526965721727, 1457.7727053165436)]"
adam,3,0.2,"[(0.06978571428571434, 0.010702611893874702, 3319.162220478058)]"
adam,3,0.3,"[(0.06757142857142862, 0.010545499744654303, 4953.6617794036865)]"
adam,3,0.4,"[(0.06957142857142862, 0.010835101420192957, 6722.697637319565)]"
adam,3,0.5,"[(0.07028571428571428, 0.010839413481278209, 8433.174540519714)]"
adam,3,0.6,"[(0.06964285714285712, 0.010949226787119596, 9926.029148340225)]"
adam,3,0.7,"[(0.07064285714285712, 0.010943715733029062, 11592.25502038002)]"
adam,3,0.8,"[(0.06857142857142862, 0.010916922602319322, 13127.508510351181)]"
