algorithm,run,checkpoint,error
adam,0,0.01,"[(0.13242857142857145, 0.020228957326168258, 73.29805135726929)]"
adam,0,0.1,"[(0.08171428571428574, 0.011978500086775964, 1349.0730328559875)]"
adam,0,0.2,"[(0.0773571428571429, 0.011682814764890146, 2725.1506617069244)]"
adam,0,0.3,"[(0.07799999999999996, 0.011865036265843253, 4106.777984380722)]"
adam,0,0.4,"[(0.07171428571428573, 0.011102993840637733, 5493.410806417465)]"
adam,0,0.5,"[(0.0733571428571429, 0.01126671313256131, 6879.698241949081)]"
adam,0,0.6,"[(0.07428571428571429, 0.011592448409022581, 8260.540103197098)]"
adam,0,0.7,"[(0.07471428571428573, 0.011502357680336271, 9638.205638885498)]"
adam,0,0.8,"[(0.07471428571428573, 0.011634189114952754, 11010.561583518982)]"
adam,0,0.9,"[(0.07214285714285718, 0.011259585886736144, 12391.634099721909)]"
adam,0,1.0,"[(0.07007142857142856, 0.011266009009816442, 13766.389292240143)]"
adam,1,0.01,"[(0.12214285714285711, 0.01904785508253572, 53.32051348686218)]"
adam,1,0.1,"[(0.07857142857142863, 0.011787516589890738, 1331.4352412223816)]"
adam,1,0.2,"[(0.07585714285714285, 0.011494199344251362, 2979.2683703899384)]"
adam,1,0.3,"[(0.07428571428571429, 0.011536619242967141, 4585.8951098918915)]"
adam,1,0.4,"[(0.07292857142857145, 0.011165004549547997, 6221.029408454895)]"
adam,1,0.5,"[(0.07107142857142856, 0.011044053350326264, 7868.361765861511)]"
adam,1,0.6,"[(0.07164285714285712, 0.011172665194350985, 9377.68007183075)]"
adam,1,0.7,"[(0.07221428571428568, 0.011318106162548086, 10895.424355506897)]"
adam,1,0.8,"[(0.07399999999999995, 0.01149947165892872, 12432.045039176941)]"
adam,1,0.9,"[(0.0773571428571429, 0.012225013653837529, 13914.35382604599)]"
adam,1,1.0,"[(0.07507142857142857, 0.011713759782952938, 14631.00131368637)]"
adam,2,0.01,"[(0.14257142857142857, 0.021388186655738627, 93.46574473381042)]"
adam,2,0.1,"[(0.08642857142857141, 0.013087907777713391, 1363.946797132492)]"
adam,2,0.2,"[(0.0744285714285714, 0.011134076208820155, 2768.7757210731506)]"
adam,2,0.3,"[(0.07578571428571423, 0.011402337834508535, 4155.5955312252045)]"
adam,2,0.4,"[(0.0744285714285714, 0.01144798121123771, 5547.48215675354)]"
adam,2,0.5,"[(0.07278571428571423, 0.011032077524467065, 6938.262515544891)]"
adam,2,0.6,"[(0.07192857142857145, 0.011247787293776861, 8310.43589258194)]"
adam,2,0.7,"[(0.0694285714285714, 0.01080787699958422, 9699.324011802673)]"
adam,2,0.8,"[(0.07271428571428573, 0.011219052405360502, 11089.661161661148)]"
adam,2,0.9,"[(0.07228571428571429, 0.011284759912801689, 12476.245710372925)]"
adam,2,1.0,"[(0.07457142857142862, 0.01173754221221768, 13872.110393762589)]"
adam,3,0.01,"[(0.12192857142857139, 0.018873962500002128, 103.38822150230408)]"
adam,3,0.1,"[(0.0832857142857143, 0.012466518794521394, 1370.1890394687653)]"
adam,3,0.2,"[(0.07299999999999995, 0.011292137369182689, 2765.4509592056274)]"
adam,3,0.3,"[(0.07492857142857146, 0.011551695828267447, 4158.4814302921295)]"
adam,3,0.4,"[(0.0754285714285714, 0.011630748402626791, 5543.997761726379)]"
adam,3,0.5,"[(0.0733571428571429, 0.011460678251368206, 6932.615285158157)]"
adam,3,0.6,"[(0.0744285714285714, 0.011801163208762054, 8301.361032009125)]"
adam,3,0.7,"[(0.07157142857142862, 0.01129035507142265, 9694.539170980453)]"
adam,3,0.8,"[(0.07257142857142862, 0.011514386702238803, 11091.194989681244)]"
adam,3,0.9,"[(0.07592857142857146, 0.01198597811370527, 12493.145459890366)]"
adam,3,1.0,"[(0.07507142857142857, 0.011960502249860214, 13871.884605646133)]"
adam,4,0.01,"[(0.13149999999999995, 0.020098249785330733, 68.11406302452087)]"
adam,4,0.1,"[(0.08107142857142857, 0.012461187118654652, 1343.4102323055267)]"
adam,4,0.2,"[(0.07907142857142857, 0.01184104097605981, 2961.1942553520203)]"
adam,4,0.3,"[(0.07821428571428568, 0.011989484834144488, 4509.94201874733)]"
adam,4,0.4,"[(0.07407142857142857, 0.011429722652058551, 6033.334720611572)]"
adam,4,0.5,"[(0.07550000000000001, 0.01186452239012708, 7625.3206152915955)]"
adam,4,0.6,"[(0.07507142857142857, 0.011588951364052639, 9111.363294839859)]"
adam,4,0.7,"[(0.07471428571428573, 0.011516239876011936, 10767.14336514473)]"
adam,4,0.8,"[(0.0733571428571429, 0.01156029244828814, 12374.760822534561)]"
adam,4,0.9,"[(0.07564285714285712, 0.011825163612209843, 13944.690029144287)]"
adam,4,1.0,"[(0.07585714285714285, 0.011884945847602694, 14740.807607889175)]"
adam,5,0.01,"[(0.1298571428571429, 0.019879489104245134, 75.25849604606628)]"
adam,5,0.1,"[(0.07707142857142857, 0.011564433130897212, 1376.3548679351807)]"
adam,5,0.2,"[(0.07471428571428573, 0.011613656224419119, 2987.874968290329)]"
adam,5,0.3,"[(0.07014285714285717, 0.010803852476563767, 4530.4150722026825)]"
adam,5,0.4,"[(0.07621428571428568, 0.011563637898508184, 6036.574991226196)]"
adam,5,0.5,"[(0.0703571428571429, 0.01095687338996568, 7425.366631031036)]"
adam,5,0.6,"[(0.07121428571428567, 0.01122769764609275, 9168.564811468124)]"
adam,5,0.7,"[(0.07457142857142862, 0.011527234254724947, 10808.729084253311)]"
adam,5,0.8,"[(0.07721428571428568, 0.012098739868168618, 12403.441591739655)]"
adam,5,0.9,"[(0.07185714285714284, 0.011368802684284715, 13958.568985939026)]"
adam,5,1.0,"[(0.0714285714285714, 0.01155166382677, 14719.229965209961)]"
adam,6,0.01,"[(0.13042857142857145, 0.019948452213095245, 93.00893521308899)]"
adam,6,0.1,"[(0.07607142857142857, 0.011532043472492187, 1606.972335100174)]"
adam,6,0.2,"[(0.06957142857142862, 0.010691112513278601, 3193.2738020420074)]"
adam,6,0.3,"[(0.06714285714285717, 0.010375947605017874, 4814.049886226654)]"
adam,6,0.4,"[(0.06607142857142856, 0.010220423635016209, 6553.719255447388)]"
adam,6,0.5,"[(0.07164285714285712, 0.010810503452996922, 8069.637943267822)]"
adam,6,0.6,"[(0.06714285714285717, 0.010309294825690686, 9676.129045248032)]"
adam,6,0.7,"[(0.07157142857142862, 0.010975284206408668, 11325.427519321442)]"
adam,6,0.8,"[(0.07221428571428568, 0.01115402741780007, 12944.909293174744)]"
adam,6,0.9,"[(0.07271428571428573, 0.011303513756472778, 14102.592469930649)]"
adam,6,1.0,"[(0.07278571428571423, 0.01133114546727073, 14751.617133140564)]"
adam,7,0.01,"[(0.12521428571428572, 0.019278602681007118, 111.55074715614319)]"
adam,7,0.1,"[(0.08114285714285718, 0.012322250959669429, 1366.9835278987885)]"
adam,7,0.2,"[(0.07607142857142857, 0.011677163569278273, 2741.513709783554)]"
adam,7,0.3,"[(0.07614285714285718, 0.011568119679535357, 4133.194379091263)]"
adam,7,0.4,"[(0.07250000000000001, 0.01125890718959706, 5512.496816158295)]"
adam,7,0.5,"[(0.0743571428571429, 0.011617094501966145, 6910.375376939774)]"
adam,7,0.6,"[(0.07250000000000001, 0.011312218475274364, 8323.768193721771)]"
adam,7,0.7,"[(0.07314285714285718, 0.011533514593407344, 9704.616973876953)]"
adam,7,0.8,"[(0.07378571428571423, 0.011696860561879446, 11094.203659057617)]"
adam,7,0.9,"[(0.07814285714285718, 0.01252091513721029, 12476.044565439224)]"
adam,7,1.0,"[(0.07507142857142857, 0.011913179982136793, 13850.364403486252)]"
adam,8,0.01,"[(0.12678571428571428, 0.019372500301347833, 111.77031993865967)]"
adam,8,0.1,"[(0.07492857142857146, 0.01124333055309696, 1642.6484310626984)]"
adam,8,0.2,"[(0.07221428571428568, 0.010925933759317726, 3211.905394554138)]"
adam,8,0.3,"[(0.07092857142857145, 0.010992176335815918, 4747.209669351578)]"
adam,8,0.4,"[(0.06828571428571428, 0.010523920295566782, 6400.631490468979)]"
adam,8,0.5,"[(0.0723571428571429, 0.01107242691800002, 8017.412530899048)]"
adam,8,0.6,"[(0.06728571428571428, 0.010416896054012073, 9522.014090538025)]"
adam,8,0.7,"[(0.06799999999999995, 0.01073472043693848, 11209.829525470734)]"
adam,8,0.8,"[(0.0684285714285714, 0.010898451716703552, 12831.317125082016)]"
adam,8,0.9,"[(0.06928571428571428, 0.010901865851203918, 14148.526591777802)]"
adam,8,1.0,"[(0.07071428571428573, 0.01122943070771479, 14757.749606609344)]"
adam,9,0.01,"[(0.13242857142857145, 0.020110945710176454, 121.90322470664978)]"
adam,9,0.1,"[(0.08199999999999996, 0.012410017239851055, 1379.7473990917206)]"
adam,9,0.2,"[(0.07392857142857145, 0.011216250128340587, 2777.482780456543)]"
adam,9,0.3,"[(0.07621428571428568, 0.011376975345901695, 4171.026960611343)]"
adam,9,0.4,"[(0.07357142857142862, 0.011311538931869088, 5585.646103143692)]"
adam,9,0.5,"[(0.07571428571428573, 0.011625184335385515, 6985.8428366184235)]"
adam,9,0.6,"[(0.07471428571428573, 0.011686738525069804, 8398.084160327911)]"
adam,9,0.7,"[(0.0723571428571429, 0.011395334617983687, 9799.3924741745)]"
adam,9,0.8,"[(0.0784285714285714, 0.012163092826313712, 11199.570098638535)]"
adam,9,0.9,"[(0.08164285714285713, 0.012525975844906579, 12608.910054206848)]"
adam,9,1.0,"[(0.07478571428571423, 0.011694532617953458, 13935.600259542465)]"
adam,10,0.01,"[(0.12364285714285717, 0.019098694947820842, 132.75766015052795)]"
adam,10,0.1,"[(0.0824285714285714, 0.0122814512056318, 1392.9635243415833)]"
adam,10,0.2,"[(0.07678571428571423, 0.011612438349862808, 2781.630458831787)]"
adam,10,0.3,"[(0.07199999999999995, 0.01109601410269627, 4167.710858821869)]"
adam,10,0.4,"[(0.07099999999999995, 0.01096813101148394, 5566.516165018082)]"
adam,10,0.5,"[(0.07050000000000001, 0.01096930529852423, 6946.351213216782)]"
adam,10,0.6,"[(0.07178571428571423, 0.01116919877419378, 8318.714490175247)]"
adam,10,0.7,"[(0.0744285714285714, 0.011607598108879402, 9703.209656715393)]"
