algorithm,dimension,run,checkpoint,error
Adam_Fair,3658,0,0.01,"[(0.8788571428571429, 2.3196962878400416, 1.027317762374878)]"
Adam_Fair,3658,0,0.1,"[(0.5271428571428571, 1.4452602612065577, 145.900643825531)]"
Adam_Fair,3658,0,0.2,"[(0.4216428571428571, 1.331335089447923, 375.7414662837982)]"
Adam_Fair,3658,0,0.3,"[(0.41700000000000004, 1.397681843000514, 634.2630062103271)]"
Adam_Fair,3658,0,0.4,"[(0.36757142857142855, 1.2530094848887667, 888.890615940094)]"
Adam_Fair,3658,0,0.5,"[(0.36757142857142855, 1.2530094848887667, 1160.309203863144)]"
Adam_Fair,3658,0,0.6,"[(0.36757142857142855, 1.2530094848887667, 1415.1420149803162)]"
Adam_Fair,3658,0,0.7,"[(0.3352857142857143, 1.1831300314466846, 1657.2690188884735)]"
Adam_Fair,3658,0,0.8,"[(0.3423571428571428, 1.2964069824833375, 1875.5484602451324)]"
Adam_Fair,3658,0,0.9,"[(0.3423571428571428, 1.2964069824833375, 2095.618107318878)]"
Adam_Fair,3658,0,1.0,"[(0.3423571428571428, 1.2964069824833375, 2316.2682955265045)]"
Adam_Fair,3658,1,0.01,"[(0.8965, 2.3548658256309043, 2.57456374168396)]"
Adam_Fair,3658,1,0.1,"[(0.6604285714285714, 1.7230028697867037, 170.3031415939331)]"
Adam_Fair,3658,1,0.2,"[(0.5982142857142857, 1.6114780433130225, 428.5698130130768)]"
Adam_Fair,3658,1,0.3,"[(0.4502857142857143, 1.3771095707416474, 685.5890939235687)]"
Adam_Fair,3658,1,0.4,"[(0.41107142857142853, 1.3090978168426253, 950.0287048816681)]"
Adam_Fair,3658,1,0.5,"[(0.41107142857142853, 1.3090978168426253, 1187.5930516719818)]"
Adam_Fair,3658,1,0.6,"[(0.395, 1.2994072750980137, 1446.8363263607025)]"
Adam_Fair,3658,1,0.7,"[(0.37649999999999995, 1.2781510137041516, 1681.7879021167755)]"
Adam_Fair,3658,1,0.8,"[(0.39357142857142857, 1.3077073956861278, 1900.0537893772125)]"
Adam_Fair,3658,1,0.9,"[(0.39357142857142857, 1.3077073956861278, 2118.5430352687836)]"
Adam_Fair,3658,1,1.0,"[(0.39357142857142857, 1.3077073956861278, 2338.651117324829)]"
Adam_Fair,3658,2,0.01,"[(0.9106428571428571, 2.354111093003285, 1.6240794658660889)]"
Adam_Fair,3658,2,0.1,"[(0.5157857142857143, 1.535382465083903, 107.95704770088196)]"
Adam_Fair,3658,2,0.2,"[(0.4217857142857143, 1.3120445530650753, 296.82429456710815)]"
Adam_Fair,3658,2,0.3,"[(0.40428571428571425, 1.3085068251920267, 481.8825912475586)]"
Adam_Fair,3658,2,0.4,"[(0.353, 1.2565064399439752, 682.4935164451599)]"
Adam_Fair,3658,2,0.5,"[(0.353, 1.2565064399439752, 901.7239394187927)]"
Adam_Fair,3658,2,0.6,"[(0.353, 1.2565064399439752, 1121.631663799286)]"
Adam_Fair,3658,2,0.7,"[(0.34085714285714286, 1.1932811689766278, 1350.4051280021667)]"
Adam_Fair,3658,2,0.8,"[(0.3293571428571429, 1.2211028213240611, 1575.4882197380066)]"
Adam_Fair,3658,2,0.9,"[(0.34564285714285714, 1.2762046173433506, 1803.8670077323914)]"
Adam_Fair,3658,2,1.0,"[(0.34564285714285714, 1.2762046173433506, 2018.24201130867)]"
Adam_Fair,3658,3,0.01,"[(0.9094285714285715, 2.359631417953712, 4.252844333648682)]"
Adam_Fair,3658,3,0.1,"[(0.6437857142857143, 1.6646357333449189, 142.5086965560913)]"
Adam_Fair,3658,3,0.2,"[(0.6217857142857143, 1.6272950788861005, 393.6658887863159)]"
Adam_Fair,3658,3,0.3,"[(0.612, 1.6538097690930957, 650.2522821426392)]"
Adam_Fair,3658,3,0.4,"[(0.5779285714285713, 1.6104410383850642, 889.1890118122101)]"
Adam_Fair,3658,3,0.5,"[(0.5779285714285713, 1.6104410383850642, 1146.2892537117004)]"
Adam_Fair,3658,3,0.6,"[(0.5451428571428572, 1.6186294685585763, 1394.6905133724213)]"
Adam_Fair,3658,3,0.7,"[(0.5480714285714285, 1.632121400168975, 1645.5347700119019)]"
Adam_Fair,3658,3,0.8,"[(0.5287142857142857, 1.584575794049972, 1894.0629251003265)]"
Adam_Fair,3658,3,0.9,"[(0.5451428571428572, 1.6419481850308137, 2155.9878845214844)]"
Adam_Fair,3658,3,1.0,"[(0.5451428571428572, 1.6419481850308137, 2400.3442363739014)]"
Adam_Fair,3658,4,0.01,"[(0.9112142857142858, 2.369451360818312, 6.615000486373901)]"
Adam_Fair,3658,4,0.1,"[(0.7512142857142857, 1.7958005762515585, 137.1126799583435)]"
Adam_Fair,3658,4,0.2,"[(0.6572857142857143, 1.6658403440805676, 323.97147822380066)]"
Adam_Fair,3658,4,0.3,"[(0.6107857142857143, 1.5731988243823976, 512.1759502887726)]"
Adam_Fair,3658,4,0.4,"[(0.6116428571428572, 1.644353166313795, 712.831182718277)]"
Adam_Fair,3658,4,0.5,"[(0.6139285714285714, 1.6009184471904025, 931.2636232376099)]"
Adam_Fair,3658,4,0.6,"[(0.6348571428571428, 1.6225161151120273, 1157.2502269744873)]"
Adam_Fair,3658,4,0.7,"[(0.6348571428571428, 1.6225161151120273, 1385.1339647769928)]"
Adam_Fair,3658,4,0.8,"[(0.6348571428571428, 1.6225161151120273, 1605.2314748764038)]"
Adam_Fair,3658,4,0.9,"[(0.5471428571428572, 1.6163756236499531, 1834.0834681987762)]"
Adam_Fair,3658,4,1.0,"[(0.5262142857142857, 1.6583618873003039, 2046.1500446796417)]"
Adam_Fair,3658,5,0.01,"[(0.8972142857142857, 2.3708874835610696, 4.49467921257019)]"
Adam_Fair,3658,5,0.1,"[(0.6658571428571429, 1.7155144363686192, 174.42511439323425)]"
Adam_Fair,3658,5,0.2,"[(0.6617857142857143, 1.6383114151096727, 423.73549914360046)]"
Adam_Fair,3658,5,0.3,"[(0.6383571428571428, 1.703223725954959, 684.4029059410095)]"
Adam_Fair,3658,5,0.4,"[(0.6383571428571428, 1.703223725954959, 931.7657556533813)]"
Adam_Fair,3658,5,0.5,"[(0.6073571428571429, 1.6695394986043741, 1186.4630808830261)]"
Adam_Fair,3658,5,0.6,"[(0.5728571428571428, 1.6480498069319054, 1449.594847202301)]"
Adam_Fair,3658,5,0.7,"[(0.5434285714285714, 1.5469366741985824, 1710.46804189682)]"
Adam_Fair,3658,5,0.8,"[(0.5466428571428572, 1.6149951915792722, 1976.7991614341736)]"
Adam_Fair,3658,5,0.9,"[(0.3623571428571428, 1.3362344830790098, 2230.083059310913)]"
Adam_Fair,3658,5,1.0,"[(0.3623571428571428, 1.3362344830790098, 2469.0805094242096)]"
Adam_Fair,3658,6,0.01,"[(0.8980714285714286, 2.338517471998599, 1.162961721420288)]"
Adam_Fair,3658,6,0.1,"[(0.6296428571428572, 1.733741589916718, 102.21986627578735)]"
Adam_Fair,3658,6,0.2,"[(0.4932857142857143, 1.4370911195128175, 312.2610821723938)]"
Adam_Fair,3658,6,0.3,"[(0.4932857142857143, 1.4370911195128175, 496.3487226963043)]"
Adam_Fair,3658,6,0.4,"[(0.42100000000000004, 1.3844720405847117, 709.8651089668274)]"
Adam_Fair,3658,6,0.5,"[(0.42100000000000004, 1.3844720405847117, 931.1285500526428)]"
Adam_Fair,3658,6,0.6,"[(0.42100000000000004, 1.3844720405847117, 1149.0179316997528)]"
Adam_Fair,3658,6,0.7,"[(0.4244285714285714, 1.3098730190197476, 1370.0377411842346)]"
Adam_Fair,3658,6,0.8,"[(0.4244285714285714, 1.3098730190197476, 1594.4690244197845)]"
Adam_Fair,3658,6,0.9,"[(0.3827857142857143, 1.2863192015198524, 1817.5893976688385)]"
Adam_Fair,3658,6,1.0,"[(0.3797857142857143, 1.316282481318684, 2036.0922935009003)]"
Adam_Fair,3658,7,0.01,"[(0.8874285714285715, 2.422288610013615, 11.871460676193237)]"
