algorithm,dimension,run,checkpoint,error
Adam_Fair,3658,0,0.01,"[(0.47764285714285715, 1.7754155591918208, 1.0969517230987549)]"
Adam_Fair,3658,0,0.1,"[(0.18592857142857144, 0.6595688743866426, 125.1867299079895)]"
Adam_Fair,3658,0,0.2,"[(0.17000000000000004, 0.6166436576295116, 299.9772901535034)]"
Adam_Fair,3658,0,0.3,"[(0.17000000000000004, 0.6166436576295116, 471.82468461990356)]"
Adam_Fair,3658,0,0.4,"[(0.15592857142857142, 0.6059398024536518, 640.5589034557343)]"
Adam_Fair,3658,0,0.5,"[(0.15592857142857142, 0.6059398024536518, 817.2128541469574)]"
Adam_Fair,3658,0,0.6,"[(0.15592857142857142, 0.6059398024536518, 1004.54736495018)]"
Adam_Fair,3658,0,0.7,"[(0.15500000000000003, 0.6137615842877139, 1180.5370769500732)]"
Adam_Fair,3658,0,0.8,"[(0.15500000000000003, 0.6137615842877139, 1362.7414627075195)]"
Adam_Fair,3658,0,0.9,"[(0.15500000000000003, 0.6137615842877139, 1554.6438903808594)]"
Adam_Fair,3658,0,1.0,"[(0.15500000000000003, 0.6137615842877139, 1735.9312896728516)]"
Adam_Fair,3658,1,0.01,"[(0.5027857142857143, 1.8046804537687144, 1.5636193752288818)]"
Adam_Fair,3658,1,0.1,"[(0.19657142857142862, 0.6913225452786247, 97.29922914505005)]"
Adam_Fair,3658,1,0.2,"[(0.19657142857142862, 0.6913225452786247, 296.8165409564972)]"
Adam_Fair,3658,1,0.3,"[(0.17828571428571427, 0.729041974798609, 493.9498825073242)]"
Adam_Fair,3658,1,0.4,"[(0.17828571428571427, 0.729041974798609, 698.0128581523895)]"
Adam_Fair,3658,1,0.5,"[(0.17828571428571427, 0.729041974798609, 894.662347316742)]"
Adam_Fair,3658,1,0.6,"[(0.17828571428571427, 0.729041974798609, 1096.0396375656128)]"
Adam_Fair,3658,1,0.7,"[(0.17828571428571427, 0.729041974798609, 1307.7497699260712)]"
Adam_Fair,3658,1,0.8,"[(0.17828571428571427, 0.729041974798609, 1504.362963438034)]"
Adam_Fair,3658,1,0.9,"[(0.17828571428571427, 0.729041974798609, 1709.603260755539)]"
Adam_Fair,3658,1,1.0,"[(0.17828571428571427, 0.729041974798609, 1910.3595747947693)]"
Adam_Fair,3658,2,0.01,"[(0.6316428571428572, 1.8613931490796547, 2.6355791091918945)]"
Adam_Fair,3658,2,0.1,"[(0.2064285714285714, 0.7087236761604094, 108.84912919998169)]"
Adam_Fair,3658,2,0.2,"[(0.20699999999999996, 0.7514159407323364, 292.4937946796417)]"
Adam_Fair,3658,2,0.3,"[(0.17000000000000004, 0.6561632749320926, 490.517884016037)]"
Adam_Fair,3658,2,0.4,"[(0.17000000000000004, 0.6561632749320926, 695.2469389438629)]"
Adam_Fair,3658,2,0.5,"[(0.15200000000000002, 0.6104191874875018, 876.6572616100311)]"
Adam_Fair,3658,2,0.6,"[(0.15200000000000002, 0.6104191874875018, 1084.077222108841)]"
Adam_Fair,3658,2,0.7,"[(0.15200000000000002, 0.6104191874875018, 1289.2665057182312)]"
Adam_Fair,3658,2,0.8,"[(0.15307142857142852, 0.6145808969899733, 1505.2930390834808)]"
Adam_Fair,3658,2,0.9,"[(0.15307142857142852, 0.6145808969899733, 1699.985188961029)]"
Adam_Fair,3658,2,1.0,"[(0.1489285714285714, 0.6164473702620917, 1903.995740890503)]"
Adam_Fair,3658,3,0.01,"[(0.49542857142857144, 1.8225445134174998, 7.6580023765563965)]"
Adam_Fair,3658,3,0.1,"[(0.21150000000000002, 0.7116672000451381, 162.163654088974)]"
Adam_Fair,3658,3,0.2,"[(0.18978571428571434, 0.7104568671330944, 363.30543756484985)]"
Adam_Fair,3658,3,0.3,"[(0.1845714285714286, 0.7278680327750431, 566.742068529129)]"
