algorithm,dimension,run,checkpoint,error
bfgs,3658,0,0.01,"[(0.6561428571428571, 0.07735409754591885, 47.45106220245361)]"
bfgs,3658,0,0.1,"[(0.5021428571428572, 0.06078159016428925, 779.3896963596344)]"
bfgs,3658,0,0.2,"[(0.47257142857142853, 0.05694162597174446, 1673.8177511692047)]"
bfgs,3658,0,0.3,"[(0.43821428571428567, 0.054489963375283154, 2617.239051103592)]"
bfgs,3658,0,0.4,"[(0.43821428571428567, 0.054489963375283154, 3560.746342897415)]"
bfgs,3658,0,0.5,"[(0.4177142857142857, 0.0525382898911178, 4498.394416332245)]"
bfgs,3658,0,0.6,"[(0.3846428571428572, 0.05079177977269835, 5424.742147922516)]"
bfgs,3658,0,0.7,"[(0.3846428571428572, 0.05079177977269835, 6341.924934864044)]"
bfgs,3658,0,0.8,"[(0.3846428571428572, 0.05079177977269835, 7256.987149715424)]"
bfgs,3658,0,0.9,"[(0.3719285714285714, 0.048734640755926054, 8174.615691423416)]"
bfgs,3658,0,1.0,"[(0.3592142857142857, 0.04817045700143106, 9087.941949605942)]"
bfgs,3658,1,0.01,"[(0.6465714285714286, 0.07287832150528852, 43.89535975456238)]"
bfgs,3658,1,0.1,"[(0.6486428571428571, 0.07033146536593109, 994.4925045967102)]"
bfgs,3658,1,0.2,"[(0.6486428571428571, 0.07033146536593109, 2061.9481568336487)]"
bfgs,3658,1,0.3,"[(0.5579285714285714, 0.06499956575155882, 2987.4033999443054)]"
bfgs,3658,1,0.4,"[(0.5323571428571429, 0.06367003377599045, 4041.158078432083)]"
bfgs,3658,1,0.5,"[(0.5360714285714285, 0.06265023138841662, 4976.453261852264)]"
bfgs,3658,1,0.6,"[(0.5236428571428571, 0.061712005109125716, 5881.8644824028015)]"
bfgs,3658,1,0.7,"[(0.5085714285714286, 0.06159005417101762, 6963.501150131226)]"
bfgs,3658,1,0.8,"[(0.5085714285714286, 0.06159005417101762, 8029.557466268539)]"
bfgs,3658,1,0.9,"[(0.5034285714285714, 0.06059747609230495, 9049.702219724655)]"
bfgs,3658,1,1.0,"[(0.469, 0.05966649213944542, 9990.876715183258)]"
bfgs,3658,2,0.01,"[(0.7474285714285714, 0.07915987863671406, 49.35457992553711)]"
bfgs,3658,2,0.1,"[(0.49057142857142855, 0.060850940465975195, 862.8635561466217)]"
bfgs,3658,2,0.2,"[(0.39921428571428574, 0.049602879139721695, 1809.0980861186981)]"
bfgs,3658,2,0.3,"[(0.33392857142857146, 0.046469156858668335, 2754.4367532730103)]"
bfgs,3658,2,0.4,"[(0.33399999999999996, 0.04647993633975354, 3722.32048535347)]"
bfgs,3658,2,0.5,"[(0.3222142857142857, 0.044672733623701444, 4656.080104351044)]"
bfgs,3658,2,0.6,"[(0.3222142857142857, 0.044672733623701444, 5586.0995008945465)]"
bfgs,3658,2,0.7,"[(0.3222142857142857, 0.044672733623701444, 6529.893961429596)]"
bfgs,3658,2,0.8,"[(0.3222142857142857, 0.044672733623701444, 7465.019278526306)]"
bfgs,3658,2,0.9,"[(0.3222142857142857, 0.044672733623701444, 8394.207386016846)]"
bfgs,3658,2,1.0,"[(0.31100000000000005, 0.04397880578455446, 9332.204890727997)]"
bfgs,3658,3,0.01,"[(0.8903571428571428, 0.09091006016172985, 79.16806173324585)]"
bfgs,3658,3,0.1,"[(0.8992857142857142, 0.0910622265966476, 1288.2349801063538)]"
bfgs,3658,3,0.2,"[(0.8903571428571428, 0.09089245242100742, 2661.6530001163483)]"
bfgs,3658,3,0.3,"[(0.8903571428571428, 0.09089245242100742, 4013.2552814483643)]"
bfgs,3658,3,0.4,"[(0.8903571428571428, 0.09089245242100742, 5366.072624444962)]"
bfgs,3658,3,0.5,"[(0.8903571428571428, 0.09089245242100742, 6716.013463497162)]"
bfgs,3658,3,0.6,"[(0.8903571428571428, 0.09089245242100742, 8087.144668579102)]"
bfgs,3658,3,0.7,"[(0.9035714285714286, 0.09139253306526421, 9466.296083450317)]"
bfgs,3658,3,0.8,"[(0.9035714285714286, 0.09139253306526421, 10052.1592233181)]"
bfgs,3658,3,0.9,"[(0.9035714285714286, 0.09139253306526421, 10438.789544820786)]"
bfgs,3658,3,1.0,"[(0.9035714285714286, 0.09139253306526421, 10637.251339673996)]"
bfgs,3658,4,0.01,"[(0.5208571428571429, 0.06826993381640518, 46.071194648742676)]"
bfgs,3658,4,0.1,"[(0.3640714285714286, 0.04951407704564486, 771.8976502418518)]"
bfgs,3658,4,0.2,"[(0.3553571428571428, 0.047752804471508495, 1664.7916193008423)]"
bfgs,3658,4,0.3,"[(0.32485714285714284, 0.046053680094611214, 2614.5272743701935)]"
bfgs,3658,4,0.4,"[(0.3232857142857143, 0.04533961306685092, 3554.276844263077)]"
bfgs,3658,4,0.5,"[(0.3232857142857143, 0.04533961306685092, 4499.660249710083)]"
bfgs,3658,4,0.6,"[(0.2945714285714286, 0.04074520238574537, 5443.2355127334595)]"
bfgs,3658,4,0.7,"[(0.2835714285714286, 0.04017501323663377, 6398.763544797897)]"
bfgs,3658,4,0.8,"[(0.28421428571428575, 0.04065655067358743, 7353.861021518707)]"
bfgs,3658,4,0.9,"[(0.25935714285714284, 0.037674696054593955, 8289.201891899109)]"
bfgs,3658,4,1.0,"[(0.25935714285714284, 0.037674696054593955, 9232.708729982376)]"
bfgs,3658,5,0.01,"[(0.8045714285714286, 0.08597272389366982, 52.137988805770874)]"
bfgs,3658,5,0.1,"[(0.7447142857142857, 0.08047704853101914, 1028.340217590332)]"
bfgs,3658,5,0.2,"[(0.7230714285714286, 0.07962992995133189, 1973.402493238449)]"
bfgs,3658,5,0.3,"[(0.7179285714285715, 0.0795789642599409, 2902.5694649219513)]"
bfgs,3658,5,0.4,"[(0.7179285714285715, 0.0795789642599409, 3933.283801794052)]"
bfgs,3658,5,0.5,"[(0.7179285714285715, 0.0795789642599409, 4895.653676271439)]"
bfgs,3658,5,0.6,"[(0.7179285714285715, 0.0795789642599409, 5811.500051736832)]"
bfgs,3658,5,0.7,"[(0.7179285714285715, 0.0795789642599409, 6781.2644164562225)]"
bfgs,3658,5,0.8,"[(0.7179285714285715, 0.0795789642599409, 7730.113996505737)]"
bfgs,3658,5,0.9,"[(0.7179285714285715, 0.0795789642599409, 8759.819979906082)]"
bfgs,3658,5,1.0,"[(0.6903571428571429, 0.07795265300518939, 9740.470563173294)]"
bfgs,3658,6,0.01,"[(0.8842142857142857, 0.09054076329118133, 87.61967945098877)]"
bfgs,3658,6,0.1,"[(0.6509285714285714, 0.07051502109857857, 960.5262920856476)]"
bfgs,3658,6,0.2,"[(0.6558571428571429, 0.06890583617751882, 1888.6542167663574)]"
bfgs,3658,6,0.3,"[(0.5774285714285714, 0.06569950819614019, 2828.7851333618164)]"
bfgs,3658,6,0.4,"[(0.5797142857142857, 0.06451813317915178, 3782.913493156433)]"
bfgs,3658,6,0.5,"[(0.5429999999999999, 0.06247037260359132, 4730.601670026779)]"
bfgs,3658,6,0.6,"[(0.5252142857142856, 0.06058370530167255, 5674.372131109238)]"
bfgs,3658,6,0.7,"[(0.5252142857142856, 0.06058370530167255, 6612.146941900253)]"
bfgs,3658,6,0.8,"[(0.5231428571428571, 0.06090172232807901, 7543.705934047699)]"
bfgs,3658,6,0.9,"[(0.5228571428571429, 0.05988136702358836, 8477.539055347443)]"
