algorithm,dimension,run,checkpoint,error
bfgs,3658,0,0.01,"[(0.53, 0.06633984391179011, 75.39420533180237)]"
bfgs,3658,0,0.1,"[(0.39435714285714285, 0.05729577377431602, 1559.4576122760773)]"
bfgs,3658,0,0.2,"[(0.3936428571428572, 0.05760986301120039, 3231.4037675857544)]"
bfgs,3658,0,0.3,"[(0.39042857142857146, 0.057408015179836284, 4925.334386587143)]"
bfgs,3658,0,0.4,"[(0.38949999999999996, 0.05752768004074645, 6659.755806684494)]"
bfgs,3658,0,0.5,"[(0.3906428571428572, 0.05779205547595652, 8456.014769077301)]"
bfgs,3658,0,0.6,"[(0.39035714285714285, 0.05801128324257641, 10211.421071052551)]"
bfgs,3658,0,0.7,"[(0.3917142857142857, 0.05819441886833333, 11958.569437980652)]"
bfgs,3658,0,0.8,"[(0.3907142857142857, 0.05814864590773722, 13740.899314641953)]"
bfgs,3658,0,0.9,"[(0.3910714285714286, 0.05812052594905757, 0.027508815667112822)]"
bfgs,3658,0,1.0,"[(0.3910714285714286, 0.05812052594905757, 0.027508815667112822)]"
bfgs,3658,1,0.01,"[(0.6083571428571428, 0.07501446240961156, 56.57524394989014)]"
bfgs,3658,1,0.1,"[(0.46285714285714286, 0.060494659898282024, 1579.154986858368)]"
bfgs,3658,1,0.2,"[(0.45785714285714285, 0.06056612861392194, 3226.405725955963)]"
bfgs,3658,1,0.3,"[(0.45607142857142857, 0.060390282812833505, 4836.916207551956)]"
bfgs,3658,1,0.4,"[(0.45664285714285713, 0.060572172958079276, 6433.558171510696)]"
bfgs,3658,1,0.5,"[(0.4525714285714286, 0.06023666480907536, 8064.607382059097)]"
bfgs,3658,1,0.6,"[(0.45271428571428574, 0.060358612244492967, 9817.19149684906)]"
bfgs,3658,1,0.7,"[(0.4523571428571429, 0.0603365140289207, 11597.790986299515)]"
bfgs,3658,1,0.8,"[(0.4492142857142857, 0.05980768197870117, 13241.541080713272)]"
bfgs,3658,1,0.9,"[(0.44871428571428573, 0.05988219627492587, 0.03737968831595168)]"
bfgs,3658,1,1.0,"[(0.44871428571428573, 0.05988219627492587, 0.03737968831595168)]"
bfgs,3658,2,0.01,"[(0.47385714285714287, 0.0596695281815368, 60.51513886451721)]"
bfgs,3658,2,0.1,"[(0.34964285714285714, 0.05142096003724394, 1487.7248723506927)]"
bfgs,3658,2,0.2,"[(0.3384285714285714, 0.050730367579545764, 3161.632093667984)]"
bfgs,3658,2,0.3,"[(0.34192857142857147, 0.05125896134779448, 4803.803065299988)]"
bfgs,3658,2,0.4,"[(0.3422857142857143, 0.05107867092337084, 6481.358280420303)]"
bfgs,3658,2,0.5,"[(0.3441428571428572, 0.051285249952823984, 8126.307307481766)]"
bfgs,3658,2,0.6,"[(0.3450714285714286, 0.05133260442814167, 9665.219658374786)]"
bfgs,3658,2,0.7,"[(0.3431428571428572, 0.05125300827613385, 11129.485209941864)]"
bfgs,3658,2,0.8,"[(0.3414285714285714, 0.0513621374895821, 12608.89974284172)]"
bfgs,3658,2,0.9,"[(0.3415, 0.05147252553280109, 0.026078549844425522)]"
bfgs,3658,2,1.0,"[(0.3415, 0.05147252553280109, 0.026078549844425522)]"
bfgs,3658,3,0.01,"[(0.5899285714285714, 0.07120455150225928, 86.83868336677551)]"
bfgs,3658,3,0.1,"[(0.48171428571428576, 0.06456729281025732, 1779.8096952438354)]"
