algorithm,dimension,run,checkpoint,error
bfgs,3658,0,0.01,"[(0.9220714285714285, 0.09235993025460137, 0.08749516518452273)]"
bfgs,3658,0,0.1,"[(0.9220714285714285, 0.09235993025460137, 0.08749516518452273)]"
bfgs,3658,0,0.2,"[(0.9220714285714285, 0.09235993025460137, 0.08749516518452273)]"
bfgs,3658,0,0.3,"[(0.9220714285714285, 0.09235993025460137, 0.08749516518452273)]"
bfgs,3658,0,0.4,"[(0.9220714285714285, 0.09235993025460137, 0.08749516518452273)]"
bfgs,3658,0,0.5,"[(0.9220714285714285, 0.09235993025460137, 0.08749516518452273)]"
bfgs,3658,0,0.6,"[(0.9220714285714285, 0.09235993025460137, 0.08749516518452273)]"
bfgs,3658,0,0.7,"[(0.9220714285714285, 0.09235993025460137, 0.08749516518452273)]"
bfgs,3658,0,0.8,"[(0.9220714285714285, 0.09235993025460137, 0.08749516518452273)]"
bfgs,3658,0,0.9,"[(0.9220714285714285, 0.09235993025460137, 0.08749516518452273)]"
bfgs,3658,0,1.0,"[(0.9220714285714285, 0.09235993025460137, 0.08749516518452273)]"
bfgs,3658,1,0.01,"[(0.904, 0.09150766125015072, 0.08854166645791957)]"
bfgs,3658,1,0.1,"[(0.904, 0.09150766125015072, 0.08854166645791957)]"
bfgs,3658,1,0.2,"[(0.904, 0.09150766125015072, 0.08854166645791957)]"
bfgs,3658,1,0.3,"[(0.904, 0.09150766125015072, 0.08854166645791957)]"
bfgs,3658,1,0.4,"[(0.904, 0.09150766125015072, 0.08854166645791957)]"
bfgs,3658,1,0.5,"[(0.904, 0.09150766125015072, 0.08854166645791957)]"
bfgs,3658,1,0.6,"[(0.904, 0.09150766125015072, 0.08854166645791957)]"
bfgs,3658,1,0.7,"[(0.904, 0.09150766125015072, 0.08854166645791957)]"
bfgs,3658,1,0.8,"[(0.904, 0.09150766125015072, 0.08854166645791957)]"
bfgs,3658,1,0.9,"[(0.904, 0.09150766125015072, 0.08854166645791957)]"
bfgs,3658,1,1.0,"[(0.904, 0.09150766125015072, 0.08854166645791957)]"
bfgs,3658,2,0.01,"[(0.8585714285714285, 0.1030242137314357, 0.06764643255184351)]"
bfgs,3658,2,0.1,"[(0.8585714285714285, 0.1030242137314357, 0.06764643255184351)]"
