algorithm,dimension,run,checkpoint,error
bfgs,3658,0,0.01,"[(0.4105714285714286, 1.3349147869224358, 0.3444511890411377)]"
bfgs,3658,0,0.1,"[(0.37835714285714284, 1.3220271305235876, 0.5813941955566406)]"
bfgs,3658,0,0.2,"[(0.37835714285714284, 1.3220271305235876, 0.5814023017883301)]"
bfgs,3658,0,0.3,"[(0.37835714285714284, 1.3220271305235876, 0.5814049243927002)]"
bfgs,3658,0,0.4,"[(0.37835714285714284, 1.3220271305235876, 0.5814087390899658)]"
bfgs,3658,0,0.5,"[(0.37835714285714284, 1.3220271305235876, 0.5814118385314941)]"
bfgs,3658,0,0.6,"[(0.37835714285714284, 1.3220271305235876, 0.5814175605773926)]"
bfgs,3658,0,0.7,"[(0.37835714285714284, 1.3220271305235876, 0.5814235210418701)]"
bfgs,3658,0,0.8,"[(0.37835714285714284, 1.3220271305235876, 0.581430196762085)]"
bfgs,3658,0,0.9,"[(0.37835714285714284, 1.3220271305235876, 0.5814337730407715)]"
bfgs,3658,0,1.0,"[(0.37835714285714284, 1.3220271305235876, 0.5814383029937744)]"
bfgs,3658,1,0.01,"[(0.5697857142857143, 1.7618914274768138, 0.22684931755065918)]"
bfgs,3658,1,0.1,"[(0.5461428571428572, 1.7169081647594984, 0.30716943740844727)]"
bfgs,3658,1,0.2,"[(0.5461428571428572, 1.7169081647594984, 0.3071749210357666)]"
bfgs,3658,1,0.3,"[(0.5461428571428572, 1.7169081647594984, 0.30718016624450684)]"
bfgs,3658,1,0.4,"[(0.5461428571428572, 1.7169081647594984, 0.3071863651275635)]"
bfgs,3658,1,0.5,"[(0.5461428571428572, 1.7169081647594984, 0.3071925640106201)]"
bfgs,3658,1,0.6,"[(0.5461428571428572, 1.7169081647594984, 0.30719876289367676)]"
bfgs,3658,1,0.7,"[(0.5461428571428572, 1.7169081647594984, 0.307204008102417)]"
bfgs,3658,1,0.8,"[(0.5461428571428572, 1.7169081647594984, 0.3072078227996826)]"
bfgs,3658,1,0.9,"[(0.5461428571428572, 1.7169081647594984, 0.30721354484558105)]"
bfgs,3658,1,1.0,"[(0.5461428571428572, 1.7169081647594984, 0.30721616744995117)]"
bfgs,3658,2,0.01,"[(0.4763571428571428, 1.5612122158219899, 1.2407011985778809)]"
bfgs,3658,2,0.1,"[(0.44999999999999996, 1.5252309067527692, 1.8356187343597412)]"
bfgs,3658,2,0.2,"[(0.44999999999999996, 1.5252309067527692, 1.8356268405914307)]"
bfgs,3658,2,0.3,"[(0.44999999999999996, 1.5252309067527692, 1.835630178451538)]"
bfgs,3658,2,0.4,"[(0.44999999999999996, 1.5252309067527692, 1.835634708404541)]"
bfgs,3658,2,0.5,"[(0.44999999999999996, 1.5252309067527692, 1.8356380462646484)]"
bfgs,3658,2,0.6,"[(0.44999999999999996, 1.5252309067527692, 1.8356447219848633)]"
bfgs,3658,2,0.7,"[(0.44999999999999996, 1.5252309067527692, 1.83565092086792)]"
bfgs,3658,2,0.8,"[(0.44999999999999996, 1.5252309067527692, 1.8356552124023438)]"
bfgs,3658,2,0.9,"[(0.44999999999999996, 1.5252309067527692, 1.8356592655181885)]"
bfgs,3658,2,1.0,"[(0.44999999999999996, 1.5252309067527692, 1.8356642723083496)]"
bfgs,3658,3,0.01,"[(0.6489285714285714, 1.6865447535999707, 1.2354106903076172)]"
bfgs,3658,3,0.1,"[(0.595, 1.6274670586425173, 2.039915084838867)]"
bfgs,3658,3,0.2,"[(0.595, 1.6274670586425173, 2.0399231910705566)]"
bfgs,3658,3,0.3,"[(0.595, 1.6274670586425173, 2.0399270057678223)]"
bfgs,3658,3,0.4,"[(0.595, 1.6274670586425173, 2.0399303436279297)]"
bfgs,3658,3,0.5,"[(0.595, 1.6274670586425173, 2.0399370193481445)]"
bfgs,3658,3,0.6,"[(0.595, 1.6274670586425173, 2.0399436950683594)]"
bfgs,3658,3,0.7,"[(0.595, 1.6274670586425173, 2.039947509765625)]"
bfgs,3658,3,0.8,"[(0.595, 1.6274670586425173, 2.0399534702301025)]"
bfgs,3658,3,0.9,"[(0.595, 1.6274670586425173, 2.03995943069458)]"
bfgs,3658,3,1.0,"[(0.595, 1.6274670586425173, 2.0399632453918457)]"
bfgs,3658,4,0.01,"[(0.5022857142857142, 1.4614007285043933, 1.7939457893371582)]"
bfgs,3658,4,0.1,"[(0.4245, 1.4038395791943248, 2.4625186920166016)]"
bfgs,3658,4,0.2,"[(0.4245, 1.4038395791943248, 2.4625244140625)]"
bfgs,3658,4,0.3,"[(0.4245, 1.4038395791943248, 2.4625303745269775)]"
bfgs,3658,4,0.4,"[(0.4245, 1.4038395791943248, 2.462536334991455)]"
bfgs,3658,4,0.5,"[(0.4245, 1.4038395791943248, 2.462542772293091)]"
bfgs,3658,4,0.6,"[(0.4245, 1.4038395791943248, 2.46254825592041)]"
bfgs,3658,4,0.7,"[(0.4245, 1.4038395791943248, 2.4625539779663086)]"
bfgs,3658,4,0.8,"[(0.4245, 1.4038395791943248, 2.462559938430786)]"
bfgs,3658,4,0.9,"[(0.4245, 1.4038395791943248, 2.4625773429870605)]"
bfgs,3658,4,1.0,"[(0.4245, 1.4038395791943248, 2.46258282661438)]"
bfgs,3658,5,0.01,"[(0.4315714285714286, 1.2964615598929814, 2.1246137619018555)]"
bfgs,3658,5,0.1,"[(0.3880714285714286, 1.2714776702413453, 3.5486881732940674)]"
bfgs,3658,5,0.2,"[(0.3880714285714286, 1.2714776702413453, 3.548712968826294)]"
bfgs,3658,5,0.3,"[(0.3880714285714286, 1.2714776702413453, 3.5487163066864014)]"
bfgs,3658,5,0.4,"[(0.3880714285714286, 1.2714776702413453, 3.548737049102783)]"
bfgs,3658,5,0.5,"[(0.3880714285714286, 1.2714776702413453, 3.54875111579895)]"
