algorithm,dimension,run,checkpoint,error
bfgs,3658,0,0.01,"[(0.44385714285714284, 1.5978255420230105, 0.36365532875061035)]"
bfgs,3658,0,0.1,"[(0.3829285714285714, 2.856921264781221, 11.947210311889648)]"
bfgs,3658,0,0.2,"[(0.3812142857142857, 3.5957967400947037, 29.875824451446533)]"
bfgs,3658,0,0.3,"[(0.3757857142857143, 3.7355932716218305, 49.0110228061676)]"
bfgs,3658,0,0.4,"[(0.3757857142857143, 3.7355932716218305, 49.01104497909546)]"
bfgs,3658,0,0.5,"[(0.3757857142857143, 3.7355932716218305, 49.011048555374146)]"
bfgs,3658,0,0.6,"[(0.3757857142857143, 3.7355932716218305, 49.0110547542572)]"
bfgs,3658,0,0.7,"[(0.3757857142857143, 3.7355932716218305, 49.01105833053589)]"
bfgs,3658,0,0.8,"[(0.3757857142857143, 3.7355932716218305, 49.011064291000366)]"
bfgs,3658,0,0.9,"[(0.3757857142857143, 3.7355932716218305, 49.011070251464844)]"
bfgs,3658,0,1.0,"[(0.3757857142857143, 3.7355932716218305, 49.01108503341675)]"
bfgs,3658,1,0.01,"[(0.5027857142857143, 1.462691361045492, 0.1448221206665039)]"
bfgs,3658,1,0.1,"[(0.3402142857142857, 2.7691184002062186, 4.279391288757324)]"
bfgs,3658,1,0.2,"[(0.3405, 3.2747046518281624, 11.270029306411743)]"
bfgs,3658,1,0.3,"[(0.34778571428571425, 3.42578653069095, 16.301570177078247)]"
bfgs,3658,1,0.4,"[(0.34778571428571425, 3.42578653069095, 16.30158543586731)]"
bfgs,3658,1,0.5,"[(0.34778571428571425, 3.42578653069095, 16.301599740982056)]"
bfgs,3658,1,0.6,"[(0.34778571428571425, 3.42578653069095, 16.301602363586426)]"
bfgs,3658,1,0.7,"[(0.34778571428571425, 3.42578653069095, 16.30160689353943)]"
bfgs,3658,1,0.8,"[(0.34778571428571425, 3.42578653069095, 16.30161213874817)]"
bfgs,3658,1,0.9,"[(0.34778571428571425, 3.42578653069095, 16.301615238189697)]"
bfgs,3658,1,1.0,"[(0.34778571428571425, 3.42578653069095, 16.301621437072754)]"
bfgs,3658,2,0.01,"[(0.5279285714285714, 1.5461072975132335, 0.7356126308441162)]"
bfgs,3658,2,0.1,"[(0.3709285714285714, 2.6919008992850544, 6.53181004524231)]"
bfgs,3658,2,0.2,"[(0.381, 3.3733939716656356, 14.576247692108154)]"
bfgs,3658,2,0.3,"[(0.3781428571428571, 3.5706045276876823, 19.960310697555542)]"
bfgs,3658,2,0.4,"[(0.3781428571428571, 3.5706045276876823, 19.96033263206482)]"
bfgs,3658,2,0.5,"[(0.3781428571428571, 3.5706045276876823, 19.96034574508667)]"
bfgs,3658,2,0.6,"[(0.3781428571428571, 3.5706045276876823, 19.96034836769104)]"
bfgs,3658,2,0.7,"[(0.3781428571428571, 3.5706045276876823, 19.960351705551147)]"
bfgs,3658,2,0.8,"[(0.3781428571428571, 3.5706045276876823, 19.960354804992676)]"
bfgs,3658,2,0.9,"[(0.3781428571428571, 3.5706045276876823, 19.96035933494568)]"
bfgs,3658,2,1.0,"[(0.3781428571428571, 3.5706045276876823, 19.960363626480103)]"
bfgs,3658,3,0.01,"[(0.49250000000000005, 1.6979614306156545, 1.3308203220367432)]"
bfgs,3658,3,0.1,"[(0.3788571428571429, 3.410953441667181, 15.963529825210571)]"
bfgs,3658,3,0.2,"[(0.3881428571428571, 3.8501736484707707, 43.65218377113342)]"
bfgs,3658,3,0.3,"[(0.38749999999999996, 4.045455507205951, 59.36234998703003)]"
bfgs,3658,3,0.4,"[(0.38749999999999996, 4.045455507205951, 59.36236548423767)]"
bfgs,3658,3,0.5,"[(0.38749999999999996, 4.045455507205951, 59.36237192153931)]"
bfgs,3658,3,0.6,"[(0.38749999999999996, 4.045455507205951, 59.3623993396759)]"
bfgs,3658,3,0.7,"[(0.38749999999999996, 4.045455507205951, 59.36240196228027)]"
bfgs,3658,3,0.8,"[(0.38749999999999996, 4.045455507205951, 59.36240744590759)]"
bfgs,3658,3,0.9,"[(0.38749999999999996, 4.045455507205951, 59.36241340637207)]"
bfgs,3658,3,1.0,"[(0.38749999999999996, 4.045455507205951, 59.36241888999939)]"
bfgs,3658,4,0.01,"[(0.39049999999999996, 1.272722090796248, 0.6720969676971436)]"
bfgs,3658,4,0.1,"[(0.33692857142857147, 3.0925121754499956, 5.152886629104614)]"
bfgs,3658,4,0.2,"[(0.3372142857142857, 3.617867737368896, 11.677984237670898)]"
