algorithm,dimension,run,checkpoint,error
bfgs,3658,0,0.01,"[(0.8883571428571428, 0.11260010883593417, 0.23693084716796875)]"
bfgs,3658,0,0.1,"[(0.8884285714285715, 0.09446903675999818, 6.484119653701782)]"
bfgs,3658,0,0.2,"[(0.8977857142857143, 0.09188757505770322, 37.75567078590393)]"
bfgs,3658,0,0.3,"[(0.8882857142857143, 0.09370781469932007, 89.66849899291992)]"
bfgs,3658,0,0.4,"[(0.8882857142857143, 0.09370781469932007, 163.9364194869995)]"
bfgs,3658,0,0.5,"[(0.8882857142857143, 0.09370781469932007, 225.88771629333496)]"
bfgs,3658,0,0.6,"[(0.8882857142857143, 0.09370781469932007, 285.67390418052673)]"
bfgs,3658,0,0.7,"[(0.8882857142857143, 0.09370781469932007, 349.0589346885681)]"
bfgs,3658,0,0.8,"[(0.8882857142857143, 0.09370781469932007, 412.82536244392395)]"
bfgs,3658,0,0.9,"[(0.8882857142857143, 0.09370781469932007, 467.8887634277344)]"
bfgs,3658,0,1.0,"[(0.8882857142857143, 0.09370781469932007, 528.5750572681427)]"
bfgs,3658,1,0.01,"[(0.8987857142857143, 0.11256581512588769, 0.15318942070007324)]"
bfgs,3658,1,0.1,"[(0.8802142857142857, 0.0973335043514442, 2.6855087280273438)]"
bfgs,3658,1,0.2,"[(0.8572857142857143, 0.09343789305337724, 10.42790699005127)]"
bfgs,3658,1,0.3,"[(0.8572857142857143, 0.09343789305337724, 29.317009687423706)]"
bfgs,3658,1,0.4,"[(0.8572857142857143, 0.09343789305337724, 66.61895418167114)]"
bfgs,3658,1,0.5,"[(0.8572857142857143, 0.09343789305337724, 106.57286286354065)]"
bfgs,3658,1,0.6,"[(0.8572857142857143, 0.09343789305337724, 160.4420142173767)]"
bfgs,3658,1,0.7,"[(0.8572857142857143, 0.09343789305337724, 214.24496126174927)]"
bfgs,3658,1,0.8,"[(0.8572857142857143, 0.09343789305337724, 282.9909291267395)]"
bfgs,3658,1,0.9,"[(0.8572857142857143, 0.09343789305337724, 341.94686126708984)]"
bfgs,3658,1,1.0,"[(0.8572857142857143, 0.09343789305337724, 409.57818722724915)]"
bfgs,3658,2,0.01,"[(0.8765714285714286, 0.12969769758626346, 0.9344732761383057)]"
bfgs,3658,2,0.1,"[(0.8335714285714286, 0.10454451335929281, 10.411917924880981)]"
bfgs,3658,2,0.2,"[(0.8779285714285714, 0.1002728220484716, 22.61839747428894)]"
bfgs,3658,2,0.3,"[(0.8569285714285715, 0.09630884587764202, 41.10452437400818)]"
bfgs,3658,2,0.4,"[(0.8569285714285715, 0.09630884587764202, 58.011932134628296)]"
bfgs,3658,2,0.5,"[(0.8569285714285715, 0.09630884587764202, 77.011394739151)]"
bfgs,3658,2,0.6,"[(0.8250714285714286, 0.09519461658247953, 97.83190727233887)]"
bfgs,3658,2,0.7,"[(0.8250714285714286, 0.09519461658247953, 120.87766075134277)]"
bfgs,3658,2,0.8,"[(0.8250714285714286, 0.09519461658247953, 149.2975025177002)]"
bfgs,3658,2,0.9,"[(0.8250714285714286, 0.09519461658247953, 179.6557981967926)]"
bfgs,3658,2,1.0,"[(0.8206428571428571, 0.08975384973878654, 206.2225799560547)]"
bfgs,3658,3,0.01,"[(0.905, 0.10926508859729271, 1.437044382095337)]"
bfgs,3658,3,0.1,"[(0.7976428571428571, 0.09402165734361927, 14.479856967926025)]"
bfgs,3658,3,0.2,"[(0.7804285714285715, 0.09424672715579818, 52.31978487968445)]"
bfgs,3658,3,0.3,"[(0.7502857142857142, 0.0901530391248651, 98.08078670501709)]"
bfgs,3658,3,0.4,"[(0.7502857142857142, 0.0901530391248651, 143.17254257202148)]"
bfgs,3658,3,0.5,"[(0.7502857142857142, 0.0901530391248651, 193.8137605190277)]"
bfgs,3658,3,0.6,"[(0.7502857142857142, 0.0901530391248651, 240.95855236053467)]"
bfgs,3658,3,0.7,"[(0.7502857142857142, 0.0901530391248651, 285.6963746547699)]"
bfgs,3658,3,0.8,"[(0.6679999999999999, 0.08034635283650166, 321.88659501075745)]"
bfgs,3658,3,0.9,"[(0.6926428571428571, 0.08105088794616563, 369.0168249607086)]"
bfgs,3658,3,1.0,"[(0.7004285714285714, 0.0815977453694481, 417.33628487586975)]"
bfgs,3658,4,0.01,"[(0.8967857142857143, 0.12945785727578896, 0.7247738838195801)]"
bfgs,3658,4,0.1,"[(0.9013571428571429, 0.09129481484789241, 8.255513906478882)]"
bfgs,3658,4,0.2,"[(0.8865714285714286, 0.09174573752458309, 32.42993903160095)]"
bfgs,3658,4,0.3,"[(0.8865714285714286, 0.0920226413971721, 56.44957137107849)]"
bfgs,3658,4,0.4,"[(0.8865714285714286, 0.0924559310875691, 86.94984579086304)]"
bfgs,3658,4,0.5,"[(0.8865714285714286, 0.0924559310875691, 117.25983691215515)]"
bfgs,3658,4,0.6,"[(0.8865714285714286, 0.0924559310875691, 164.00202918052673)]"
bfgs,3658,4,0.7,"[(0.8865714285714286, 0.0924559310875691, 213.64839124679565)]"
bfgs,3658,4,0.8,"[(0.8865714285714286, 0.0924559310875691, 267.94427609443665)]"
bfgs,3658,4,0.9,"[(0.8865714285714286, 0.0924559310875691, 328.0346009731293)]"
bfgs,3658,4,1.0,"[(0.8865714285714286, 0.0924559310875691, 381.0213894844055)]"
bfgs,3658,5,0.01,"[(0.9090714285714285, 0.18181425174661497, 1.2676982879638672)]"
bfgs,3658,5,0.1,"[(0.9090714285714285, 0.18181425174661497, 35.49509119987488)]"
bfgs,3658,5,0.2,"[(0.9090714285714285, 0.18181425174661497, 132.48929452896118)]"
bfgs,3658,5,0.3,"[(0.9090714285714285, 0.18181425174661497, 238.86214017868042)]"
bfgs,3658,5,0.4,"[(0.9090714285714285, 0.18181425174661497, 315.843159198761)]"
bfgs,3658,5,0.5,"[(0.9090714285714285, 0.18181425174661497, 386.69361209869385)]"
bfgs,3658,5,0.6,"[(0.9090714285714285, 0.18181425174661497, 453.96814250946045)]"
bfgs,3658,5,0.7,"[(0.9090714285714285, 0.18181425174661497, 519.6085312366486)]"
bfgs,3658,5,0.8,"[(0.9090714285714285, 0.18181425174661497, 592.2666239738464)]"
bfgs,3658,5,0.9,"[(0.9090714285714285, 0.18181425174661497, 652.7425193786621)]"
bfgs,3658,5,1.0,"[(0.9090714285714285, 0.18181425174661497, 712.2314560413361)]"
bfgs,3658,6,0.01,"[(0.8979285714285714, 0.11689503826231037, 0.7549231052398682)]"
bfgs,3658,6,0.1,"[(0.8993571428571429, 0.09562255488023377, 21.490344047546387)]"
bfgs,3658,6,0.2,"[(0.8993571428571429, 0.09562255488023377, 99.27811789512634)]"
bfgs,3658,6,0.3,"[(0.8993571428571429, 0.09562255488023377, 162.80397582054138)]"
bfgs,3658,6,0.4,"[(0.8993571428571429, 0.09562255488023377, 228.51773810386658)]"
bfgs,3658,6,0.5,"[(0.8993571428571429, 0.09562255488023377, 287.0041720867157)]"
bfgs,3658,6,0.6,"[(0.8993571428571429, 0.09562255488023377, 354.4804358482361)]"
bfgs,3658,6,0.7,"[(0.9037142857142857, 0.09560775318196256, 418.6713054180145)]"
bfgs,3658,6,0.8,"[(0.9037142857142857, 0.09560775318196256, 478.24187684059143)]"
bfgs,3658,6,0.9,"[(0.9037142857142857, 0.09560775318196256, 538.1933224201202)]"
bfgs,3658,6,1.0,"[(0.9037142857142857, 0.09560775318196256, 595.1898345947266)]"
bfgs,3658,7,0.01,"[(0.9004285714285715, 0.13085879115696683, 2.192539930343628)]"
bfgs,3658,7,0.1,"[(0.9034285714285715, 0.10594410910640675, 39.09241461753845)]"
bfgs,3658,7,0.2,"[(0.9034285714285715, 0.10594410910640675, 144.95159697532654)]"
bfgs,3658,7,0.3,"[(0.9102857142857143, 0.10659680271996368, 251.81981110572815)]"
bfgs,3658,7,0.4,"[(0.9102857142857143, 0.10659680271996368, 336.89665842056274)]"
bfgs,3658,7,0.5,"[(0.9102857142857143, 0.10659680271996368, 425.6060540676117)]"
bfgs,3658,7,0.6,"[(0.9102857142857143, 0.10659680271996368, 511.81333231925964)]"
bfgs,3658,7,0.7,"[(0.9102857142857143, 0.10659680271996368, 601.6433131694794)]"
bfgs,3658,7,0.8,"[(0.9102857142857143, 0.10659680271996368, 690.3919863700867)]"
bfgs,3658,7,0.9,"[(0.9102857142857143, 0.10659680271996368, 772.7393305301666)]"
