algorithm,dimension,run,checkpoint,error
bfgs,3658,0,0.01,"[(0.8884285714285715, 0.12894421498314645, 0.14590072631835938)]"
bfgs,3658,0,0.1,"[(0.9036428571428572, 0.09434727469441193, 2.0491788387298584)]"
bfgs,3658,0,0.2,"[(0.8322857142857143, 0.0876853717774519, 12.615951299667358)]"
bfgs,3658,0,0.3,"[(0.8173571428571429, 0.0874289164574259, 27.978885173797607)]"
bfgs,3658,0,0.4,"[(0.8171428571428572, 0.08642460931445044, 45.16639852523804)]"
bfgs,3658,0,0.5,"[(0.8198571428571428, 0.0864767813026168, 66.49692106246948)]"
bfgs,3658,0,0.6,"[(0.8198571428571428, 0.0864767813026168, 93.48369479179382)]"
bfgs,3658,0,0.7,"[(0.8198571428571428, 0.0855884550919581, 122.16213750839233)]"
bfgs,3658,0,0.8,"[(0.8029999999999999, 0.08576176760250585, 152.55205631256104)]"
bfgs,3658,0,0.9,"[(0.8090714285714286, 0.08738637241409386, 177.23735284805298)]"
bfgs,3658,0,1.0,"[(0.8090714285714286, 0.08738637241409386, 205.50361490249634)]"
bfgs,3658,1,0.01,"[(0.8804285714285714, 0.12966562216853422, 0.4324173927307129)]"
bfgs,3658,1,0.1,"[(0.9051428571428571, 0.10568431539374787, 5.653363466262817)]"
bfgs,3658,1,0.2,"[(0.9053571428571429, 0.10104360007895474, 18.898155450820923)]"
bfgs,3658,1,0.3,"[(0.9053571428571429, 0.10104360007895474, 42.13654041290283)]"
bfgs,3658,1,0.4,"[(0.9053571428571429, 0.10104360007895474, 71.80984163284302)]"
bfgs,3658,1,0.5,"[(0.9053571428571429, 0.10104360007895474, 109.6044716835022)]"
bfgs,3658,1,0.6,"[(0.9053571428571429, 0.10104360007895474, 149.59065341949463)]"
bfgs,3658,1,0.7,"[(0.9053571428571429, 0.10104360007895474, 187.52564764022827)]"
bfgs,3658,1,0.8,"[(0.9053571428571429, 0.10104360007895474, 227.91083645820618)]"
bfgs,3658,1,0.9,"[(0.9053571428571429, 0.10104360007895474, 266.4371955394745)]"
bfgs,3658,1,1.0,"[(0.9053571428571429, 0.10104360007895474, 303.38663935661316)]"
bfgs,3658,2,0.01,"[(0.886, 0.11197522007256451, 0.8082451820373535)]"
bfgs,3658,2,0.1,"[(0.8860714285714286, 0.09424259767172163, 3.336616277694702)]"
bfgs,3658,2,0.2,"[(0.897, 0.09425094354887804, 5.825169324874878)]"
bfgs,3658,2,0.3,"[(0.8860714285714286, 0.0943615451769094, 11.456193447113037)]"
bfgs,3658,2,0.4,"[(0.8860714285714286, 0.0943615451769094, 23.1067156791687)]"
bfgs,3658,2,0.5,"[(0.8860714285714286, 0.0943615451769094, 43.97936964035034)]"
bfgs,3658,2,0.6,"[(0.8993571428571429, 0.09431157952338451, 69.81204628944397)]"
bfgs,3658,2,0.7,"[(0.8993571428571429, 0.09431157952338451, 105.4084951877594)]"
bfgs,3658,2,0.8,"[(0.8993571428571429, 0.09431157952338451, 136.05421614646912)]"
bfgs,3658,2,0.9,"[(0.8993571428571429, 0.09431157952338451, 174.93780374526978)]"
bfgs,3658,2,1.0,"[(0.8993571428571429, 0.09431157952338451, 212.73495054244995)]"
bfgs,3658,3,0.01,"[(0.8997142857142857, 0.1799428366394657, 1.081289291381836)]"
bfgs,3658,3,0.1,"[(0.8997142857142857, 0.1799428366394657, 13.01307463645935)]"
bfgs,3658,3,0.2,"[(0.8997142857142857, 0.1799428366394657, 41.019054651260376)]"
bfgs,3658,3,0.3,"[(0.8997142857142857, 0.1799428366394657, 76.6312096118927)]"
bfgs,3658,3,0.4,"[(0.8997142857142857, 0.1799428366394657, 117.45614409446716)]"
bfgs,3658,3,0.5,"[(0.8997142857142857, 0.1799428366394657, 161.40197157859802)]"
bfgs,3658,3,0.6,"[(0.8997142857142857, 0.1799428366394657, 202.2609508037567)]"
bfgs,3658,3,0.7,"[(0.8997142857142857, 0.1799428366394657, 247.60586833953857)]"
bfgs,3658,3,0.8,"[(0.8997142857142857, 0.1799428366394657, 288.1076662540436)]"
bfgs,3658,3,0.9,"[(0.8997142857142857, 0.1799428366394657, 332.2785336971283)]"
bfgs,3658,3,1.0,"[(0.8997142857142857, 0.1799428366394657, 371.8292701244354)]"
