algorithm,dimension,run,checkpoint,error
bfgs,3658,0,0.01,"[(0.781, 0.09466154923461592, 133.15565586090088)]"
bfgs,3658,0,0.1,"[(0.6140714285714286, 0.08282349464065222, 1754.468589067459)]"
bfgs,3658,0,0.2,"[(0.6140714285714286, 0.08282349464065222, 3517.223265171051)]"
bfgs,3658,0,0.3,"[(0.6567857142857143, 0.0834757461865407, 5319.2001094818115)]"
bfgs,3658,0,0.4,"[(0.6567857142857143, 0.0834757461865407, 7037.596862792969)]"
bfgs,3658,0,0.5,"[(0.5880714285714286, 0.08153191241896375, 8789.975665569305)]"
bfgs,3658,0,0.6,"[(0.5880714285714286, 0.08153191241896375, 10501.614179134369)]"
bfgs,3658,0,0.7,"[(0.5880714285714286, 0.08153191241896375, 12219.731890916824)]"
bfgs,3658,0,0.8,"[(0.5312142857142856, 0.07268029340925197, 13935.465557575226)]"
bfgs,3658,0,0.9,"[(0.5312142857142856, 0.07268029340925197, 15631.003201723099)]"
bfgs,3658,0,1.0,"[(0.5312142857142856, 0.07268029340925197, 17352.59308075905)]"
bfgs,3658,1,0.01,"[(0.8199285714285715, 0.09564820888714927, 127.64838099479675)]"
bfgs,3658,1,0.1,"[(0.8140000000000001, 0.09558879164174822, 1764.7957196235657)]"
bfgs,3658,1,0.2,"[(0.8158571428571428, 0.0909408129576354, 3580.800029039383)]"
bfgs,3658,1,0.3,"[(0.8158571428571428, 0.0909408129576354, 5490.666974067688)]"
bfgs,3658,1,0.4,"[(0.8158571428571428, 0.0909408129576354, 8250.306013584137)]"
bfgs,3658,1,0.5,"[(0.8158571428571428, 0.0909408129576354, 11273.849108219147)]"
bfgs,3658,1,0.6,"[(0.8158571428571428, 0.0909408129576354, 14176.243084907532)]"
bfgs,3658,1,0.7,"[(0.8158571428571428, 0.0909408129576354, 17001.79603123665)]"
bfgs,3658,1,0.8,"[(0.8158571428571428, 0.0909408129576354, 19174.197206258774)]"
bfgs,3658,1,0.9,"[(0.8158571428571428, 0.0909408129576354, 19653.2650513649)]"
bfgs,3658,1,1.0,"[(0.8158571428571428, 0.0909408129576354, 19830.35059261322)]"
bfgs,3658,2,0.01,"[(0.8907142857142857, 0.09454293792287276, 170.84087562561035)]"
bfgs,3658,2,0.1,"[(0.8977857142857143, 0.09446230585933829, 2367.920953273773)]"
bfgs,3658,2,0.2,"[(0.8997142857142857, 0.09623955289219292, 4928.462636232376)]"
bfgs,3658,2,0.3,"[(0.8997142857142857, 0.09623955289219292, 7425.551056861877)]"
bfgs,3658,2,0.4,"[(0.8997142857142857, 0.09623955289219292, 9583.919643640518)]"
bfgs,3658,2,0.5,"[(0.8997142857142857, 0.09623955289219292, 11747.60250878334)]"
bfgs,3658,2,0.6,"[(0.9014285714285715, 0.0950330040307842, 13889.389155626297)]"
bfgs,3658,2,0.7,"[(0.9014285714285715, 0.0950330040307842, 16072.309953212738)]"
bfgs,3658,2,0.8,"[(0.8907142857142857, 0.09830867237661035, 18171.60754752159)]"
bfgs,3658,2,0.9,"[(0.8128571428571428, 0.08678323367996571, 19253.072873592377)]"
bfgs,3658,2,1.0,"[(0.8160000000000001, 0.0881511393781241, 19572.97594308853)]"
bfgs,3658,3,0.01,"[(0.8283571428571428, 0.08985234189462146, 126.86274337768555)]"
bfgs,3658,3,0.1,"[(0.6734285714285715, 0.08749143082987465, 1785.8903856277466)]"
bfgs,3658,3,0.2,"[(0.642, 0.0791445123037851, 3631.58624124527)]"
bfgs,3658,3,0.3,"[(0.6502142857142856, 0.07666406419894564, 5474.838958978653)]"
bfgs,3658,3,0.4,"[(0.6502142857142856, 0.07666406419894564, 7326.292531967163)]"
bfgs,3658,3,0.5,"[(0.5682857142857143, 0.07786839036232206, 9419.349804401398)]"
bfgs,3658,3,0.6,"[(0.6237142857142857, 0.08033558419754872, 11475.205697059631)]"
bfgs,3658,3,0.7,"[(0.6237142857142857, 0.08033558419754872, 13523.85466003418)]"
bfgs,3658,3,0.8,"[(0.6237142857142857, 0.08033558419754872, 15573.250179052353)]"
bfgs,3658,3,0.9,"[(0.5497857142857143, 0.07785301231106005, 17613.655521154404)]"
bfgs,3658,3,1.0,"[(0.5497857142857143, 0.07785301231106005, 19077.21740603447)]"
bfgs,3658,4,0.01,"[(0.9059285714285714, 0.09524262387331363, 160.57649493217468)]"
bfgs,3658,4,0.1,"[(0.7969285714285714, 0.08604704396488122, 1817.9827044010162)]"
bfgs,3658,4,0.2,"[(0.7969285714285714, 0.08604704396488122, 3608.780196428299)]"
bfgs,3658,4,0.3,"[(0.7969285714285714, 0.08604704396488122, 5426.911018610001)]"
bfgs,3658,4,0.4,"[(0.7969285714285714, 0.08604704396488122, 7273.412656784058)]"
bfgs,3658,4,0.5,"[(0.7969285714285714, 0.08604704396488122, 9357.820017814636)]"
