algorithm,dimension,run,checkpoint,error
bfgs,2058,0,0.01,"[(0.9029285714285714, 0.1805857004465395)]"
bfgs,2058,0,0.1,"[(0.9029285714285714, 0.1805857004465395)]"
bfgs,2058,0,0.2,"[(0.9029285714285714, 0.1805857004465395)]"
bfgs,2058,0,0.3,"[(0.9029285714285714, 0.1805857004465395)]"
bfgs,2058,0,0.4,"[(0.9029285714285714, 0.1805857004465395)]"
bfgs,2058,0,0.5,"[(0.9029285714285714, 0.1805857004465395)]"
bfgs,2058,0,0.6,"[(0.9029285714285714, 0.1805857004465395)]"
bfgs,2058,0,0.7,"[(0.9029285714285714, 0.1805857004465395)]"
bfgs,2058,0,0.8,"[(0.9029285714285714, 0.1805857004465395)]"
bfgs,2058,0,0.9,"[(0.9029285714285714, 0.1805857004465395)]"
bfgs,2058,0,1.0,"[(0.9029285714285714, 0.1805857004465395)]"
bfgs,2058,1,0.01,"[(0.9017142857142857, 0.18034284357218092)]"
bfgs,2058,1,0.1,"[(0.9017142857142857, 0.18034284357218092)]"
bfgs,2058,1,0.2,"[(0.9017142857142857, 0.18034284357218092)]"
bfgs,2058,1,0.3,"[(0.9017142857142857, 0.18034284357218092)]"
bfgs,2058,1,0.4,"[(0.9017142857142857, 0.18034284357218092)]"
bfgs,2058,1,0.5,"[(0.9017142857142857, 0.18034284357218092)]"
bfgs,2058,1,0.6,"[(0.9017142857142857, 0.18034284357218092)]"
bfgs,2058,1,0.7,"[(0.9017142857142857, 0.18034284357218092)]"
bfgs,2058,1,0.8,"[(0.9017142857142857, 0.18034284357218092)]"
bfgs,2058,1,0.9,"[(0.9017142857142857, 0.18034284357218092)]"
bfgs,2058,1,1.0,"[(0.9017142857142857, 0.18034284357218092)]"
bfgs,2058,2,0.01,"[(0.9030714285714285, 0.18061427186246007)]"
bfgs,2058,2,0.1,"[(0.9030714285714285, 0.18061427186246007)]"
bfgs,2058,2,0.2,"[(0.9030714285714285, 0.18061427186246007)]"
bfgs,2058,2,0.3,"[(0.9030714285714285, 0.18061427186246007)]"
bfgs,2058,2,0.4,"[(0.9030714285714285, 0.18061427186246007)]"
bfgs,2058,2,0.5,"[(0.9030714285714285, 0.18061427186246007)]"
bfgs,2058,2,0.6,"[(0.9030714285714285, 0.18061427186246007)]"
bfgs,2058,2,0.7,"[(0.9030714285714285, 0.18061427186246007)]"
bfgs,2058,2,0.8,"[(0.9030714285714285, 0.18061427186246007)]"
bfgs,2058,2,0.9,"[(0.9030714285714285, 0.18061427186246007)]"
bfgs,2058,2,1.0,"[(0.9030714285714285, 0.18061427186246007)]"
bfgs,2058,3,0.01,"[(0.9007142857142857, 0.18014284405382794)]"
bfgs,2058,3,0.1,"[(0.9007142857142857, 0.18014284405382794)]"
bfgs,2058,3,0.2,"[(0.9007142857142857, 0.18014284405382794)]"
bfgs,2058,3,0.3,"[(0.9007142857142857, 0.18014284405382794)]"
bfgs,2058,3,0.4,"[(0.9007142857142857, 0.18014284405382794)]"
bfgs,2058,3,0.5,"[(0.9007142857142857, 0.18014284405382794)]"
bfgs,2058,3,0.6,"[(0.9007142857142857, 0.18014284405382794)]"
bfgs,2058,3,0.7,"[(0.9007142857142857, 0.18014284405382794)]"
bfgs,2058,3,0.8,"[(0.9007142857142857, 0.18014284405382794)]"
bfgs,2058,3,0.9,"[(0.9007142857142857, 0.18014284405382794)]"
bfgs,2058,3,1.0,"[(0.9007142857142857, 0.18014284405382794)]"
bfgs,2058,4,0.01,"[(0.9010714285714285, 0.18021427236501278)]"
bfgs,2058,4,0.1,"[(0.9010714285714285, 0.18021427236501278)]"
bfgs,2058,4,0.2,"[(0.9010714285714285, 0.18021427236501278)]"
bfgs,2058,4,0.3,"[(0.9010714285714285, 0.18021427236501278)]"
bfgs,2058,4,0.4,"[(0.9010714285714285, 0.18021427236501278)]"
bfgs,2058,4,0.5,"[(0.9010714285714285, 0.18021427236501278)]"
bfgs,2058,4,0.6,"[(0.9010714285714285, 0.18021427236501278)]"
bfgs,2058,4,0.7,"[(0.9010714285714285, 0.18021427236501278)]"
bfgs,2058,4,0.8,"[(0.9010714285714285, 0.18021427236501278)]"
bfgs,2058,4,0.9,"[(0.9010714285714285, 0.18021427236501278)]"
bfgs,2058,4,1.0,"[(0.9010714285714285, 0.18021427236501278)]"
