algorithm,dimension,run,checkpoint,error
bfgs,3658,0,0.01,"[(0.8828125, 0.10794219814120076)]"
bfgs,3658,0,0.1,"[(0.8828125, 0.10794219814120076)]"
bfgs,3658,0,0.2,"[(0.8828125, 0.10794219814120076)]"
bfgs,3658,0,0.3,"[(0.8828125, 0.10794219814120076)]"
bfgs,3658,0,0.4,"[(0.8828125, 0.10794219814120076)]"
bfgs,3658,0,0.5,"[(0.8828125, 0.10794219814120076)]"
bfgs,3658,0,0.6,"[(0.8828125, 0.10794219814120076)]"
bfgs,3658,0,0.7,"[(0.8828125, 0.10794219814120076)]"
bfgs,3658,0,0.8,"[(0.8828125, 0.10794219814120076)]"
bfgs,3658,0,0.9,"[(0.8828125, 0.10794219814120076)]"
bfgs,3658,0,1.0,"[(0.8828125, 0.10794219814120076)]"
bfgs,3658,1,0.01,"[(0.859375, 0.10335235454264706)]"
bfgs,3658,1,0.1,"[(0.859375, 0.10335235454264706)]"
bfgs,3658,1,0.2,"[(0.859375, 0.10335235454264706)]"
bfgs,3658,1,0.3,"[(0.859375, 0.10335235454264706)]"
bfgs,3658,1,0.4,"[(0.859375, 0.10335235454264706)]"
bfgs,3658,1,0.5,"[(0.859375, 0.10335235454264706)]"
bfgs,3658,1,0.6,"[(0.859375, 0.10335235454264706)]"
bfgs,3658,1,0.7,"[(0.859375, 0.10335235454264706)]"
bfgs,3658,1,0.8,"[(0.859375, 0.10335235454264706)]"
bfgs,3658,1,0.9,"[(0.859375, 0.10335235454264706)]"
bfgs,3658,1,1.0,"[(0.859375, 0.10335235454264706)]"
bfgs,3658,2,0.01,"[(0.8671875, 0.17343749998486177)]"
bfgs,3658,2,0.1,"[(0.8671875, 0.17343749998486177)]"
bfgs,3658,2,0.2,"[(0.8671875, 0.17343749998486177)]"
bfgs,3658,2,0.3,"[(0.8671875, 0.17343749998486177)]"
bfgs,3658,2,0.4,"[(0.8671875, 0.17343749998486177)]"
bfgs,3658,2,0.5,"[(0.8671875, 0.17343749998486177)]"
bfgs,3658,2,0.6,"[(0.8671875, 0.17343749998486177)]"
bfgs,3658,2,0.7,"[(0.8671875, 0.17343749998486177)]"
bfgs,3658,2,0.8,"[(0.8671875, 0.17343749998486177)]"
bfgs,3658,2,0.9,"[(0.8671875, 0.17343749998486177)]"
bfgs,3658,2,1.0,"[(0.8671875, 0.17343749998486177)]"
bfgs,3658,3,0.01,"[(0.875, 0.08952636829845219)]"
bfgs,3658,3,0.1,"[(0.875, 0.08952636829845219)]"
bfgs,3658,3,0.2,"[(0.875, 0.08952636829845219)]"
bfgs,3658,3,0.3,"[(0.875, 0.08952636829845219)]"
bfgs,3658,3,0.4,"[(0.875, 0.08952636829845219)]"
bfgs,3658,3,0.5,"[(0.875, 0.08952636829845219)]"
bfgs,3658,3,0.6,"[(0.875, 0.08952636829845219)]"
bfgs,3658,3,0.7,"[(0.875, 0.08952636829845219)]"
bfgs,3658,3,0.8,"[(0.875, 0.08952636829845219)]"
bfgs,3658,3,0.9,"[(0.875, 0.08952636829845219)]"
bfgs,3658,3,1.0,"[(0.875, 0.08952636829845219)]"
bfgs,3658,4,0.01,"[(0.828125, 0.1047805772252824)]"
bfgs,3658,4,0.1,"[(0.828125, 0.1047805772252824)]"
bfgs,3658,4,0.2,"[(0.828125, 0.1047805772252824)]"
bfgs,3658,4,0.3,"[(0.828125, 0.1047805772252824)]"
bfgs,3658,4,0.4,"[(0.828125, 0.1047805772252824)]"
bfgs,3658,4,0.5,"[(0.828125, 0.1047805772252824)]"
bfgs,3658,4,0.6,"[(0.828125, 0.1047805772252824)]"
bfgs,3658,4,0.7,"[(0.828125, 0.1047805772252824)]"
bfgs,3658,4,0.8,"[(0.828125, 0.1047805772252824)]"
bfgs,3658,4,0.9,"[(0.828125, 0.1047805772252824)]"
bfgs,3658,4,1.0,"[(0.828125, 0.1047805772252824)]"
