algorithm,dimension,run,checkpoint,error
bfgs,39,0,0.01,[0.33333333333333337]
bfgs,39,0,0.1,[0.33333333333333337]
bfgs,39,0,0.2,[0.33333333333333337]
bfgs,39,0,0.3,[0.33333333333333337]
bfgs,39,0,0.4,[0.33333333333333337]
bfgs,39,0,0.5,[0.33333333333333337]
bfgs,39,0,0.6,[0.33333333333333337]
bfgs,39,0,0.7,[0.33333333333333337]
bfgs,39,0,0.8,[0.33333333333333337]
bfgs,39,0,0.9,[0.33333333333333337]
bfgs,39,0,1.0,[0.33333333333333337]
bfgs,39,1,0.01,[0.33333333333333337]
bfgs,39,1,0.1,[0.33333333333333337]
bfgs,39,1,0.2,[0.33333333333333337]
bfgs,39,1,0.3,[0.33333333333333337]
bfgs,39,1,0.4,[0.33333333333333337]
bfgs,39,1,0.5,[0.33333333333333337]
bfgs,39,1,0.6,[0.33333333333333337]
bfgs,39,1,0.7,[0.33333333333333337]
bfgs,39,1,0.8,[0.33333333333333337]
bfgs,39,1,0.9,[0.33333333333333337]
bfgs,39,1,1.0,[0.33333333333333337]
bfgs,39,2,0.01,[0.10873569073260181]
bfgs,39,2,0.1,[0.10851046970512133]
bfgs,39,2,0.2,[0.10851046970512133]
bfgs,39,2,0.3,[0.10851046970512133]
bfgs,39,2,0.4,[0.10851046970512133]
bfgs,39,2,0.5,[0.10851046970512133]
bfgs,39,2,0.6,[0.10851046970512133]
bfgs,39,2,0.7,[0.10851046970512133]
bfgs,39,2,0.8,[0.10851046970512133]
bfgs,39,2,0.9,[0.10851046970512133]
bfgs,39,2,1.0,[0.10851046970512133]
bfgs,39,3,0.01,[0.21944481049236708]
bfgs,39,3,0.1,[0.21944481049236708]
bfgs,39,3,0.2,[0.21944481049236708]
bfgs,39,3,0.3,[0.21944481049236708]
bfgs,39,3,0.4,[0.21944481049236708]
bfgs,39,3,0.5,[0.21944481049236708]
bfgs,39,3,0.6,[0.21944481049236708]
bfgs,39,3,0.7,[0.21944481049236708]
bfgs,39,3,0.8,[0.21944481049236708]
bfgs,39,3,0.9,[0.21944481049236708]
bfgs,39,3,1.0,[0.21944481049236708]
bfgs,39,4,0.01,[0.009634125680032886]
bfgs,39,4,0.1,[0.006007006206868433]
bfgs,39,4,0.2,[0.006007006206868433]
bfgs,39,4,0.3,[0.006007006206868433]
bfgs,39,4,0.4,[0.006007006206868433]
bfgs,39,4,0.5,[0.006007006206868433]
bfgs,39,4,0.6,[0.006007006206868433]
bfgs,39,4,0.7,[0.006007006206868433]
bfgs,39,4,0.8,[0.006007006206868433]
bfgs,39,4,0.9,[0.006007006206868433]
bfgs,39,4,1.0,[0.006007006206868433]
bfgs,39,5,0.01,[0.33333333333333337]
bfgs,39,5,0.1,[0.33333333333333337]
bfgs,39,5,0.2,[0.33333333333333337]
bfgs,39,5,0.3,[0.33333333333333337]
bfgs,39,5,0.4,[0.33333333333333337]
bfgs,39,5,0.5,[0.33333333333333337]
bfgs,39,5,0.6,[0.33333333333333337]
bfgs,39,5,0.7,[0.33333333333333337]
bfgs,39,5,0.8,[0.33333333333333337]
bfgs,39,5,0.9,[0.33333333333333337]
bfgs,39,5,1.0,[0.33333333333333337]
bfgs,39,6,0.01,[0.33333333333333337]
bfgs,39,6,0.1,[0.33333333333333337]
bfgs,39,6,0.2,[0.33333333333333337]
bfgs,39,6,0.3,[0.33333333333333337]
bfgs,39,6,0.4,[0.33333333333333337]
bfgs,39,6,0.5,[0.33333333333333337]
bfgs,39,6,0.6,[0.33333333333333337]
bfgs,39,6,0.7,[0.33333333333333337]
bfgs,39,6,0.8,[0.33333333333333337]
bfgs,39,6,0.9,[0.33333333333333337]
bfgs,39,6,1.0,[0.33333333333333337]
bfgs,39,7,0.01,[0.33333333333333337]
bfgs,39,7,0.1,[0.33333333333333337]
bfgs,39,7,0.2,[0.33333333333333337]
bfgs,39,7,0.3,[0.33333333333333337]
bfgs,39,7,0.4,[0.33333333333333337]
bfgs,39,7,0.5,[0.33333333333333337]
bfgs,39,7,0.6,[0.33333333333333337]
bfgs,39,7,0.7,[0.33333333333333337]
bfgs,39,7,0.8,[0.33333333333333337]
bfgs,39,7,0.9,[0.33333333333333337]
bfgs,39,7,1.0,[0.33333333333333337]
bfgs,39,8,0.01,[0.33333333333333337]
bfgs,39,8,0.1,[0.33333333333333337]
bfgs,39,8,0.2,[0.33333333333333337]
bfgs,39,8,0.3,[0.33333333333333337]
bfgs,39,8,0.4,[0.33333333333333337]
bfgs,39,8,0.5,[0.33333333333333337]
bfgs,39,8,0.6,[0.33333333333333337]
bfgs,39,8,0.7,[0.33333333333333337]
bfgs,39,8,0.8,[0.33333333333333337]
bfgs,39,8,0.9,[0.33333333333333337]
bfgs,39,8,1.0,[0.33333333333333337]
bfgs,39,9,0.01,[0.21840688333206526]
bfgs,39,9,0.1,[0.21840688333206526]
bfgs,39,9,0.2,[0.21840688333206526]
bfgs,39,9,0.3,[0.21840688333206526]
bfgs,39,9,0.4,[0.21840688333206526]
bfgs,39,9,0.5,[0.21840688333206526]
bfgs,39,9,0.6,[0.21840688333206526]
bfgs,39,9,0.7,[0.21840688333206526]
bfgs,39,9,0.8,[0.21840688333206526]
bfgs,39,9,0.9,[0.21840688333206526]
bfgs,39,9,1.0,[0.21840688333206526]
bfgs,39,10,0.01,[0.33333333333333337]
bfgs,39,10,0.1,[0.33333333333333337]
bfgs,39,10,0.2,[0.33333333333333337]
bfgs,39,10,0.3,[0.33333333333333337]
bfgs,39,10,0.4,[0.33333333333333337]
bfgs,39,10,0.5,[0.33333333333333337]
bfgs,39,10,0.6,[0.33333333333333337]
bfgs,39,10,0.7,[0.33333333333333337]
bfgs,39,10,0.8,[0.33333333333333337]
bfgs,39,10,0.9,[0.33333333333333337]
bfgs,39,10,1.0,[0.33333333333333337]
bfgs,39,11,0.01,[0.33333333333333337]
bfgs,39,11,0.1,[0.33333333333333337]
bfgs,39,11,0.2,[0.33333333333333337]
bfgs,39,11,0.3,[0.33333333333333337]
bfgs,39,11,0.4,[0.33333333333333337]
bfgs,39,11,0.5,[0.33333333333333337]
bfgs,39,11,0.6,[0.33333333333333337]
bfgs,39,11,0.7,[0.33333333333333337]
bfgs,39,11,0.8,[0.33333333333333337]
bfgs,39,11,0.9,[0.33333333333333337]
bfgs,39,11,1.0,[0.33333333333333337]
bfgs,39,12,0.01,[0.33333333333333337]
bfgs,39,12,0.1,[0.33333333333333337]
bfgs,39,12,0.2,[0.33333333333333337]
bfgs,39,12,0.3,[0.33333333333333337]
bfgs,39,12,0.4,[0.33333333333333337]
bfgs,39,12,0.5,[0.33333333333333337]
bfgs,39,12,0.6,[0.33333333333333337]
bfgs,39,12,0.7,[0.33333333333333337]
bfgs,39,12,0.8,[0.33333333333333337]
bfgs,39,12,0.9,[0.33333333333333337]
bfgs,39,12,1.0,[0.33333333333333337]
bfgs,39,13,0.01,[0.11121004644413932]
bfgs,39,13,0.1,[0.11120066540304972]
bfgs,39,13,0.2,[0.11120066540304972]
bfgs,39,13,0.3,[0.11120066540304972]
bfgs,39,13,0.4,[0.11120066540304972]
bfgs,39,13,0.5,[0.11120066540304972]
bfgs,39,13,0.6,[0.11120066540304972]
bfgs,39,13,0.7,[0.11120066540304972]
bfgs,39,13,0.8,[0.11120066540304972]
bfgs,39,13,0.9,[0.11120066540304972]
bfgs,39,13,1.0,[0.11120066540304972]
bfgs,39,14,0.01,[0.009572188746567057]
bfgs,39,14,0.1,[0.009076435321139092]
bfgs,39,14,0.2,[0.009076435321139092]
bfgs,39,14,0.3,[0.009076435321139092]
bfgs,39,14,0.4,[0.009076435321139092]
bfgs,39,14,0.5,[0.009076435321139092]
bfgs,39,14,0.6,[0.009076435321139092]
bfgs,39,14,0.7,[0.009076435321139092]
bfgs,39,14,0.8,[0.009076435321139092]
bfgs,39,14,0.9,[0.009076435321139092]
bfgs,39,14,1.0,[0.009076435321139092]
bfgs,39,15,0.01,[0.00048696581046139543]
bfgs,39,15,0.1,[0.00022089733100578537]
bfgs,39,15,0.2,[0.00022089733100578537]
bfgs,39,15,0.3,[0.00022089733100578537]
bfgs,39,15,0.4,[0.00022089733100578537]
bfgs,39,15,0.5,[0.00022089733100578537]
bfgs,39,15,0.6,[0.00022089733100578537]
bfgs,39,15,0.7,[0.00022089733100578537]
bfgs,39,15,0.8,[0.00022089733100578537]
bfgs,39,15,0.9,[0.00022089733100578537]
bfgs,39,15,1.0,[0.00022089733100578537]
bfgs,39,16,0.01,[0.33333333333333337]
bfgs,39,16,0.1,[0.33333333333333337]
