algorithm,dimension,run,checkpoint,error
cmaes,3658,0,0.01,"[(0.643, 1.8673179653914402, 725.2785703781992)]"
cmaes,3658,0,0.1,"[(0.4890714285714286, 1.4992095295428602, 8590.426837292034)]"
cmaes,3658,0,0.2,"[(0.4890714285714286, 1.4992095295428602, 8590.426837292034)]"
cmaes,3658,0,0.3,"[(0.42121428571428576, 1.2844270781405915, 27624.097084776033)]"
cmaes,3658,0,0.4,"[(0.42121428571428576, 1.2844270781405915, 27624.097084776033)]"
cmaes,3658,0,0.5,"[(0.42121428571428576, 1.2844270781405915, 27624.097084776033)]"
cmaes,3658,0,0.6,"[(0.42121428571428576, 1.2844270781405915, 27624.097084776033)]"
cmaes,3658,0,0.7,"[(0.3672142857142857, 1.092161285756078, 65174.10390716232)]"
cmaes,3658,0,0.8,"[(0.3391428571428572, 1.0238444502988902, 80761.6330320104)]"
cmaes,3658,0,0.9,"[(0.33871428571428575, 1.0273264342247066, 84772.84656029101)]"
cmaes,3658,0,1.0,"[(0.33871428571428575, 1.0273264342247066, 84772.84656029101)]"
cmaes,3658,1,0.01,"[(0.7233571428571428, 2.040099750002452, 796.7239046129398)]"
cmaes,3658,1,0.1,"[(0.48250000000000004, 1.4313873027772255, 9173.239551723935)]"
cmaes,3658,1,0.2,"[(0.48664285714285715, 1.4269825746816973, 12536.433869463857)]"
cmaes,3658,1,0.3,"[(0.41300000000000003, 1.2630665035986797, 34055.73087682482)]"
cmaes,3658,1,0.4,"[(0.38428571428571423, 1.1927806774950218, 39076.25088044861)]"
cmaes,3658,1,0.5,"[(0.3812142857142857, 1.1418292689103833, 50914.43890354177)]"
cmaes,3658,1,0.6,"[(0.3812142857142857, 1.1418292689103833, 50914.43890354177)]"
cmaes,3658,1,0.7,"[(0.3812142857142857, 1.1418292689103833, 50914.43890354177)]"
cmaes,3658,1,0.8,"[(0.3812142857142857, 1.1418292689103833, 50914.43890354177)]"
cmaes,3658,1,0.9,"[(0.3812142857142857, 1.1418292689103833, 50914.43890354177)]"
cmaes,3658,1,1.0,"[(0.3812142857142857, 1.1418292689103833, 50914.43890354177)]"
cmaes,3658,2,0.01,"[(0.6977857142857142, 1.9552950348224016, 748.8901516241021)]"
cmaes,3658,2,0.1,"[(0.5189285714285714, 1.5222618770255056, 4479.831436873879)]"
cmaes,3658,2,0.2,"[(0.4753571428571428, 1.3511402790067684, 19818.07652184693)]"
cmaes,3658,2,0.3,"[(0.4675, 1.3694064319425938, 21406.130094055086)]"
cmaes,3658,2,0.4,"[(0.4362857142857143, 1.2696717604728043, 36067.446033705026)]"
cmaes,3658,2,0.5,"[(0.4362857142857143, 1.2696717604728043, 36067.446033705026)]"
cmaes,3658,2,0.6,"[(0.3799285714285714, 1.1631304067245725, 51922.931217058096)]"
cmaes,3658,2,0.7,"[(0.3340714285714286, 1.0327186731161055, 72277.65328308707)]"
cmaes,3658,2,0.8,"[(0.3065714285714286, 0.9892214509788482, 84080.99647434196)]"
cmaes,3658,2,0.9,"[(0.3065714285714286, 0.9892214509788482, 84080.99647434196)]"
cmaes,3658,2,1.0,"[(0.2886428571428571, 0.9174308792446954, 104418.53585212026)]"
cmaes,3658,3,0.01,"[(0.6905, 2.0004462943573884, 1100.2365063829347)]"
cmaes,3658,3,0.1,"[(0.5365714285714286, 1.540693485572609, 7810.196030110121)]"
cmaes,3658,3,0.2,"[(0.46178571428571424, 1.399648169584894, 17701.763946071733)]"
cmaes,3658,3,0.3,"[(0.46178571428571424, 1.399648169584894, 17701.763946071733)]"
cmaes,3658,3,0.4,"[(0.3651428571428571, 1.1249223848081238, 39759.18836621614)]"
cmaes,3658,3,0.5,"[(0.3568571428571429, 1.1088380909352957, 48187.638831329066)]"
cmaes,3658,3,0.6,"[(0.36342857142857143, 1.1190283767861815, 54102.69763462292)]"
cmaes,3658,3,0.7,"[(0.3503571428571428, 1.0894316524492753, 64007.19049816113)]"
cmaes,3658,3,0.8,"[(0.32299999999999995, 1.0081962682915173, 76336.27879631286)]"
cmaes,3658,3,0.9,"[(0.32299999999999995, 1.0081962682915173, 76336.27879631286)]"
cmaes,3658,3,1.0,"[(0.32299999999999995, 1.0081962682915173, 76336.27879631286)]"
cmaes,3658,4,0.01,"[(0.6854285714285715, 1.9535378360768019, 1178.573753993027)]"
cmaes,3658,4,0.1,"[(0.5092857142857143, 1.5281877489705609, 8414.314919591881)]"
