algorithm,dimension,run,checkpoint,error
cmaes,3658,0,0.01,"[(0.905, 3.5130654936161845, 2.605284009128809)]"
cmaes,3658,0,0.1,"[(0.8993571428571429, 2.4397738577807493, 239.90070397220552)]"
cmaes,3658,0,0.2,"[(0.8993571428571429, 2.4397738577807493, 729.4688829290681)]"
cmaes,3658,0,0.3,"[(0.8972857142857142, 2.4140853811815437, 1425.184040339198)]"
cmaes,3658,0,0.4,"[(0.8972857142857142, 2.4140853811815437, 2093.5929205473512)]"
cmaes,3658,0,0.5,"[(0.8972857142857142, 2.4140853811815437, 2093.5929205473512)]"
cmaes,3658,0,0.6,"[(0.8972857142857142, 2.4140853811815437, 2093.5929205473512)]"
cmaes,3658,0,0.7,"[(0.9007142857142857, 2.3689754110765886, 4255.661978723016)]"
cmaes,3658,0,0.8,"[(0.9007142857142857, 2.3689754110765886, 4255.661978723016)]"
cmaes,3658,0,0.9,"[(0.9007142857142857, 2.3689754110765886, 4255.661978723016)]"
cmaes,3658,0,1.0,"[(0.9007142857142857, 2.3689754110765886, 4255.661978723016)]"
cmaes,3658,1,0.01,"[(0.899, 3.1136208164635293, 4.311895868740976)]"
cmaes,3658,1,0.1,"[(0.8842857142857143, 2.5134584227211896, 641.1322152866051)]"
cmaes,3658,1,0.2,"[(0.9032857142857142, 2.4504011263970544, 1541.2227045367472)]"
cmaes,3658,1,0.3,"[(0.9032857142857142, 2.4504011263970544, 1541.2227045367472)]"
cmaes,3658,1,0.4,"[(0.9032857142857142, 2.4504011263970544, 2334.198281364981)]"
cmaes,3658,1,0.5,"[(0.9032857142857142, 2.4504011263970544, 2334.198281364981)]"
cmaes,3658,1,0.6,"[(0.9032857142857142, 2.4504011263970544, 4310.743044149596)]"
cmaes,3658,1,0.7,"[(0.9032857142857142, 2.4504011263970544, 4679.482462387998)]"
cmaes,3658,1,0.8,"[(0.9032857142857142, 2.4504011263970544, 4679.482462387998)]"
cmaes,3658,1,0.9,"[(0.9032857142857142, 2.4504011263970544, 5419.715646158904)]"
cmaes,3658,1,1.0,"[(0.9032857142857142, 2.4504011263970544, 5419.715646158904)]"
cmaes,3658,2,0.01,"[(0.8990714285714285, 3.3283907240165416, 6.623239288106561)]"
cmaes,3658,2,0.1,"[(0.8967142857142857, 2.3516403567566453, 134.19419752107933)]"
cmaes,3658,2,0.2,"[(0.8967142857142857, 2.3516403567566453, 509.42268439009786)]"
cmaes,3658,2,0.3,"[(0.8967142857142857, 2.3516403567566453, 509.42268439009786)]"
cmaes,3658,2,0.4,"[(0.8967142857142857, 2.3516403567566453, 1138.9106302522123)]"
cmaes,3658,2,0.5,"[(0.8967142857142857, 2.3516403567566453, 1138.9106302522123)]"
cmaes,3658,2,0.6,"[(0.8967142857142857, 2.3516403567566453, 2259.495513298083)]"
cmaes,3658,2,0.7,"[(0.8967142857142857, 2.3516403567566453, 2669.5696371751837)]"
cmaes,3658,2,0.8,"[(0.8967142857142857, 2.3516403567566453, 2827.078115440905)]"
cmaes,3658,2,0.9,"[(0.8967142857142857, 2.3516403567566453, 2827.078115440905)]"
cmaes,3658,2,1.0,"[(0.8967142857142857, 2.3516403567566453, 2827.078115440905)]"
cmaes,3658,3,0.01,"[(0.8934285714285715, 3.3373516001185486, 7.905822180677205)]"
cmaes,3658,3,0.1,"[(0.9043571428571429, 2.349803859178339, 329.36667450191453)]"
cmaes,3658,3,0.2,"[(0.9043571428571429, 2.349803859178339, 329.36667450191453)]"
cmaes,3658,3,0.3,"[(0.9043571428571429, 2.349803859178339, 329.36667450191453)]"
cmaes,3658,3,0.4,"[(0.9043571428571429, 2.349803859178339, 329.36667450191453)]"
cmaes,3658,3,0.5,"[(0.9043571428571429, 2.349803859178339, 329.36667450191453)]"
cmaes,3658,3,0.6,"[(0.9043571428571429, 2.349803859178339, 329.36667450191453)]"
cmaes,3658,3,0.7,"[(0.9043571428571429, 2.349803859178339, 329.36667450191453)]"
cmaes,3658,3,0.8,"[(0.9043571428571429, 2.349803859178339, 329.36667450191453)]"
cmaes,3658,3,0.9,"[(0.9043571428571429, 2.349803859178339, 3474.900992519688)]"
cmaes,3658,3,1.0,"[(0.9043571428571429, 2.349803859178339, 3474.900992519688)]"
cmaes,3658,4,0.01,"[(0.9018571428571429, 3.0217252248429234, 11.01526795886457)]"
cmaes,3658,4,0.1,"[(0.8989285714285714, 2.5300968473938723, 237.30716847721487)]"
cmaes,3658,4,0.2,"[(0.8993571428571429, 2.5249515816890606, 450.7097907559946)]"
cmaes,3658,4,0.3,"[(0.9018571428571429, 2.4403170665650764, 1113.4752193251625)]"
cmaes,3658,4,0.4,"[(0.9018571428571429, 2.4403170665650764, 1113.4752193251625)]"
cmaes,3658,4,0.5,"[(0.9018571428571429, 2.4403170665650764, 1113.4752193251625)]"
cmaes,3658,4,0.6,"[(0.9018571428571429, 2.4403170665650764, 1113.4752193251625)]"
cmaes,3658,4,0.7,"[(0.9033571428571429, 2.427893301794734, 2908.915649303235)]"
cmaes,3658,4,0.8,"[(0.9033571428571429, 2.427893301794734, 2908.915649303235)]"
cmaes,3658,4,0.9,"[(0.9033571428571429, 2.427893301794734, 3979.8513367180713)]"
cmaes,3658,4,1.0,"[(0.9033571428571429, 2.427893301794734, 4467.0984239210375)]"
cmaes,3658,5,0.01,"[(0.9012142857142857, 3.126988157438923, 10.576545394025743)]"
cmaes,3658,5,0.1,"[(0.8845714285714286, 2.487215136746396, 424.0985420178622)]"
cmaes,3658,5,0.2,"[(0.8845714285714286, 2.487215136746396, 658.3809124850668)]"
cmaes,3658,5,0.3,"[(0.8845714285714286, 2.487215136746396, 658.3809124850668)]"
cmaes,3658,5,0.4,"[(0.8845714285714286, 2.487215136746396, 658.3809124850668)]"
cmaes,3658,5,0.5,"[(0.8845714285714286, 2.487215136746396, 658.3809124850668)]"
cmaes,3658,5,0.6,"[(0.8845714285714286, 2.487215136746396, 658.3809124850668)]"
cmaes,3658,5,0.7,"[(0.8845714285714286, 2.487215136746396, 658.3809124850668)]"
cmaes,3658,5,0.8,"[(0.8845714285714286, 2.487215136746396, 658.3809124850668)]"
cmaes,3658,5,0.9,"[(0.8845714285714286, 2.487215136746396, 658.3809124850668)]"
cmaes,3658,5,1.0,"[(0.8845714285714286, 2.487215136746396, 658.3809124850668)]"
cmaes,3658,6,0.01,"[(0.9027142857142857, 3.3954479578055428, 10.567685795016587)]"
cmaes,3658,6,0.1,"[(0.8942142857142857, 2.585972698165616, 486.54085638094693)]"
cmaes,3658,6,0.2,"[(0.9022857142857142, 2.4303654963883954, 1141.9875826518983)]"
cmaes,3658,6,0.3,"[(0.9022857142857142, 2.4303654963883954, 1141.9875826518983)]"
cmaes,3658,6,0.4,"[(0.9022857142857142, 2.4303654963883954, 1141.9875826518983)]"
cmaes,3658,6,0.5,"[(0.9022857142857142, 2.4303654963883954, 3656.9384225420654)]"
cmaes,3658,6,0.6,"[(0.9022857142857142, 2.4303654963883954, 3656.9384225420654)]"
cmaes,3658,6,0.7,"[(0.8984285714285715, 2.395787141593303, 4786.380919337738)]"
cmaes,3658,6,0.8,"[(0.8984285714285715, 2.395787141593303, 4786.380919337738)]"
cmaes,3658,6,0.9,"[(0.8984285714285715, 2.395787141593303, 4786.380919337738)]"
cmaes,3658,6,1.0,"[(0.8984285714285715, 2.395787141593303, 5930.238172418904)]"
cmaes,3658,7,0.01,"[(0.8982142857142857, 3.0526826316904865, 14.747040803078562)]"
cmaes,3658,7,0.1,"[(0.9054285714285715, 2.6081400076222576, 238.27341418992728)]"
cmaes,3658,7,0.2,"[(0.8604285714285714, 2.416721100911886, 1336.9416012088768)]"
cmaes,3658,7,0.3,"[(0.8604285714285714, 2.416721100911886, 1745.1056436100043)]"
cmaes,3658,7,0.4,"[(0.8604285714285714, 2.416721100911886, 2656.3155823308043)]"
cmaes,3658,7,0.5,"[(0.8604285714285714, 2.416721100911886, 3118.3326886221766)]"
cmaes,3658,7,0.6,"[(0.8604285714285714, 2.416721100911886, 3614.272674576845)]"
cmaes,3658,7,0.7,"[(0.8604285714285714, 2.416721100911886, 3614.272674576845)]"
cmaes,3658,7,0.8,"[(0.8604285714285714, 2.416721100911886, 3614.272674576845)]"
cmaes,3658,7,0.9,"[(0.8604285714285714, 2.416721100911886, 5365.612352293916)]"
cmaes,3658,7,1.0,"[(0.8604285714285714, 2.416721100911886, 5365.612352293916)]"
cmaes,3658,8,0.01,"[(0.8982857142857142, 3.0100044311047305, 23.293985140975565)]"
cmaes,3658,8,0.1,"[(0.8842857142857143, 2.5223785236828102, 55.40781571995467)]"
cmaes,3658,8,0.2,"[(0.8842857142857143, 2.5223785236828102, 55.40781571995467)]"
cmaes,3658,8,0.3,"[(0.8842857142857143, 2.5223785236828102, 55.40781571995467)]"
cmaes,3658,8,0.4,"[(0.9026428571428572, 2.657510273727669, 2213.7574629257433)]"
cmaes,3658,8,0.5,"[(0.9008571428571428, 2.5091983271197438, 3350.11028619064)]"
cmaes,3658,8,0.6,"[(0.9112857142857143, 2.4398113580835306, 4135.112074374687)]"
cmaes,3658,8,0.7,"[(0.9112857142857143, 2.4398113580835306, 4135.112074374687)]"
cmaes,3658,8,0.8,"[(0.9112857142857143, 2.4398113580835306, 4135.112074374687)]"
cmaes,3658,8,0.9,"[(0.9112857142857143, 2.4398113580835306, 4135.112074374687)]"
cmaes,3658,8,1.0,"[(0.9112857142857143, 2.4398113580835306, 4135.112074374687)]"
cmaes,3658,9,0.01,"[(0.9000714285714286, 3.2383059479879677, 18.863500252831727)]"
cmaes,3658,9,0.1,"[(0.9072142857142858, 2.484527847410471, 136.8797841127962)]"
cmaes,3658,9,0.2,"[(0.9072142857142858, 2.484527847410471, 830.8911526189186)]"
cmaes,3658,9,0.3,"[(0.9001428571428571, 2.378516356640277, 1264.6781537076458)]"
cmaes,3658,9,0.4,"[(0.9001428571428571, 2.378516356640277, 1721.1329540717416)]"
cmaes,3658,9,0.5,"[(0.9001428571428571, 2.378516356640277, 2264.0742450440302)]"
cmaes,3658,9,0.6,"[(0.9001428571428571, 2.378516356640277, 2264.0742450440302)]"
cmaes,3658,9,0.7,"[(0.9001428571428571, 2.378516356640277, 3350.0398633629084)]"
cmaes,3658,9,0.8,"[(0.9001428571428571, 2.378516356640277, 3389.078073920682)]"
cmaes,3658,9,0.9,"[(0.9001428571428571, 2.378516356640277, 3389.078073920682)]"
cmaes,3658,9,1.0,"[(0.9001428571428571, 2.378516356640277, 3389.078073920682)]"
cmaes,3658,10,0.01,"[(0.8936428571428572, 2.787220186838827, 24.569113266654313)]"
cmaes,3658,10,0.1,"[(0.901, 2.5520898341097884, 886.037799693644)]"
cmaes,3658,10,0.2,"[(0.8870714285714285, 2.3955669055078004, 1362.4216095008887)]"
cmaes,3658,10,0.3,"[(0.8870714285714285, 2.3955669055078004, 2457.3999473899603)]"
cmaes,3658,10,0.4,"[(0.8870714285714285, 2.3955669055078004, 2457.3999473899603)]"
cmaes,3658,10,0.5,"[(0.8870714285714285, 2.3955669055078004, 2457.3999473899603)]"
cmaes,3658,10,0.6,"[(0.8870714285714285, 2.3955669055078004, 2457.3999473899603)]"
cmaes,3658,10,0.7,"[(0.8870714285714285, 2.3955669055078004, 2457.3999473899603)]"
cmaes,3658,10,0.8,"[(0.8870714285714285, 2.3955669055078004, 2457.3999473899603)]"
cmaes,3658,10,0.9,"[(0.8870714285714285, 2.3955669055078004, 2457.3999473899603)]"
cmaes,3658,10,1.0,"[(0.8870714285714285, 2.3955669055078004, 2457.3999473899603)]"
cmaes,3658,11,0.01,"[(0.8952142857142857, 3.2702477517493276, 25.336014439817518)]"
cmaes,3658,11,0.1,"[(0.9016428571428572, 2.6969426303853625, 862.231098625809)]"
cmaes,3658,11,0.2,"[(0.9015714285714286, 2.4865148267243846, 1579.7822693809867)]"
cmaes,3658,11,0.3,"[(0.9016428571428572, 2.472993005780281, 2424.665478535928)]"
cmaes,3658,11,0.4,"[(0.9016428571428572, 2.472993005780281, 2908.0591513561085)]"
cmaes,3658,11,0.5,"[(0.9016428571428572, 2.472993005780281, 2908.0591513561085)]"
cmaes,3658,11,0.6,"[(0.9014285714285715, 2.40238189073649, 4202.86969963694)]"
cmaes,3658,11,0.7,"[(0.9014285714285715, 2.40238189073649, 4508.6445505940355)]"
cmaes,3658,11,0.8,"[(0.9135714285714286, 2.42726875427493, 5234.2085378579795)]"
cmaes,3658,11,0.9,"[(0.9135714285714286, 2.42726875427493, 5507.632351689972)]"
