algorithm,dimension,run,checkpoint,error
cmaes,3658,0,0.01,"[(0.8936428571428572, 5.602492330254064, 7.3711727149784565)]"
cmaes,3658,0,0.1,"[(0.8975, 4.6153424523161615, 397.4727966529317)]"
cmaes,3658,0,0.2,"[(0.8975, 4.6153424523161615, 487.14985711406916)]"
cmaes,3658,0,0.3,"[(0.8975, 4.6153424523161615, 487.14985711406916)]"
cmaes,3658,0,0.4,"[(0.8975, 4.6153424523161615, 487.14985711406916)]"
cmaes,3658,0,0.5,"[(0.8975, 4.6153424523161615, 487.14985711406916)]"
cmaes,3658,0,0.6,"[(0.8966428571428572, 4.321128721292881, 2563.3012141180225)]"
cmaes,3658,0,0.7,"[(0.8966428571428572, 4.321128721292881, 2563.3012141180225)]"
cmaes,3658,0,0.8,"[(0.8966428571428572, 4.321128721292881, 3409.718189623207)]"
cmaes,3658,0,0.9,"[(0.8966428571428572, 4.321128721292881, 3812.5294254841283)]"
cmaes,3658,0,1.0,"[(0.8966428571428572, 4.321128721292881, 3938.407031137962)]"
cmaes,3658,1,0.01,"[(0.8974285714285715, 5.798384498503688, 2.111711534205824)]"
cmaes,3658,1,0.1,"[(0.8891428571428571, 4.851818802924045, 502.453653157223)]"
cmaes,3658,1,0.2,"[(0.8891428571428571, 4.851818802924045, 502.453653157223)]"
cmaes,3658,1,0.3,"[(0.8891428571428571, 4.851818802924045, 502.453653157223)]"
cmaes,3658,1,0.4,"[(0.8891428571428571, 4.851818802924045, 502.453653157223)]"
cmaes,3658,1,0.5,"[(0.8891428571428571, 4.851818802924045, 502.453653157223)]"
cmaes,3658,1,0.6,"[(0.8891428571428571, 4.851818802924045, 502.453653157223)]"
cmaes,3658,1,0.7,"[(0.8967857142857143, 4.518933190915456, 3169.450983847957)]"
cmaes,3658,1,0.8,"[(0.8967857142857143, 4.518933190915456, 3619.801917550154)]"
cmaes,3658,1,0.9,"[(0.8967857142857143, 4.518933190915456, 3737.4684653431177)]"
cmaes,3658,1,1.0,"[(0.8967857142857143, 4.518933190915456, 3737.4684653431177)]"
cmaes,3658,2,0.01,"[(0.9028571428571428, 5.731166615943044, 6.787059503141791)]"
cmaes,3658,2,0.1,"[(0.8857857142857143, 5.42251018501664, 98.83995245490223)]"
cmaes,3658,2,0.2,"[(0.8824285714285715, 5.144269198802217, 448.8473189328797)]"
cmaes,3658,2,0.3,"[(0.919, 4.821125967412792, 872.348647157196)]"
cmaes,3658,2,0.4,"[(0.919, 4.821125967412792, 872.348647157196)]"
cmaes,3658,2,0.5,"[(0.919, 4.821125967412792, 872.348647157196)]"
cmaes,3658,2,0.6,"[(0.919, 4.821125967412792, 2399.1151284570806)]"
cmaes,3658,2,0.7,"[(0.8986428571428572, 4.548983174990835, 2971.464437492192)]"
