algorithm,dimension,run,checkpoint,error
cmaes,3658,0,0.01,"[(0.9010714285714285, 0.11430176328405517, 2718.6148382597603)]"
cmaes,3658,0,0.1,"[(0.9010714285714285, 0.11430176328405517, 2718.6148382597603)]"
cmaes,3658,0,0.2,"[(0.9010714285714285, 0.11430176328405517, 2718.6148382597603)]"
cmaes,3658,0,0.3,"[(0.9010714285714285, 0.11430176328405517, 2718.6148382597603)]"
cmaes,3658,0,0.4,"[(0.9010714285714285, 0.11430176328405517, 2718.6148382597603)]"
cmaes,3658,0,0.5,"[(0.9010714285714285, 0.11430176328405517, 2718.6148382597603)]"
cmaes,3658,0,0.6,"[(0.9010714285714285, 0.11430176328405517, 2718.6148382597603)]"
cmaes,3658,0,0.7,"[(0.9010714285714285, 0.11430176328405517, 2718.6148382597603)]"
cmaes,3658,0,0.8,"[(0.9010714285714285, 0.11430176328405517, 2718.6148382597603)]"
cmaes,3658,0,0.9,"[(0.9010714285714285, 0.11430176328405517, 2718.6148382597603)]"
cmaes,3658,0,1.0,"[(0.9010714285714285, 0.11430176328405517, 2718.6148382597603)]"
cmaes,3658,1,0.01,"[(0.9004285714285715, 0.1159273434283578, 2186.570804195013)]"
cmaes,3658,1,0.1,"[(0.9004285714285715, 0.1159273434283578, 2186.570804195013)]"
cmaes,3658,1,0.2,"[(0.9004285714285715, 0.1159273434283578, 2186.570804195013)]"
cmaes,3658,1,0.3,"[(0.9004285714285715, 0.1159273434283578, 2186.570804195013)]"
cmaes,3658,1,0.4,"[(0.9004285714285715, 0.1159273434283578, 2186.570804195013)]"
cmaes,3658,1,0.5,"[(0.9004285714285715, 0.1159273434283578, 2186.570804195013)]"
cmaes,3658,1,0.6,"[(0.9004285714285715, 0.1159273434283578, 2186.570804195013)]"
cmaes,3658,1,0.7,"[(0.9004285714285715, 0.1159273434283578, 2186.570804195013)]"
cmaes,3658,1,0.8,"[(0.9004285714285715, 0.1159273434283578, 2186.570804195013)]"
cmaes,3658,1,0.9,"[(0.9004285714285715, 0.1159273434283578, 2186.570804195013)]"
cmaes,3658,1,1.0,"[(0.9004285714285715, 0.1159273434283578, 2186.570804195013)]"
cmaes,3658,2,0.01,"[(0.9034285714285715, 0.11880883390509386, 2208.1452026702464)]"
cmaes,3658,2,0.1,"[(0.9034285714285715, 0.11880883390509386, 2208.1452026702464)]"
cmaes,3658,2,0.2,"[(0.9034285714285715, 0.11880883390509386, 2208.1452026702464)]"
