algorithm,dimension,run,checkpoint,error
cmaes,3658,0,0.01,"[(0.905, 0.18075728512281444, 2.4927316550165415)]"
cmaes,3658,0,0.1,"[(0.8885, 0.10868822985002775, 346.0437753149308)]"
cmaes,3658,0,0.2,"[(0.8999285714285714, 0.10824767916451412, 919.4141637003049)]"
cmaes,3658,0,0.3,"[(0.8999285714285714, 0.10824767916451412, 919.4141637003049)]"
cmaes,3658,0,0.4,"[(0.8999285714285714, 0.10824767916451412, 1362.9724558722228)]"
cmaes,3658,0,0.5,"[(0.8999285714285714, 0.10824767916451412, 1362.9724558722228)]"
cmaes,3658,0,0.6,"[(0.8999285714285714, 0.10824767916451412, 1362.9724558722228)]"
cmaes,3658,0,0.7,"[(0.8999285714285714, 0.10824767916451412, 1362.9724558722228)]"
cmaes,3658,0,0.8,"[(0.8999285714285714, 0.10824767916451412, 1362.9724558722228)]"
cmaes,3658,0,0.9,"[(0.8999285714285714, 0.10824767916451412, 1362.9724558722228)]"
cmaes,3658,0,1.0,"[(0.8999285714285714, 0.10824767916451412, 1362.9724558722228)]"
cmaes,3658,1,0.01,"[(0.8974285714285715, 0.1143071326709501, 8.265120321884751)]"
cmaes,3658,1,0.1,"[(0.9031428571428571, 0.11383817557352373, 487.48739365581423)]"
cmaes,3658,1,0.2,"[(0.9031428571428571, 0.11383817557352373, 778.7572453678586)]"
cmaes,3658,1,0.3,"[(0.8958571428571429, 0.10815169454395308, 1777.918740997091)]"
cmaes,3658,1,0.4,"[(0.8958571428571429, 0.10815169454395308, 2154.6578966090456)]"
cmaes,3658,1,0.5,"[(0.8958571428571429, 0.10815169454395308, 2154.6578966090456)]"
cmaes,3658,1,0.6,"[(0.8958571428571429, 0.10815169454395308, 2154.6578966090456)]"
cmaes,3658,1,0.7,"[(0.8958571428571429, 0.10815169454395308, 2154.6578966090456)]"
cmaes,3658,1,0.8,"[(0.8958571428571429, 0.10815169454395308, 2154.6578966090456)]"
cmaes,3658,1,0.9,"[(0.8958571428571429, 0.10815169454395308, 2154.6578966090456)]"
cmaes,3658,1,1.0,"[(0.8958571428571429, 0.10815169454395308, 2154.6578966090456)]"
cmaes,3658,2,0.01,"[(0.8955, 0.13911008287343402, 5.100677162408829)]"
cmaes,3658,2,0.1,"[(0.8897142857142857, 0.11633877913267772, 292.16014375537634)]"
cmaes,3658,2,0.2,"[(0.8897142857142857, 0.1171865068161638, 524.1899806931615)]"
cmaes,3658,2,0.3,"[(0.8897142857142857, 0.1171865068161638, 1052.0156549313106)]"
cmaes,3658,2,0.4,"[(0.8897142857142857, 0.1171865068161638, 1052.0156549313106)]"
cmaes,3658,2,0.5,"[(0.8897142857142857, 0.1171865068161638, 1052.0156549313106)]"
cmaes,3658,2,0.6,"[(0.8897142857142857, 0.11242747041348405, 2355.464973936323)]"
cmaes,3658,2,0.7,"[(0.8950714285714285, 0.1060750355873402, 2765.130414039362)]"
cmaes,3658,2,0.8,"[(0.8950714285714285, 0.1060750355873402, 2987.8294054591097)]"
cmaes,3658,2,0.9,"[(0.8950714285714285, 0.1060750355873402, 3653.913821949158)]"
cmaes,3658,2,1.0,"[(0.8950714285714285, 0.1060750355873402, 3966.5207814211026)]"
cmaes,3658,3,0.01,"[(0.8882142857142857, 0.12872939716817577, 8.769374123774469)]"
cmaes,3658,3,0.1,"[(0.9027142857142857, 0.11250014146753502, 514.7283949689008)]"
cmaes,3658,3,0.2,"[(0.9027142857142857, 0.11250014146753502, 676.804529231973)]"
cmaes,3658,3,0.3,"[(0.9027142857142857, 0.11250014146753502, 676.804529231973)]"
cmaes,3658,3,0.4,"[(0.9026428571428572, 0.11239178212436052, 2008.1458611018024)]"
cmaes,3658,3,0.5,"[(0.9026428571428572, 0.11239178212436052, 2008.1458611018024)]"
cmaes,3658,3,0.6,"[(0.9026428571428572, 0.11239178212436052, 3002.621113716159)]"
cmaes,3658,3,0.7,"[(0.9026428571428572, 0.1073584116203538, 3819.099114501849)]"
cmaes,3658,3,0.8,"[(0.9026428571428572, 0.1073584116203538, 3899.554775456898)]"
cmaes,3658,3,0.9,"[(0.8882142857142857, 0.10048189581485016, 4720.781589813065)]"
cmaes,3658,3,1.0,"[(0.8882142857142857, 0.10048189581485016, 4932.950560505036)]"
cmaes,3658,4,0.01,"[(0.9016428571428572, 0.13347894429749976, 9.256196312140673)]"
cmaes,3658,4,0.1,"[(0.901, 0.11361376182667701, 564.1685678237118)]"
cmaes,3658,4,0.2,"[(0.8967857142857143, 0.10537740340051331, 1073.3353372267447)]"
cmaes,3658,4,0.3,"[(0.8967857142857143, 0.10537740340051331, 1623.7150807450525)]"
cmaes,3658,4,0.4,"[(0.8967857142857143, 0.10537740340051331, 1982.0639297747985)]"
cmaes,3658,4,0.5,"[(0.8967857142857143, 0.10537740340051331, 1982.0639297747985)]"
cmaes,3658,4,0.6,"[(0.8967857142857143, 0.10537740340051331, 2985.1694533019327)]"
cmaes,3658,4,0.7,"[(0.8967857142857143, 0.10537740340051331, 2985.1694533019327)]"
cmaes,3658,4,0.8,"[(0.8967857142857143, 0.10537740340051331, 2985.1694533019327)]"
cmaes,3658,4,0.9,"[(0.8967857142857143, 0.10537740340051331, 2985.1694533019327)]"
cmaes,3658,4,1.0,"[(0.8967857142857143, 0.10537740340051331, 2985.1694533019327)]"
cmaes,3658,5,0.01,"[(0.9007142857142857, 0.14260967663058782, 9.797531784977764)]"
cmaes,3658,5,0.1,"[(0.9011428571428571, 0.11543197293035795, 331.300845567137)]"
cmaes,3658,5,0.2,"[(0.8835, 0.11353445881999195, 865.2689030617476)]"
cmaes,3658,5,0.3,"[(0.8835, 0.11353445881999195, 865.2689030617476)]"
cmaes,3658,5,0.4,"[(0.8976428571428572, 0.1053929770160912, 1791.6457592961378)]"
cmaes,3658,5,0.5,"[(0.8976428571428572, 0.1053929770160912, 2013.0925055900589)]"
cmaes,3658,5,0.6,"[(0.8976428571428572, 0.1053929770160912, 2537.397505566012)]"
cmaes,3658,5,0.7,"[(0.8976428571428572, 0.1053929770160912, 2537.397505566012)]"
cmaes,3658,5,0.8,"[(0.8976428571428572, 0.1053929770160912, 2537.397505566012)]"
cmaes,3658,5,0.9,"[(0.8976428571428572, 0.1053929770160912, 2537.397505566012)]"
cmaes,3658,5,1.0,"[(0.8976428571428572, 0.1053929770160912, 2537.397505566012)]"
cmaes,3658,6,0.01,"[(0.9027857142857143, 0.11432433402391166, 12.296808171086013)]"
cmaes,3658,6,0.1,"[(0.9027857142857143, 0.11432433402391166, 47.23028852324933)]"
cmaes,3658,6,0.2,"[(0.9027857142857143, 0.11432433402391166, 428.144754095003)]"
cmaes,3658,6,0.3,"[(0.9027857142857143, 0.11432433402391166, 428.144754095003)]"
cmaes,3658,6,0.4,"[(0.9055714285714286, 0.10935200825288006, 1282.5739645450376)]"
cmaes,3658,6,0.5,"[(0.9055714285714286, 0.10935200825288006, 1789.5763530340046)]"
cmaes,3658,6,0.6,"[(0.9055714285714286, 0.10935200825288006, 1789.5763530340046)]"
cmaes,3658,6,0.7,"[(0.9055714285714286, 0.10935200825288006, 1789.5763530340046)]"
cmaes,3658,6,0.8,"[(0.9055714285714286, 0.10935200825288006, 3066.5107950423844)]"
cmaes,3658,6,0.9,"[(0.9055714285714286, 0.10935200825288006, 3066.5107950423844)]"
cmaes,3658,6,1.0,"[(0.9055714285714286, 0.10935200825288006, 3066.5107950423844)]"
cmaes,3658,7,0.01,"[(0.9039285714285714, 0.13197292755101556, 5.386742063332349)]"
cmaes,3658,7,0.1,"[(0.9048571428571428, 0.11590986140924636, 288.80870558833703)]"
cmaes,3658,7,0.2,"[(0.8981428571428571, 0.10762753454719932, 610.9862420354038)]"
cmaes,3658,7,0.3,"[(0.8981428571428571, 0.10762753454719932, 1063.501675967127)]"
cmaes,3658,7,0.4,"[(0.8942857142857142, 0.10426610991348007, 1491.3637986583635)]"
cmaes,3658,7,0.5,"[(0.8942857142857142, 0.10426610991348007, 1623.7724952129647)]"
cmaes,3658,7,0.6,"[(0.8942857142857142, 0.10426610991348007, 2130.9508542111143)]"
cmaes,3658,7,0.7,"[(0.8942857142857142, 0.10426610991348007, 2130.9508542111143)]"
cmaes,3658,7,0.8,"[(0.9, 0.10303111767611438, 3238.3998738350347)]"
cmaes,3658,7,0.9,"[(0.9, 0.10303111767611438, 3238.3998738350347)]"
cmaes,3658,7,1.0,"[(0.9, 0.10303111767611438, 3238.3998738350347)]"
