algorithm,dimension,run,checkpoint,error
cmaes,3658,0,0.01,"[(0.9024285714285715, 0.10324796586335891, 1.7911499598994851)]"
cmaes,3658,0,0.1,"[(0.9024285714285715, 0.10324796586335891, 1.7911499598994851)]"
cmaes,3658,0,0.2,"[(0.9024285714285715, 0.1650714664160623, 865.565741145052)]"
cmaes,3658,0,0.3,"[(0.9024285714285715, 0.1650714664160623, 865.565741145052)]"
cmaes,3658,0,0.4,"[(0.9024285714285715, 0.1650714664160623, 865.565741145052)]"
cmaes,3658,0,0.5,"[(0.8545714285714285, 0.11350420594163657, 2388.9875859399326)]"
cmaes,3658,0,0.6,"[(0.8545714285714285, 0.11350420594163657, 2388.9875859399326)]"
cmaes,3658,0,0.7,"[(0.8545714285714285, 0.11350420594163657, 2388.9875859399326)]"
cmaes,3658,0,0.8,"[(0.8545714285714285, 0.11350420594163657, 2388.9875859399326)]"
cmaes,3658,0,0.9,"[(0.8545714285714285, 0.11350420594163657, 2388.9875859399326)]"
cmaes,3658,0,1.0,"[(0.8545714285714285, 0.11350420594163657, 2388.9875859399326)]"
cmaes,3658,1,0.01,"[(0.8972857142857142, 0.10415798364883183, 3.962912395130843)]"
cmaes,3658,1,0.1,"[(0.8972857142857142, 0.10415798364883183, 3.962912395130843)]"
cmaes,3658,1,0.2,"[(0.8972857142857142, 0.10415798364883183, 3.962912395130843)]"
cmaes,3658,1,0.3,"[(0.8972857142857142, 0.10415798364883183, 3.962912395130843)]"
cmaes,3658,1,0.4,"[(0.8995714285714286, 0.1040606915586343, 1480.860333591234)]"
cmaes,3658,1,0.5,"[(0.8742857142857143, 0.09726754529492931, 1826.2350095021538)]"
cmaes,3658,1,0.6,"[(0.8742857142857143, 0.09726754529492931, 1826.2350095021538)]"
cmaes,3658,1,0.7,"[(0.8742857142857143, 0.09726754529492931, 1826.2350095021538)]"
cmaes,3658,1,0.8,"[(0.8742857142857143, 0.09726754529492931, 1826.2350095021538)]"
cmaes,3658,1,0.9,"[(0.8742857142857143, 0.09726754529492931, 1826.2350095021538)]"
cmaes,3658,1,1.0,"[(0.8742857142857143, 0.09726754529492931, 1826.2350095021538)]"
cmaes,3658,2,0.01,"[(0.9046428571428571, 0.11951501379422035, 6.245875625871122)]"
cmaes,3658,2,0.1,"[(0.9046428571428571, 0.11951501379422035, 6.245875625871122)]"
cmaes,3658,2,0.2,"[(0.9046428571428571, 0.11951501379422035, 6.245875625871122)]"
cmaes,3658,2,0.3,"[(0.9046428571428571, 0.11951501379422035, 6.245875625871122)]"
cmaes,3658,2,0.4,"[(0.9046428571428571, 0.11951501379422035, 6.245875625871122)]"
cmaes,3658,2,0.5,"[(0.9046428571428571, 0.11951501379422035, 6.245875625871122)]"
cmaes,3658,2,0.6,"[(0.9046428571428571, 0.11951501379422035, 6.245875625871122)]"
cmaes,3658,2,0.7,"[(0.9046428571428571, 0.11951501379422035, 6.245875625871122)]"
cmaes,3658,2,0.8,"[(0.9046428571428571, 0.11951501379422035, 6.245875625871122)]"
cmaes,3658,2,0.9,"[(0.9046428571428571, 0.11951501379422035, 6.245875625871122)]"
cmaes,3658,2,1.0,"[(0.9046428571428571, 0.11951501379422035, 6.245875625871122)]"
cmaes,3658,3,0.01,"[(0.8841428571428571, 0.11053883186969268, 7.401023373939097)]"
cmaes,3658,3,0.1,"[(0.8841428571428571, 0.11053883186969268, 7.401023373939097)]"
cmaes,3658,3,0.2,"[(0.8718571428571429, 0.10267265939610769, 526.7635623072274)]"
cmaes,3658,3,0.3,"[(0.8718571428571429, 0.10267265939610769, 526.7635623072274)]"
cmaes,3658,3,0.4,"[(0.8718571428571429, 0.10267265939610769, 526.7635623072274)]"
cmaes,3658,3,0.5,"[(0.8457857142857143, 0.12589658815752985, 2839.7471090122126)]"
cmaes,3658,3,0.6,"[(0.8457857142857143, 0.12589658815752985, 2839.7471090122126)]"
cmaes,3658,3,0.7,"[(0.8457857142857143, 0.12589658815752985, 2839.7471090122126)]"
cmaes,3658,3,0.8,"[(0.8542857142857143, 0.11685219219267821, 4335.629996545147)]"
cmaes,3658,3,0.9,"[(0.8542857142857143, 0.11685219219267821, 4335.629996545147)]"
cmaes,3658,3,1.0,"[(0.8542857142857143, 0.11685219219267821, 4335.629996545147)]"
cmaes,3658,4,0.01,"[(0.8852857142857142, 0.10612848454664812, 6.852076316718012)]"
cmaes,3658,4,0.1,"[(0.8777857142857143, 0.10214400008974901, 29.051352132111788)]"
cmaes,3658,4,0.2,"[(0.8223571428571429, 0.09719609492000973, 642.6824221238494)]"
cmaes,3658,4,0.3,"[(0.8223571428571429, 0.09719609492000973, 642.6824221238494)]"
cmaes,3658,4,0.4,"[(0.8223571428571429, 0.09719609492000973, 642.6824221238494)]"
cmaes,3658,4,0.5,"[(0.8223571428571429, 0.09719609492000973, 642.6824221238494)]"
cmaes,3658,4,0.6,"[(0.8223571428571429, 0.09719609492000973, 2061.042330355849)]"
cmaes,3658,4,0.7,"[(0.8223571428571429, 0.09719609492000973, 2061.042330355849)]"
cmaes,3658,4,0.8,"[(0.8223571428571429, 0.09719609492000973, 2061.042330355849)]"
cmaes,3658,4,0.9,"[(0.8223571428571429, 0.09719609492000973, 2061.042330355849)]"
cmaes,3658,4,1.0,"[(0.8223571428571429, 0.09719609492000973, 2061.042330355849)]"
cmaes,3658,5,0.01,"[(0.8902142857142857, 0.10083175064174231, 3.4446911490522325)]"
cmaes,3658,5,0.1,"[(0.885, 0.10637698135831562, 177.41564910206944)]"
cmaes,3658,5,0.2,"[(0.8902142857142857, 0.1685855130516827, 646.6317522693425)]"
cmaes,3658,5,0.3,"[(0.8902142857142857, 0.1685855130516827, 646.6317522693425)]"
cmaes,3658,5,0.4,"[(0.8902142857142857, 0.1685855130516827, 646.6317522693425)]"
cmaes,3658,5,0.5,"[(0.8902142857142857, 0.1685855130516827, 646.6317522693425)]"
cmaes,3658,5,0.6,"[(0.8902142857142857, 0.1685855130516827, 646.6317522693425)]"
cmaes,3658,5,0.7,"[(0.8755, 0.12435057185149763, 2505.3678032970056)]"
cmaes,3658,5,0.8,"[(0.8945714285714286, 0.15304089075659236, 2693.365427964367)]"
cmaes,3658,5,0.9,"[(0.8945714285714286, 0.15304089075659236, 2693.365427964367)]"
cmaes,3658,5,1.0,"[(0.8945714285714286, 0.15304089075659236, 2693.365427964367)]"
cmaes,3658,6,0.01,"[(0.8949285714285714, 0.09757132630989847, 9.697187399957329)]"
cmaes,3658,6,0.1,"[(0.8949285714285714, 0.09757132630989847, 9.697187399957329)]"
cmaes,3658,6,0.2,"[(0.8899285714285714, 0.11130853254429468, 659.7175722252578)]"
cmaes,3658,6,0.3,"[(0.8899285714285714, 0.11130853254429468, 659.7175722252578)]"
cmaes,3658,6,0.4,"[(0.8899285714285714, 0.11130853254429468, 659.7175722252578)]"
cmaes,3658,6,0.5,"[(0.8899285714285714, 0.11130853254429468, 659.7175722252578)]"
cmaes,3658,6,0.6,"[(0.8899285714285714, 0.11130853254429468, 659.7175722252578)]"
cmaes,3658,6,0.7,"[(0.8899285714285714, 0.11130853254429468, 659.7175722252578)]"
cmaes,3658,6,0.8,"[(0.8899285714285714, 0.11130853254429468, 659.7175722252578)]"
cmaes,3658,6,0.9,"[(0.8899285714285714, 0.11130853254429468, 659.7175722252578)]"
cmaes,3658,6,1.0,"[(0.8899285714285714, 0.11130853254429468, 659.7175722252578)]"
cmaes,3658,7,0.01,"[(0.903, 0.10965100967907314, 16.13122773775831)]"
cmaes,3658,7,0.1,"[(0.9027857142857143, 0.10036869970783326, 76.99072525277734)]"
cmaes,3658,7,0.2,"[(0.9027857142857143, 0.10036869970783326, 76.99072525277734)]"
cmaes,3658,7,0.3,"[(0.9027857142857143, 0.10036869970783326, 76.99072525277734)]"
cmaes,3658,7,0.4,"[(0.9027857142857143, 0.10036869970783326, 76.99072525277734)]"
cmaes,3658,7,0.5,"[(0.9027857142857143, 0.10036869970783326, 76.99072525277734)]"
cmaes,3658,7,0.6,"[(0.8896428571428572, 0.09564816008005482, 3097.011910854839)]"
cmaes,3658,7,0.7,"[(0.8469285714285715, 0.10303206647716279, 3309.4552312921733)]"
cmaes,3658,7,0.8,"[(0.8469285714285715, 0.10303206647716279, 3309.4552312921733)]"
cmaes,3658,7,0.9,"[(0.8469285714285715, 0.10303206647716279, 3309.4552312921733)]"
cmaes,3658,7,1.0,"[(0.8469285714285715, 0.10303206647716279, 3309.4552312921733)]"
cmaes,3658,8,0.01,"[(0.8836428571428572, 0.10580313273695532, 20.75302542420104)]"
cmaes,3658,8,0.1,"[(0.8634999999999999, 0.10304933319497334, 530.2117409030907)]"
cmaes,3658,8,0.2,"[(0.8634999999999999, 0.10304933319497334, 981.0161479180679)]"
cmaes,3658,8,0.3,"[(0.8634999999999999, 0.10304933319497334, 981.0161479180679)]"
cmaes,3658,8,0.4,"[(0.8634999999999999, 0.10304933319497334, 981.0161479180679)]"
cmaes,3658,8,0.5,"[(0.8634999999999999, 0.10304933319497334, 981.0161479180679)]"
cmaes,3658,8,0.6,"[(0.8634999999999999, 0.10304933319497334, 981.0161479180679)]"
cmaes,3658,8,0.7,"[(0.8634999999999999, 0.10304933319497334, 981.0161479180679)]"
cmaes,3658,8,0.8,"[(0.8634999999999999, 0.10304933319497334, 981.0161479180679)]"
