algorithm,dimension,run,checkpoint,error
cmaes,3658,0,0.01,"[(0.902, 0.09758655115695432, 3.540723539888859)]"
cmaes,3658,0,0.1,"[(0.897, 0.09338763390379971, 227.74532390991226)]"
cmaes,3658,0,0.2,"[(0.9032142857142857, 0.09232661051695117, 515.2695458158851)]"
cmaes,3658,0,0.3,"[(0.9032142857142857, 0.09232661051695117, 515.2695458158851)]"
cmaes,3658,0,0.4,"[(0.9032142857142857, 0.09232661051695117, 1697.7730661970563)]"
cmaes,3658,0,0.5,"[(0.9032142857142857, 0.09232661051695117, 1697.7730661970563)]"
cmaes,3658,0,0.6,"[(0.9032142857142857, 0.09232661051695117, 1697.7730661970563)]"
cmaes,3658,0,0.7,"[(0.9032142857142857, 0.09232661051695117, 1697.7730661970563)]"
cmaes,3658,0,0.8,"[(0.9105714285714286, 0.09247486758581426, 3768.3030474181287)]"
cmaes,3658,0,0.9,"[(0.9105714285714286, 0.09247486758581426, 3768.3030474181287)]"
cmaes,3658,0,1.0,"[(0.9007857142857143, 0.09217979174719491, 4657.548656840809)]"
cmaes,3658,1,0.01,"[(0.902, 0.09737786394863726, 2.427169218659401)]"
cmaes,3658,1,0.1,"[(0.9065, 0.09630193173330794, 172.6242461646907)]"
cmaes,3658,1,0.2,"[(0.8867857142857143, 0.09396308661477451, 306.9975524987094)]"
cmaes,3658,1,0.3,"[(0.9065, 0.09378150095160107, 524.3709459155798)]"
cmaes,3658,1,0.4,"[(0.9065, 0.09378150095160107, 524.3709459155798)]"
cmaes,3658,1,0.5,"[(0.9065, 0.09378150095160107, 524.3709459155798)]"
cmaes,3658,1,0.6,"[(0.9065, 0.09378150095160107, 524.3709459155798)]"
cmaes,3658,1,0.7,"[(0.8962142857142857, 0.09311923781167275, 1299.2301981216297)]"
cmaes,3658,1,0.8,"[(0.8962142857142857, 0.09311923781167275, 1299.2301981216297)]"
cmaes,3658,1,0.9,"[(0.9033571428571429, 0.09260409894945476, 1853.2185813696124)]"
cmaes,3658,1,1.0,"[(0.9033571428571429, 0.09260409894945476, 1853.2185813696124)]"
cmaes,3658,2,0.01,"[(0.8902857142857143, 0.10011374048039468, 4.414601387921721)]"
cmaes,3658,2,0.1,"[(0.9104285714285715, 0.09627658838778015, 101.40641934098676)]"
cmaes,3658,2,0.2,"[(0.9070714285714285, 0.09455455519188279, 425.47048895899206)]"
cmaes,3658,2,0.3,"[(0.9070714285714285, 0.09455455519188279, 425.47048895899206)]"
cmaes,3658,2,0.4,"[(0.8737142857142857, 0.09343744570120795, 822.2549218726344)]"
cmaes,3658,2,0.5,"[(0.8737142857142857, 0.09343744570120795, 822.2549218726344)]"
cmaes,3658,2,0.6,"[(0.8987142857142857, 0.0917860796147099, 1539.3822051980533)]"
cmaes,3658,2,0.7,"[(0.8987142857142857, 0.0917860796147099, 1539.3822051980533)]"
cmaes,3658,2,0.8,"[(0.8987142857142857, 0.0917860796147099, 1539.3822051980533)]"
cmaes,3658,2,0.9,"[(0.8987142857142857, 0.0917860796147099, 1539.3822051980533)]"
cmaes,3658,2,1.0,"[(0.8987142857142857, 0.0917860796147099, 1539.3822051980533)]"
cmaes,3658,3,0.01,"[(0.8912142857142857, 0.10020023683264909, 13.570161311887205)]"
cmaes,3658,3,0.1,"[(0.9002857142857142, 0.09613708496409233, 466.8102807267569)]"
cmaes,3658,3,0.2,"[(0.8859285714285714, 0.09316727761952352, 987.0575832859613)]"
cmaes,3658,3,0.3,"[(0.9022857142857142, 0.09355443536187524, 1201.4879485126585)]"
cmaes,3658,3,0.4,"[(0.9022857142857142, 0.09355443536187524, 1201.4879485126585)]"
cmaes,3658,3,0.5,"[(0.9022857142857142, 0.09355443536187524, 1201.4879485126585)]"
cmaes,3658,3,0.6,"[(0.9022857142857142, 0.09355443536187524, 1201.4879485126585)]"
cmaes,3658,3,0.7,"[(0.9022857142857142, 0.09355443536187524, 1201.4879485126585)]"
cmaes,3658,3,0.8,"[(0.9022857142857142, 0.09355443536187524, 1201.4879485126585)]"
cmaes,3658,3,0.9,"[(0.9022857142857142, 0.09355443536187524, 1201.4879485126585)]"
cmaes,3658,3,1.0,"[(0.9022857142857142, 0.09355443536187524, 1201.4879485126585)]"
cmaes,3658,4,0.01,"[(0.8996428571428572, 0.0971204809072076, 17.341493812855333)]"
cmaes,3658,4,0.1,"[(0.888, 0.09177234497324661, 383.86903346097097)]"
cmaes,3658,4,0.2,"[(0.888, 0.09177234497324661, 383.86903346097097)]"
cmaes,3658,4,0.3,"[(0.888, 0.09177234497324661, 383.86903346097097)]"
cmaes,3658,4,0.4,"[(0.888, 0.09177234497324661, 383.86903346097097)]"
cmaes,3658,4,0.5,"[(0.888, 0.09177234497324661, 383.86903346097097)]"
cmaes,3658,4,0.6,"[(0.888, 0.09177234497324661, 2875.0007466240786)]"
cmaes,3658,4,0.7,"[(0.888, 0.09177234497324661, 2875.0007466240786)]"
cmaes,3658,4,0.8,"[(0.888, 0.09177234497324661, 2875.0007466240786)]"
cmaes,3658,4,0.9,"[(0.888, 0.09177234497324661, 2875.0007466240786)]"
cmaes,3658,4,1.0,"[(0.888, 0.09177234497324661, 2875.0007466240786)]"
cmaes,3658,5,0.01,"[(0.9003571428571429, 0.09574132674586244, 25.081843452062458)]"
cmaes,3658,5,0.1,"[(0.8942142857142857, 0.09318699771989059, 315.23574757389724)]"
