algorithm,dimension,run,checkpoint,error
cmaes,3658,0,0.01,"[(0.8982142857142857, 0.13679875859418816, 2.1596672600135207)]"
cmaes,3658,0,0.1,"[(0.8910714285714285, 0.12031742328121176, 49.99276745412499)]"
cmaes,3658,0,0.2,"[(0.9015, 0.11470202068218814, 656.3273530942388)]"
cmaes,3658,0,0.3,"[(0.8910714285714285, 0.1081809247053146, 931.458870892413)]"
cmaes,3658,0,0.4,"[(0.906, 0.10826519348871018, 1442.594121829141)]"
cmaes,3658,0,0.5,"[(0.906, 0.10826519348871018, 1887.626162450295)]"
cmaes,3658,0,0.6,"[(0.906, 0.10826519348871018, 1887.626162450295)]"
cmaes,3658,0,0.7,"[(0.906, 0.10826519348871018, 1887.626162450295)]"
cmaes,3658,0,0.8,"[(0.906, 0.10826519348871018, 1887.626162450295)]"
cmaes,3658,0,0.9,"[(0.8982142857142857, 0.10506311664800119, 3574.9684363394044)]"
cmaes,3658,0,1.0,"[(0.8982142857142857, 0.10506311664800119, 3574.9684363394044)]"
cmaes,3658,1,0.01,"[(0.8867857142857143, 0.11535252892524792, 7.149819769430906)]"
cmaes,3658,1,0.1,"[(0.9022857142857142, 0.10968687455320013, 228.1217235121876)]"
cmaes,3658,1,0.2,"[(0.9022857142857142, 0.10968687455320013, 228.1217235121876)]"
cmaes,3658,1,0.3,"[(0.9022857142857142, 0.10968687455320013, 228.1217235121876)]"
cmaes,3658,1,0.4,"[(0.9097142857142857, 0.10293578223102434, 1859.3486489942297)]"
cmaes,3658,1,0.5,"[(0.9097142857142857, 0.10293578223102434, 2117.5185850793496)]"
cmaes,3658,1,0.6,"[(0.9097142857142857, 0.10293578223102434, 2117.5185850793496)]"
cmaes,3658,1,0.7,"[(0.9097142857142857, 0.10293578223102434, 2117.5185850793496)]"
cmaes,3658,1,0.8,"[(0.9097142857142857, 0.10293578223102434, 3522.6134364912286)]"
cmaes,3658,1,0.9,"[(0.9097142857142857, 0.10293578223102434, 3522.6134364912286)]"
cmaes,3658,1,1.0,"[(0.9097142857142857, 0.10293578223102434, 3522.6134364912286)]"
cmaes,3658,2,0.01,"[(0.9005, 0.13118368969339703, 4.02596683613956)]"
cmaes,3658,2,0.1,"[(0.9005, 0.1170472635321861, 271.53203266998753)]"
cmaes,3658,2,0.2,"[(0.9062142857142857, 0.11344970254344111, 584.649205069989)]"
cmaes,3658,2,0.3,"[(0.9062142857142857, 0.11344970254344111, 770.0808330741711)]"
cmaes,3658,2,0.4,"[(0.8982142857142857, 0.10657050322997537, 1576.0017354600132)]"
cmaes,3658,2,0.5,"[(0.9052857142857142, 0.10335111189670394, 1985.6301528732292)]"
cmaes,3658,2,0.6,"[(0.9052857142857142, 0.10335111189670394, 2253.2262784549966)]"
cmaes,3658,2,0.7,"[(0.9052857142857142, 0.10335111189670394, 2592.1637366767973)]"
cmaes,3658,2,0.8,"[(0.9052857142857142, 0.10335111189670394, 2592.1637366767973)]"
cmaes,3658,2,0.9,"[(0.9052857142857142, 0.10335111189670394, 3412.432788120117)]"
cmaes,3658,2,1.0,"[(0.9052857142857142, 0.10335111189670394, 3827.214369481895)]"
cmaes,3658,3,0.01,"[(0.8981428571428571, 0.1304277875838007, 6.697768785059452)]"
cmaes,3658,3,0.1,"[(0.9035, 0.111678984796302, 132.9951112670824)]"
cmaes,3658,3,0.2,"[(0.8885714285714286, 0.10238399481344826, 782.8239745669998)]"
cmaes,3658,3,0.3,"[(0.8885714285714286, 0.10238399481344826, 782.8239745669998)]"
cmaes,3658,3,0.4,"[(0.8885714285714286, 0.10238399481344826, 1850.7553992848843)]"
cmaes,3658,3,0.5,"[(0.8885714285714286, 0.10238399481344826, 1850.7553992848843)]"
cmaes,3658,3,0.6,"[(0.8885714285714286, 0.10238399481344826, 1850.7553992848843)]"
cmaes,3658,3,0.7,"[(0.8885714285714286, 0.10238399481344826, 1850.7553992848843)]"
cmaes,3658,3,0.8,"[(0.8885714285714286, 0.10238399481344826, 1850.7553992848843)]"
cmaes,3658,3,0.9,"[(0.8885714285714286, 0.10238399481344826, 4422.513309738133)]"
cmaes,3658,3,1.0,"[(0.8885714285714286, 0.10238399481344826, 4422.513309738133)]"
cmaes,3658,4,0.01,"[(0.9017857142857143, 0.13777886644498832, 6.809045251924545)]"
cmaes,3658,4,0.1,"[(0.9015, 0.11708974237098155, 102.02226975886151)]"
cmaes,3658,4,0.2,"[(0.9015, 0.1093851223471411, 721.4116426296532)]"
cmaes,3658,4,0.3,"[(0.9015, 0.1093851223471411, 721.4116426296532)]"
cmaes,3658,4,0.4,"[(0.9015, 0.1093851223471411, 721.4116426296532)]"
cmaes,3658,4,0.5,"[(0.9015, 0.1093851223471411, 721.4116426296532)]"
cmaes,3658,4,0.6,"[(0.9015, 0.1093851223471411, 721.4116426296532)]"
cmaes,3658,4,0.7,"[(0.903, 0.10833183803991221, 3186.558052510023)]"
cmaes,3658,4,0.8,"[(0.903, 0.10833183803991221, 3186.558052510023)]"
cmaes,3658,4,0.9,"[(0.903, 0.10833183803991221, 3186.558052510023)]"
cmaes,3658,4,1.0,"[(0.903, 0.10833183803991221, 3186.558052510023)]"
cmaes,3658,5,0.01,"[(0.9097142857142857, 0.13383926179570949, 9.368101959116757)]"
cmaes,3658,5,0.1,"[(0.8882857142857143, 0.11147922008329204, 423.8552437061444)]"
