algorithm,dimension,run,checkpoint,error
cmaes,2058,0,0.01,"[(0.9147857142857143, 0.1322231090056924)]"
cmaes,2058,0,0.1,"[(0.5675, 0.11231104746746622)]"
cmaes,2058,0,0.2,"[(0.4903571428571428, 0.09704283608379467)]"
cmaes,2058,0,0.3,"[(0.45885714285714285, 0.09070544451039883)]"
cmaes,2058,0,0.4,"[(0.45885714285714285, 0.09070544451039883)]"
cmaes,2058,0,0.5,"[(0.45885714285714285, 0.09070544451039883)]"
cmaes,2058,0,0.6,"[(0.45885714285714285, 0.09070544451039883)]"
cmaes,2058,0,0.7,"[(0.45885714285714285, 0.09070544451039883)]"
cmaes,2058,0,0.8,"[(0.4562857142857143, 0.09035912580018167)]"
cmaes,2058,0,0.9,"[(0.4562857142857143, 0.09035912580018167)]"
cmaes,2058,0,1.0,"[(0.4562857142857143, 0.09035912580018167)]"
cmaes,2058,1,0.01,"[(0.8992142857142857, 0.13323780056730172)]"
cmaes,2058,1,0.1,"[(0.6152142857142857, 0.12225282923691538)]"
cmaes,2058,1,0.2,"[(0.5611428571428572, 0.11085450012041474)]"
cmaes,2058,1,0.3,"[(0.5697142857142857, 0.11265507140884291)]"
cmaes,2058,1,0.4,"[(0.5506428571428572, 0.1086204239379646)]"
cmaes,2058,1,0.5,"[(0.5397142857142857, 0.10624077372462042)]"
cmaes,2058,1,0.6,"[(0.5397142857142857, 0.10624077372462042)]"
cmaes,2058,1,0.7,"[(0.5397142857142857, 0.10624077372462042)]"
cmaes,2058,1,0.8,"[(0.5397142857142857, 0.10624077372462042)]"
cmaes,2058,1,0.9,"[(0.5292857142857144, 0.10433205475984966)]"
cmaes,2058,1,1.0,"[(0.5292857142857144, 0.10433205475984966)]"
cmaes,2058,2,0.01,"[(0.7927142857142857, 0.15694733806403977)]"
cmaes,2058,2,0.1,"[(0.5842857142857143, 0.11539954087431745)]"
cmaes,2058,2,0.2,"[(0.4987857142857143, 0.09875488050011802)]"
cmaes,2058,2,0.3,"[(0.4987857142857143, 0.09875488050011802)]"
cmaes,2058,2,0.4,"[(0.5002857142857142, 0.09896740253461796)]"
cmaes,2058,2,0.5,"[(0.5002857142857142, 0.09896740253461796)]"
cmaes,2058,2,0.6,"[(0.4671428571428572, 0.0923088669027673)]"
cmaes,2058,2,0.7,"[(0.4671428571428572, 0.0923088669027673)]"
cmaes,2058,2,0.8,"[(0.4671428571428572, 0.0923088669027673)]"
cmaes,2058,2,0.9,"[(0.4655714285714285, 0.09181402467636157)]"
cmaes,2058,2,1.0,"[(0.4655714285714285, 0.09181402467636157)]"
cmaes,2058,3,0.01,"[(0.8974285714285715, 0.12913546298191492)]"
cmaes,2058,3,0.1,"[(0.5742857142857143, 0.11427466936331059)]"
cmaes,2058,3,0.2,"[(0.5215000000000001, 0.1033561386220275)]"
cmaes,2058,3,0.3,"[(0.4832142857142857, 0.09574828631003098)]"
cmaes,2058,3,0.4,"[(0.4832142857142857, 0.09574828631003098)]"
cmaes,2058,3,0.5,"[(0.45878571428571424, 0.09073981842800627)]"
cmaes,2058,3,0.6,"[(0.45878571428571424, 0.09073981842800627)]"
cmaes,2058,3,0.7,"[(0.45878571428571424, 0.09073981842800627)]"
cmaes,2058,3,0.8,"[(0.45878571428571424, 0.09073981842800627)]"
cmaes,2058,3,0.9,"[(0.45878571428571424, 0.09073981842800627)]"
cmaes,2058,3,1.0,"[(0.45878571428571424, 0.09073981842800627)]"
cmaes,2058,4,0.01,"[(0.8524285714285714, 0.15612267589054477)]"
cmaes,2058,4,0.1,"[(0.6547142857142857, 0.13047309951332023)]"
cmaes,2058,4,0.2,"[(0.5749285714285715, 0.11428860607405768)]"
cmaes,2058,4,0.3,"[(0.5714285714285714, 0.11345880320539112)]"
cmaes,2058,4,0.4,"[(0.517, 0.10256648416948123)]"
cmaes,2058,4,0.5,"[(0.517, 0.10256648416948123)]"
cmaes,2058,4,0.6,"[(0.48864285714285716, 0.09691219446658601)]"
cmaes,2058,4,0.7,"[(0.4692142857142857, 0.09283876276402374)]"
cmaes,2058,4,0.8,"[(0.4692142857142857, 0.09283876276402374)]"
cmaes,2058,4,0.9,"[(0.4692142857142857, 0.09283876276402374)]"
cmaes,2058,4,1.0,"[(0.4692142857142857, 0.09283876276402374)]"
