algorithm,dimension,run,checkpoint,error
nlshade,3658,0,0.01,"[(0.8574285714285714, 2.295467543365103, 754.5661163330078)]"
nlshade,3658,0,0.1,"[(0.7822142857142858, 2.189227976883846, 7893.479477882385)]"
nlshade,3658,0,0.2,"[(0.7110714285714286, 2.042488561365327, 15844.005474805832)]"
nlshade,3658,0,0.3,"[(0.6287142857142858, 1.868028470220523, 24433.56338572502)]"
nlshade,3658,0,0.4,"[(0.6293571428571428, 1.8722989209349983, 32410.392622470856)]"
nlshade,3658,0,0.5,"[(0.6293571428571428, 1.8722989209349983, 40180.42364144325)]"
nlshade,3658,0,0.6,"[(0.6293571428571428, 1.8722989209349983, 47846.01432752609)]"
nlshade,3658,0,0.7,"[(0.6293571428571428, 1.8722989209349983, 56211.253231287)]"
nlshade,3658,0,0.8,"[(0.6293571428571428, 1.8722989209349983, 64953.39769029617)]"
nlshade,3658,0,0.9,"[(0.6293571428571428, 1.8722989209349983, 75073.47347164154)]"
nlshade,3658,0,1.0,"[(0.6293571428571428, 1.8722989209349983, 85559.10652899742)]"
nlshade,3658,1,0.01,"[(0.8520714285714286, 2.2987857298859296, 854.9847786426544)]"
nlshade,3658,1,0.1,"[(0.8482857142857143, 2.2719236660096107, 8241.95075917244)]"
nlshade,3658,1,0.2,"[(0.7122142857142857, 2.035640195839634, 16139.338407993317)]"
nlshade,3658,1,0.3,"[(0.6252142857142857, 1.834509682483865, 24889.32200217247)]"
nlshade,3658,1,0.4,"[(0.6157142857142857, 1.830327170046132, 33798.20318412781)]"
nlshade,3658,1,0.5,"[(0.6157142857142857, 1.830327170046132, 42082.72282767296)]"
nlshade,3658,1,0.6,"[(0.6157142857142857, 1.830327170046132, 50224.74112725258)]"
nlshade,3658,1,0.7,"[(0.6157142857142857, 1.830327170046132, 58396.201357126236)]"
nlshade,3658,1,0.8,"[(0.6157142857142857, 1.830327170046132, 67686.80644106865)]"
nlshade,3658,1,0.9,"[(0.6157142857142857, 1.830327170046132, 78041.00340533257)]"
nlshade,3658,1,1.0,"[(0.6157142857142857, 1.830327170046132, 86716.17399907112)]"
nlshade,3658,2,0.01,"[(0.8336428571428571, 2.33079482158183, 429.33248019218445)]"
nlshade,3658,2,0.1,"[(0.7873571428571429, 2.189938336812045, 7152.06818652153)]"
nlshade,3658,2,0.2,"[(0.6654285714285715, 1.922701278909337, 16037.635260105133)]"
nlshade,3658,2,0.3,"[(0.6436428571428572, 1.8958879112990117, 25031.723683595657)]"
nlshade,3658,2,0.4,"[(0.6458571428571429, 1.9219580281434654, 33877.167780160904)]"
nlshade,3658,2,0.5,"[(0.6458571428571429, 1.9219580281434654, 41385.006517887115)]"
nlshade,3658,2,0.6,"[(0.6458571428571429, 1.9219580281434654, 49420.21597743034)]"
nlshade,3658,2,0.7,"[(0.6458571428571429, 1.9219580281434654, 57522.97859764099)]"
nlshade,3658,2,0.8,"[(0.6458571428571429, 1.9219580281434654, 66371.55804300308)]"
nlshade,3658,2,0.9,"[(0.6458571428571429, 1.9219580281434654, 77798.23889756203)]"
nlshade,3658,2,1.0,"[(0.6458571428571429, 1.9219580281434654, 86517.96145296097)]"
nlshade,3658,3,0.01,"[(0.893, 2.3996225198287866, 619.2606291770935)]"
nlshade,3658,3,0.1,"[(0.8178571428571428, 2.2468796587202267, 7062.753272294998)]"
nlshade,3658,3,0.2,"[(0.8125714285714286, 2.2183748103871856, 14923.686713457108)]"
nlshade,3658,3,0.3,"[(0.7533571428571428, 2.19391803284625, 22971.095697641373)]"
nlshade,3658,3,0.4,"[(0.6950000000000001, 2.010559689805343, 30661.26369023323)]"
nlshade,3658,3,0.5,"[(0.6795714285714285, 1.9813805751770943, 39025.89008617401)]"
nlshade,3658,3,0.6,"[(0.6795714285714285, 1.9813805751770943, 48302.63896727562)]"
nlshade,3658,3,0.7,"[(0.6795714285714285, 1.9813805751770943, 57610.576897382736)]"
nlshade,3658,3,0.8,"[(0.6795714285714285, 1.9813805751770943, 67321.21774935722)]"
nlshade,3658,3,0.9,"[(0.6795714285714285, 1.9813805751770943, 77940.27346777916)]"
nlshade,3658,3,1.0,"[(0.6795714285714285, 1.9813805751770943, 86514.78281092644)]"
