algorithm,dimension,run,checkpoint,error
nlshade,3658,0,0.01,"[(0.9100714285714285, 2.304985319221188, 42.025219202041626)]"
nlshade,3658,0,0.1,"[(0.9100714285714285, 2.304253591863355, 327.6099708080292)]"
nlshade,3658,0,0.2,"[(0.8952142857142857, 2.304047507759585, 749.0015099048615)]"
nlshade,3658,0,0.3,"[(0.8995, 2.3025241191741235, 1071.4761352539062)]"
nlshade,3658,0,0.4,"[(0.8995, 2.305572162233829, 1423.3046848773956)]"
nlshade,3658,0,0.5,"[(0.8995, 2.305560726701341, 1788.6295139789581)]"
nlshade,3658,0,0.6,"[(0.8995, 2.3055518869736105, 2144.2777938842773)]"
nlshade,3658,0,0.7,"[(0.8926428571428572, 2.315061999260529, 2553.1658074855804)]"
nlshade,3658,0,0.8,"[(0.8926428571428572, 2.3150571163711406, 2947.077295064926)]"
nlshade,3658,0,0.9,"[(0.8336428571428571, 2.2930135682083215, 3368.94234085083)]"
nlshade,3658,0,1.0,"[(0.8336428571428571, 2.2930135682083215, 3796.089498758316)]"
nlshade,3658,1,0.01,"[(0.9103571428571429, 2.3051658052188655, 85.01860809326172)]"
nlshade,3658,1,0.1,"[(0.9005714285714286, 2.3044716054921435, 450.0438461303711)]"
nlshade,3658,1,0.2,"[(0.9034285714285715, 2.308812618065336, 993.1057670116425)]"
nlshade,3658,1,0.3,"[(0.9037142857142857, 2.313125957493252, 1480.127938747406)]"
nlshade,3658,1,0.4,"[(0.9037142857142857, 2.313125957493252, 1947.2696840763092)]"
nlshade,3658,1,0.5,"[(0.9037142857142857, 2.313125957493252, 2532.776023387909)]"
nlshade,3658,1,0.6,"[(0.9037142857142857, 2.313125957493252, 3140.1977064609528)]"
nlshade,3658,1,0.7,"[(0.8702857142857143, 2.3169915321150745, 3811.237873315811)]"
nlshade,3658,1,0.8,"[(0.8702857142857143, 2.3169915321150745, 4397.231554269791)]"
nlshade,3658,1,0.9,"[(0.8702857142857143, 2.3169915321150745, 4840.899774551392)]"
nlshade,3658,1,1.0,"[(0.8702857142857143, 2.3169915321150745, 5159.80135178566)]"
nlshade,3658,2,0.01,"[(0.8912142857142857, 2.3660607586784983, 104.30002355575562)]"
nlshade,3658,2,0.1,"[(0.8912857142857142, 2.3609833356082386, 560.1030654907227)]"
nlshade,3658,2,0.2,"[(0.8997142857142857, 2.3051908001319283, 1280.7012887001038)]"
nlshade,3658,2,0.3,"[(0.8997142857142857, 2.3051908001319283, 1915.3183612823486)]"
nlshade,3658,2,0.4,"[(0.8992142857142857, 2.3063457983855793, 2496.1280767917633)]"
nlshade,3658,2,0.5,"[(0.8992142857142857, 2.3063457983855793, 3186.9185407161713)]"
nlshade,3658,2,0.6,"[(0.8861428571428571, 2.306604156768865, 3958.329824924469)]"
nlshade,3658,2,0.7,"[(0.8913571428571428, 2.315432610920982, 4614.426254034042)]"
nlshade,3658,2,0.8,"[(0.8914285714285715, 2.307043668422668, 4764.471014499664)]"
nlshade,3658,2,0.9,"[(0.8914285714285715, 2.307043668422668, 4895.466118097305)]"
nlshade,3658,2,1.0,"[(0.8914285714285715, 2.307043668422668, 5063.090251684189)]"
nlshade,3658,3,0.01,"[(0.9095, 2.3048175217531153, 99.28021478652954)]"
nlshade,3658,3,0.1,"[(0.9095, 2.305598833746287, 575.4750719070435)]"
nlshade,3658,3,0.2,"[(0.8938571428571429, 2.3065261844778178, 1252.078286409378)]"
nlshade,3658,3,0.3,"[(0.9095, 2.307510836700469, 1787.3062107563019)]"
nlshade,3658,3,0.4,"[(0.8938571428571429, 2.3070577892806927, 2411.8970699310303)]"
nlshade,3658,3,0.5,"[(0.8938571428571429, 2.3070577892806927, 3087.892671585083)]"
nlshade,3658,3,0.6,"[(0.9083571428571429, 2.3277196924734262, 3804.9323530197144)]"
nlshade,3658,3,0.7,"[(0.9095, 2.32923771834327, 4494.541892290115)]"
nlshade,3658,3,0.8,"[(0.9095, 2.32923771834327, 4936.033966302872)]"
nlshade,3658,3,0.9,"[(0.9095, 2.32923771834327, 5263.758281707764)]"
nlshade,3658,3,1.0,"[(0.9095, 2.32923771834327, 5506.161982059479)]"
nlshade,3658,4,0.01,"[(0.9062857142857143, 2.30456086815218, 63.80235576629639)]"
nlshade,3658,4,0.1,"[(0.9062857142857143, 2.3048945110808234, 296.0846998691559)]"
nlshade,3658,4,0.2,"[(0.8976428571428572, 2.3099644478116703, 603.7258565425873)]"
nlshade,3658,4,0.3,"[(0.8976428571428572, 2.3069246000722297, 929.4620840549469)]"
nlshade,3658,4,0.4,"[(0.8976428571428572, 2.3041930966935253, 1260.624344110489)]"
nlshade,3658,4,0.5,"[(0.8976428571428572, 2.3052237231520736, 1606.6737904548645)]"
nlshade,3658,4,0.6,"[(0.8820714285714286, 2.330182997418357, 1949.8983204364777)]"
nlshade,3658,4,0.7,"[(0.8828571428571429, 2.3096907109625113, 2405.635243654251)]"
nlshade,3658,4,0.8,"[(0.8828571428571429, 2.3096907109625113, 2858.6727125644684)]"
nlshade,3658,4,0.9,"[(0.8828571428571429, 2.3096907109625113, 3330.519923210144)]"
nlshade,3658,4,1.0,"[(0.8828571428571429, 2.3096907109625113, 3785.9319977760315)]"
nlshade,3658,5,0.01,"[(0.8962142857142857, 2.3436841902703485, 127.103928565979)]"
nlshade,3658,5,0.1,"[(0.8962142857142857, 2.343682951504374, 474.89308762550354)]"
nlshade,3658,5,0.2,"[(0.9092857142857143, 2.310727301407894, 1011.4584896564484)]"
nlshade,3658,5,0.3,"[(0.8962142857142857, 2.3062134314193012, 1524.081041097641)]"
nlshade,3658,5,0.4,"[(0.9092857142857143, 2.315251043763946, 2048.434682369232)]"
nlshade,3658,5,0.5,"[(0.9092857142857143, 2.315251043763946, 2611.3189029693604)]"
nlshade,3658,5,0.6,"[(0.9092857142857143, 2.3121863165794494, 3200.1851875782013)]"
nlshade,3658,5,0.7,"[(0.9092857142857143, 2.3121863165794494, 3863.202579021454)]"
nlshade,3658,5,0.8,"[(0.9092857142857143, 2.3121863165794494, 4430.019457817078)]"
nlshade,3658,5,0.9,"[(0.9092857142857143, 2.3121863165794494, 4869.449273347855)]"
nlshade,3658,5,1.0,"[(0.9092857142857143, 2.3121863165794494, 5196.273622512817)]"
nlshade,3658,6,0.01,"[(0.9098571428571428, 2.3047868425416893, 125.0719850063324)]"
nlshade,3658,6,0.1,"[(0.9098571428571428, 2.3059920545766923, 482.24712109565735)]"
nlshade,3658,6,0.2,"[(0.9098571428571428, 2.3061445271179224, 1005.8892402648926)]"
nlshade,3658,6,0.3,"[(0.9098571428571428, 2.305975061455643, 1474.6673226356506)]"
nlshade,3658,6,0.4,"[(0.8890714285714285, 2.3553971369116566, 1940.554852962494)]"
nlshade,3658,6,0.5,"[(0.8890714285714285, 2.355236072882283, 2544.658413887024)]"
nlshade,3658,6,0.6,"[(0.8890714285714285, 2.3074099742122973, 3098.053183078766)]"
nlshade,3658,6,0.7,"[(0.8890714285714285, 2.3074099742122973, 3749.0133004188538)]"
nlshade,3658,6,0.8,"[(0.832, 2.2978657680019503, 4310.189576148987)]"
nlshade,3658,6,0.9,"[(0.8977142857142857, 2.3143563910418665, 4641.923367500305)]"
nlshade,3658,6,1.0,"[(0.8312142857142857, 2.3012760416606253, 4758.384561777115)]"
nlshade,3658,7,0.01,"[(0.9001428571428571, 2.347563695330392, 137.45589184761047)]"
nlshade,3658,7,0.1,"[(0.9001428571428571, 2.34747388499559, 493.09018874168396)]"
nlshade,3658,7,0.2,"[(0.9001428571428571, 2.3470261239429617, 1019.752917766571)]"
nlshade,3658,7,0.3,"[(0.9001428571428571, 2.3467361061154075, 1493.3644988536835)]"
nlshade,3658,7,0.4,"[(0.8938571428571429, 2.309770150105899, 2006.5066213607788)]"
nlshade,3658,7,0.5,"[(0.8938571428571429, 2.309770150105899, 2566.959164619446)]"
nlshade,3658,7,0.6,"[(0.8938571428571429, 2.309770150105899, 3122.4741237163544)]"
nlshade,3658,7,0.7,"[(0.8938571428571429, 2.309770150105899, 3802.0552892684937)]"
nlshade,3658,7,0.8,"[(0.9012857142857142, 2.2996808147018357, 4382.580437660217)]"
nlshade,3658,7,0.9,"[(0.9012857142857142, 2.3011917085508427, 4816.568382501602)]"
nlshade,3658,7,1.0,"[(0.9012857142857142, 2.3011917085508427, 5149.5011377334595)]"
nlshade,3658,8,0.01,"[(0.9137857142857143, 2.3056849907608963, 101.43482518196106)]"
nlshade,3658,8,0.1,"[(0.8977857142857143, 2.3063561066403495, 367.46323323249817)]"
nlshade,3658,8,0.2,"[(0.8977857142857143, 2.321460980953531, 766.4446341991425)]"
nlshade,3658,8,0.3,"[(0.8977857142857143, 2.321460980953531, 1105.5540027618408)]"
nlshade,3658,8,0.4,"[(0.8977857142857143, 2.311664693850391, 1452.9198887348175)]"
nlshade,3658,8,0.5,"[(0.8977857142857143, 2.311664693850391, 1817.632518529892)]"
nlshade,3658,8,0.6,"[(0.8977857142857143, 2.311664693850391, 2191.5544617176056)]"
nlshade,3658,8,0.7,"[(0.8601428571428571, 2.296179498119104, 2596.159097671509)]"
nlshade,3658,8,0.8,"[(0.8929285714285714, 2.2994041243584404, 2996.4098172187805)]"
nlshade,3658,8,0.9,"[(0.8895, 2.3056980903707722, 3423.8757705688477)]"
nlshade,3658,8,1.0,"[(0.8895, 2.3056980903707722, 3865.588725090027)]"
nlshade,3658,9,0.01,"[(0.9095, 2.3048185971052684, 111.3927013874054)]"
nlshade,3658,9,0.1,"[(0.9095, 2.304818900995796, 398.9126241207123)]"
nlshade,3658,9,0.2,"[(0.8926428571428572, 2.303853183810476, 821.0658984184265)]"
nlshade,3658,9,0.3,"[(0.8973571428571429, 2.307331044577233, 1144.9922740459442)]"
nlshade,3658,9,0.4,"[(0.8973571428571429, 2.3073315007293282, 1485.9437320232391)]"
nlshade,3658,9,0.5,"[(0.9013571428571429, 2.3089858942757213, 1889.7338016033173)]"
nlshade,3658,9,0.6,"[(0.9010714285714285, 2.30662489630968, 2294.747278690338)]"
nlshade,3658,9,0.7,"[(0.9016428571428572, 2.325928566858028, 2750.2679710388184)]"
nlshade,3658,9,0.8,"[(0.9116428571428572, 2.3189666986298545, 3206.298320055008)]"
nlshade,3658,9,0.9,"[(0.9116428571428572, 2.3189666986298545, 3654.669394016266)]"
nlshade,3658,9,1.0,"[(0.9116428571428572, 2.3189666986298545, 4112.371789455414)]"
nlshade,3658,10,0.01,"[(0.8987142857142857, 2.3425954461594984, 177.6059045791626)]"
nlshade,3658,10,0.1,"[(0.8987142857142857, 2.342387035097752, 643.0675506591797)]"
nlshade,3658,10,0.2,"[(0.8987142857142857, 2.3419219335726775, 1332.918217420578)]"
nlshade,3658,10,0.3,"[(0.8987142857142857, 2.3415882310785285, 1916.879177570343)]"
nlshade,3658,10,0.4,"[(0.8987142857142857, 2.341589144503581, 2577.353586435318)]"
nlshade,3658,10,0.5,"[(0.8987142857142857, 2.341589144503581, 3257.019986629486)]"
nlshade,3658,10,0.6,"[(0.8987142857142857, 2.341589144503581, 3942.3934197425842)]"
nlshade,3658,10,0.7,"[(0.8987142857142857, 2.341589144503581, 4603.5548787117)]"
nlshade,3658,10,0.8,"[(0.8851428571428571, 2.303605649186115, 4996.815078735352)]"
nlshade,3658,10,0.9,"[(0.8851428571428571, 2.303605649186115, 5305.0441954135895)]"
nlshade,3658,10,1.0,"[(0.8851428571428571, 2.303605649186115, 5522.494317531586)]"
