algorithm,dimension,run,checkpoint,error
nlshade,3658,0,0.01,"[(0.8802142857142857, 2.2975996843298696, 43.39339780807495)]"
nlshade,3658,0,0.1,"[(0.8803571428571428, 2.2976471718487543, 332.18009781837463)]"
nlshade,3658,0,0.2,"[(0.8803571428571428, 2.2976471718487543, 861.8030343055725)]"
nlshade,3658,0,0.3,"[(0.8803571428571428, 2.2976471718487543, 1351.776070356369)]"
nlshade,3658,0,0.4,"[(0.8672142857142857, 2.3003582321792764, 1869.0380446910858)]"
nlshade,3658,0,0.5,"[(0.8672142857142857, 2.3003582321792764, 2374.384004831314)]"
nlshade,3658,0,0.6,"[(0.8648571428571429, 2.2906019130073045, 2932.1036417484283)]"
nlshade,3658,0,0.7,"[(0.8987142857142857, 2.2942692228618, 3475.0241770744324)]"
nlshade,3658,0,0.8,"[(0.914, 2.3031828133994607, 4084.3774797916412)]"
nlshade,3658,0,0.9,"[(0.914, 2.3031828133994607, 4621.57536315918)]"
nlshade,3658,0,1.0,"[(0.914, 2.3031828133994607, 4988.910897493362)]"
nlshade,3658,1,0.01,"[(0.8674999999999999, 2.294729015185019, 73.83061051368713)]"
nlshade,3658,1,0.1,"[(0.8666428571428572, 2.2951801961607163, 335.5912926197052)]"
nlshade,3658,1,0.2,"[(0.8666428571428572, 2.2951801961607163, 741.5115330219269)]"
nlshade,3658,1,0.3,"[(0.8666428571428572, 2.2951801961607163, 1111.521407365799)]"
nlshade,3658,1,0.4,"[(0.8666428571428572, 2.2951801961607163, 1460.7543241977692)]"
nlshade,3658,1,0.5,"[(0.8687857142857143, 2.300237193365444, 1923.7855405807495)]"
nlshade,3658,1,0.6,"[(0.8687857142857143, 2.300237193365444, 2357.138125181198)]"
nlshade,3658,1,0.7,"[(0.8711428571428571, 2.301413547306936, 2911.7303171157837)]"
nlshade,3658,1,0.8,"[(0.8865, 2.2973849536040536, 3449.240779399872)]"
nlshade,3658,1,0.9,"[(0.8468571428571429, 2.265222420985838, 3970.8748297691345)]"
nlshade,3658,1,1.0,"[(0.84, 2.2170348118676757, 4340.752009391785)]"
nlshade,3658,2,0.01,"[(0.8397142857142857, 2.2830022613059247, 65.37422037124634)]"
nlshade,3658,2,0.1,"[(0.8397857142857142, 2.28300120453766, 388.48022866249084)]"
nlshade,3658,2,0.2,"[(0.8397857142857142, 2.28300120453766, 888.4732868671417)]"
nlshade,3658,2,0.3,"[(0.8397857142857142, 2.28300120453766, 1398.577564239502)]"
nlshade,3658,2,0.4,"[(0.8397857142857142, 2.28300120453766, 1908.7973020076752)]"
nlshade,3658,2,0.5,"[(0.8397857142857142, 2.28300120453766, 2418.449308872223)]"
nlshade,3658,2,0.6,"[(0.8416428571428571, 2.2927747042149176, 2972.141426086426)]"
nlshade,3658,2,0.7,"[(0.8431428571428572, 2.2944190406158316, 3595.6868636608124)]"
nlshade,3658,2,0.8,"[(0.8431428571428572, 2.2944190406158316, 4215.050197601318)]"
nlshade,3658,2,0.9,"[(0.8565714285714285, 2.2807592220468433, 4694.0451056957245)]"
nlshade,3658,2,1.0,"[(0.8565714285714285, 2.2807592220468433, 5010.739662408829)]"
nlshade,3658,3,0.01,"[(0.9277857142857143, 2.2999922899157137, 87.09345006942749)]"
nlshade,3658,3,0.1,"[(0.8937857142857143, 2.2936797478713937, 319.20979928970337)]"
nlshade,3658,3,0.2,"[(0.8937857142857143, 2.2936797478713937, 634.5045773983002)]"
nlshade,3658,3,0.3,"[(0.8937857142857143, 2.2936797478713937, 940.6002078056335)]"
nlshade,3658,3,0.4,"[(0.9282857142857143, 2.300003580255444, 1260.5986876487732)]"
nlshade,3658,3,0.5,"[(0.9282857142857143, 2.300003580255444, 1571.5021121501923)]"
nlshade,3658,3,0.6,"[(0.9016428571428572, 2.2855670085616713, 1915.2921829223633)]"
nlshade,3658,3,0.7,"[(0.8930714285714285, 2.284377751883709, 2262.2759544849396)]"
nlshade,3658,3,0.8,"[(0.8900714285714286, 2.286842764744822, 2617.6166231632233)]"
nlshade,3658,3,0.9,"[(0.8900714285714286, 2.286842764744822, 3028.532551765442)]"
nlshade,3658,3,1.0,"[(0.8900714285714286, 2.286842764744822, 3420.7990753650665)]"
nlshade,3658,4,0.01,"[(0.917, 2.311361983810776, 37.213441371917725)]"
nlshade,3658,4,0.1,"[(0.9175714285714286, 2.311377172339225, 314.99099826812744)]"
nlshade,3658,4,0.2,"[(0.9175714285714286, 2.311377172339225, 832.7334740161896)]"
nlshade,3658,4,0.3,"[(0.8477142857142858, 2.305880965282339, 1345.3212072849274)]"
nlshade,3658,4,0.4,"[(0.8477142857142858, 2.305880965282339, 1887.0362079143524)]"
nlshade,3658,4,0.5,"[(0.8997142857142857, 2.2908592951241573, 2400.773844718933)]"
nlshade,3658,4,0.6,"[(0.8442857142857143, 2.282267589720702, 2981.180559873581)]"
nlshade,3658,4,0.7,"[(0.8517857142857143, 2.2769749587384283, 3533.251443386078)]"
nlshade,3658,4,0.8,"[(0.8507142857142858, 2.2769384502041703, 4159.095027685165)]"
nlshade,3658,4,0.9,"[(0.8498571428571429, 2.2765758775768696, 4704.047335147858)]"
nlshade,3658,4,1.0,"[(0.8673571428571428, 2.2750008239198736, 5005.0431344509125)]"
nlshade,3658,5,0.01,"[(0.8795714285714286, 2.2987621332741455, 95.069997549057)]"
nlshade,3658,5,0.1,"[(0.8686428571428572, 2.294044878625609, 322.9260540008545)]"
nlshade,3658,5,0.2,"[(0.8602857142857143, 2.287629916197937, 645.1470665931702)]"
nlshade,3658,5,0.3,"[(0.8821428571428571, 2.298390218711208, 968.0168302059174)]"
nlshade,3658,5,0.4,"[(0.8821428571428571, 2.298390218711208, 1273.6210613250732)]"
nlshade,3658,5,0.5,"[(0.8663571428571428, 2.2942870820719823, 1591.6927585601807)]"
nlshade,3658,5,0.6,"[(0.8663571428571428, 2.2942870820719823, 1930.3773398399353)]"
nlshade,3658,5,0.7,"[(0.8618571428571429, 2.28885393022515, 2277.9479904174805)]"
nlshade,3658,5,0.8,"[(0.8618571428571429, 2.28885393022515, 2643.0104763507843)]"
