algorithm,dimension,run,checkpoint,error
nlshade,3658,0,0.01,"[(0.8952142857142857, 0.09000691931749345)]"
nlshade,3658,0,0.1,"[(0.8952142857142857, 0.09000691931749345)]"
nlshade,3658,0,0.2,"[(0.8952142857142857, 0.09000691931749345)]"
nlshade,3658,0,0.3,"[(0.8952142857142857, 0.09000691931749345)]"
nlshade,3658,0,0.4,"[(0.8952142857142857, 0.09000691931749345)]"
nlshade,3658,0,0.5,"[(0.8952142857142857, 0.09000691931749345)]"
nlshade,3658,0,0.6,"[(0.867, 0.08983145317281385)]"
nlshade,3658,0,0.7,"[(0.867, 0.08983145317281385)]"
nlshade,3658,0,0.8,"[(0.867, 0.08983145317281385)]"
nlshade,3658,0,0.9,"[(0.867, 0.08983145317281385)]"
nlshade,3658,0,1.0,"[(0.9190714285714285, 0.0899549782396508)]"
nlshade,3658,1,0.01,"[(0.8967142857142857, 0.0900042014180777)]"
nlshade,3658,1,0.1,"[(0.8967142857142857, 0.0900042014180777)]"
nlshade,3658,1,0.2,"[(0.8967142857142857, 0.0900042014180777)]"
nlshade,3658,1,0.3,"[(0.8967142857142857, 0.0900042014180777)]"
nlshade,3658,1,0.4,"[(0.8967142857142857, 0.0900042014180777)]"
nlshade,3658,1,0.5,"[(0.8967142857142857, 0.0900042014180777)]"
nlshade,3658,1,0.6,"[(0.8968571428571428, 0.09000419591575835)]"
nlshade,3658,1,0.7,"[(0.8968571428571428, 0.09000419591575835)]"
nlshade,3658,1,0.8,"[(0.8968571428571428, 0.09000419591575835)]"
nlshade,3658,1,0.9,"[(0.8966428571428572, 0.09000498378882589)]"
nlshade,3658,1,1.0,"[(0.8559285714285714, 0.08993963969406177)]"
nlshade,3658,2,0.01,"[(0.8942857142857142, 0.09000168975900473)]"
nlshade,3658,2,0.1,"[(0.8942857142857142, 0.09000168975900473)]"
nlshade,3658,2,0.2,"[(0.8942857142857142, 0.09000168975900473)]"
nlshade,3658,2,0.3,"[(0.8942857142857142, 0.09000168975900473)]"
nlshade,3658,2,0.4,"[(0.8942857142857142, 0.09000168975900473)]"
nlshade,3658,2,0.5,"[(0.8942857142857142, 0.09000168975900473)]"
nlshade,3658,2,0.6,"[(0.8879285714285714, 0.09001280344408721)]"
nlshade,3658,2,0.7,"[(0.8879285714285714, 0.09001280344408721)]"
nlshade,3658,2,0.8,"[(0.8879285714285714, 0.09001280344408721)]"
nlshade,3658,2,0.9,"[(0.8959285714285714, 0.08979565037266228)]"
nlshade,3658,2,1.0,"[(0.8959285714285714, 0.08979565037266228)]"
nlshade,3658,3,0.01,"[(0.8996428571428572, 0.09000573705959072)]"
nlshade,3658,3,0.1,"[(0.8996428571428572, 0.09000573705959072)]"
nlshade,3658,3,0.2,"[(0.8996428571428572, 0.09000573705959072)]"
nlshade,3658,3,0.3,"[(0.8996428571428572, 0.09000573705959072)]"
nlshade,3658,3,0.4,"[(0.8996428571428572, 0.09000573705959072)]"
nlshade,3658,3,0.5,"[(0.8996428571428572, 0.09000573705959072)]"
nlshade,3658,3,0.6,"[(0.8865, 0.0911205251745077)]"
nlshade,3658,3,0.7,"[(0.8737142857142857, 0.08994040935272715)]"
nlshade,3658,3,0.8,"[(0.8739285714285714, 0.08994069849621922)]"
nlshade,3658,3,0.9,"[(0.8739285714285714, 0.08994069849621922)]"
nlshade,3658,3,1.0,"[(0.8782857142857143, 0.09068959089164672)]"
nlshade,3658,4,0.01,"[(0.897, 0.08999750327336331)]"
nlshade,3658,4,0.1,"[(0.897, 0.08999750327336331)]"
nlshade,3658,4,0.2,"[(0.897, 0.08999750327336331)]"
nlshade,3658,4,0.3,"[(0.897, 0.08999750327336331)]"
nlshade,3658,4,0.4,"[(0.897, 0.08999750327336331)]"
nlshade,3658,4,0.5,"[(0.897, 0.08999750327336331)]"
nlshade,3658,4,0.6,"[(0.897, 0.08999750327336331)]"
nlshade,3658,4,0.7,"[(0.897, 0.08999750327336331)]"
nlshade,3658,4,0.8,"[(0.903, 0.09000231442381136)]"
nlshade,3658,4,0.9,"[(0.903, 0.0900021225290686)]"
nlshade,3658,4,1.0,"[(0.9052142857142857, 0.09000239291984591)]"
