algorithm,dimension,run,checkpoint,error
nlshade,3658,0,0.01,"[(0.8995, 0.09362448414532479, 111.38936686515808)]"
nlshade,3658,0,0.1,"[(0.8995, 0.0936188127711232, 532.3336417675018)]"
nlshade,3658,0,0.2,"[(0.8995, 0.09361881253384619, 998.0139663219452)]"
nlshade,3658,0,0.3,"[(0.8995, 0.09361881253384619, 1473.963962316513)]"
nlshade,3658,0,0.4,"[(0.8995, 0.09361881253384619, 1909.4767990112305)]"
nlshade,3658,0,0.5,"[(0.8995, 0.09361881253384619, 2283.9201996326447)]"
nlshade,3658,0,0.6,"[(0.8995, 0.09361881253384619, 2730.0234594345093)]"
nlshade,3658,0,0.7,"[(0.8995, 0.09361881253384619, 3264.2130086421967)]"
nlshade,3658,0,0.8,"[(0.8995, 0.09364930252655841, 3703.7527570724487)]"
nlshade,3658,0,0.9,"[(0.8995, 0.09364930252655841, 4164.418708562851)]"
nlshade,3658,0,1.0,"[(0.8995, 0.09364930252655841, 4557.7515568733215)]"
nlshade,3658,1,0.01,"[(0.9004285714285715, 0.09364769222200044, 102.43483638763428)]"
nlshade,3658,1,0.1,"[(0.9004285714285715, 0.09269727188266585, 471.90366077423096)]"
nlshade,3658,1,0.2,"[(0.9004285714285715, 0.0926967779706129, 909.9089434146881)]"
nlshade,3658,1,0.3,"[(0.9004285714285715, 0.0926967779706129, 1288.397072315216)]"
nlshade,3658,1,0.4,"[(0.9004285714285715, 0.0926967779706129, 1632.4129869937897)]"
nlshade,3658,1,0.5,"[(0.9004285714285715, 0.0926967779706129, 1951.1786568164825)]"
nlshade,3658,1,0.6,"[(0.9004285714285715, 0.0926967779706129, 2330.178209543228)]"
nlshade,3658,1,0.7,"[(0.9004285714285715, 0.0926967779706129, 2763.882925271988)]"
nlshade,3658,1,0.8,"[(0.9004285714285715, 0.09268305843819954, 3137.02352643013)]"
nlshade,3658,1,0.9,"[(0.9004285714285715, 0.09268305843819954, 3638.040534257889)]"
nlshade,3658,1,1.0,"[(0.9004285714285715, 0.0913268586005177, 4047.5000925064087)]"
nlshade,3658,2,0.01,"[(0.9023571428571429, 0.10294165546766586, 91.66520047187805)]"
nlshade,3658,2,0.1,"[(0.9023571428571429, 0.09342286193385524, 466.20612716674805)]"
nlshade,3658,2,0.2,"[(0.8885, 0.09379057989401385, 940.1358361244202)]"
nlshade,3658,2,0.3,"[(0.8885, 0.09379057989401385, 1292.8776116371155)]"
nlshade,3658,2,0.4,"[(0.8885, 0.09379057989401385, 1621.1168022155762)]"
nlshade,3658,2,0.5,"[(0.8885, 0.09379057989401385, 1983.3748035430908)]"
nlshade,3658,2,0.6,"[(0.8885, 0.09379057989401385, 2367.109530687332)]"
nlshade,3658,2,0.7,"[(0.8885, 0.09379057989401385, 2781.803714990616)]"
nlshade,3658,2,0.8,"[(0.8885, 0.09379057989401385, 3186.444849252701)]"
nlshade,3658,2,0.9,"[(0.8885, 0.09379057989401385, 3568.052036046982)]"
nlshade,3658,2,1.0,"[(0.8958571428571429, 0.09230839568250025, 3959.185257434845)]"
nlshade,3658,3,0.01,"[(0.9047142857142857, 0.09477098468233452, 117.01312160491943)]"
nlshade,3658,3,0.1,"[(0.8946428571428572, 0.09252653495752791, 540.130074262619)]"
nlshade,3658,3,0.2,"[(0.8946428571428572, 0.09252653495752791, 1024.906501531601)]"
nlshade,3658,3,0.3,"[(0.8946428571428572, 0.09252653495752791, 1485.5618703365326)]"
nlshade,3658,3,0.4,"[(0.8946428571428572, 0.09252653495752791, 1931.9556601047516)]"
nlshade,3658,3,0.5,"[(0.8946428571428572, 0.09252653495752791, 2332.5389153957367)]"
nlshade,3658,3,0.6,"[(0.8946428571428572, 0.09252653495752791, 2755.3057639598846)]"
nlshade,3658,3,0.7,"[(0.8946428571428572, 0.09252653495752791, 3279.4070122241974)]"
nlshade,3658,3,0.8,"[(0.8946428571428572, 0.09252798659926165, 3995.348989725113)]"
nlshade,3658,3,0.9,"[(0.8946428571428572, 0.09252798659926165, 4513.663628816605)]"
nlshade,3658,3,1.0,"[(0.8990714285714285, 0.0913200436371726, 4688.292786359787)]"
