algorithm,dimension,run,checkpoint,error
nlshade,3658,0,0.01,"[(0.8976428571428572, 0.09014046745072228, 31.035340070724487)]"
nlshade,3658,0,0.1,"[(0.9015, 0.09009727306272851, 307.0658094882965)]"
nlshade,3658,0,0.2,"[(0.9015, 0.0900976753543343, 727.9807577133179)]"
nlshade,3658,0,0.3,"[(0.9015, 0.09009764174075817, 1118.674382686615)]"
nlshade,3658,0,0.4,"[(0.9024285714285715, 0.09040434919453143, 1501.7739162445068)]"
nlshade,3658,0,0.5,"[(0.9024285714285715, 0.09040431039927208, 1980.1425733566284)]"
nlshade,3658,0,0.6,"[(0.9024285714285715, 0.09040218430928453, 2450.651870250702)]"
nlshade,3658,0,0.7,"[(0.9024285714285715, 0.09040218430928453, 2971.8121440410614)]"
nlshade,3658,0,0.8,"[(0.8881428571428571, 0.090424328025657, 3453.294659137726)]"
nlshade,3658,0,0.9,"[(0.8881428571428571, 0.090424328025657, 3931.457359790802)]"
nlshade,3658,0,1.0,"[(0.9025, 0.09042407143400674, 4179.752023458481)]"
nlshade,3658,1,0.01,"[(0.9012142857142857, 0.09011967422227642, 52.334357023239136)]"
nlshade,3658,1,0.1,"[(0.9002857142857142, 0.09009787830803882, 291.6330757141113)]"
nlshade,3658,1,0.2,"[(0.9012142857142857, 0.09016663698665678, 606.4174361228943)]"
nlshade,3658,1,0.3,"[(0.9012142857142857, 0.0901666187360896, 935.9341070652008)]"
nlshade,3658,1,0.4,"[(0.9012142857142857, 0.09016663567279586, 1215.572232246399)]"
nlshade,3658,1,0.5,"[(0.9012142857142857, 0.09016663567279586, 1540.1862444877625)]"
nlshade,3658,1,0.6,"[(0.9012142857142857, 0.09016663567279586, 1886.4633901119232)]"
nlshade,3658,1,0.7,"[(0.9012142857142857, 0.09016663567279586, 2263.666900396347)]"
nlshade,3658,1,0.8,"[(0.8992142857142857, 0.09045135969470054, 2671.600161790848)]"
nlshade,3658,1,0.9,"[(0.8992142857142857, 0.09024479330560983, 3098.9368896484375)]"
nlshade,3658,1,1.0,"[(0.8992142857142857, 0.09024479330560983, 3539.8206725120544)]"
nlshade,3658,2,0.01,"[(0.904, 0.09015275015344676, 58.12286400794983)]"
nlshade,3658,2,0.1,"[(0.9, 0.09011764046409072, 293.9777092933655)]"
