algorithm,dimension,run,checkpoint,error
nlshade,3658,0,0.01,"[(0.8867857142857143, 0.10325619628763856, 212.2478222846985)]"
nlshade,3658,0,0.1,"[(0.8867857142857143, 0.09980076446612623, 709.7029342651367)]"
nlshade,3658,0,0.2,"[(0.8867857142857143, 0.09980076446612623, 1251.616821527481)]"
nlshade,3658,0,0.3,"[(0.8867857142857143, 0.09711185389068555, 1666.0226073265076)]"
nlshade,3658,0,0.4,"[(0.8867857142857143, 0.09711185389068555, 2112.4862117767334)]"
nlshade,3658,0,0.5,"[(0.8867857142857143, 0.09711185389068555, 2603.342602491379)]"
nlshade,3658,0,0.6,"[(0.8867857142857143, 0.09711185389068555, 3174.0346546173096)]"
nlshade,3658,0,0.7,"[(0.8867857142857143, 0.09711185389068555, 3740.2434346675873)]"
nlshade,3658,0,0.8,"[(0.8867857142857143, 0.09711185389068555, 4331.44921875)]"
nlshade,3658,0,0.9,"[(0.8867857142857143, 0.09711185389068555, 4775.494953155518)]"
nlshade,3658,0,1.0,"[(0.9131428571428571, 0.09518507455704323, 5100.484974384308)]"
nlshade,3658,1,0.01,"[(0.8923571428571428, 0.10132458122284109, 181.45803833007812)]"
nlshade,3658,1,0.1,"[(0.8923571428571428, 0.10132458122284109, 662.5452072620392)]"
nlshade,3658,1,0.2,"[(0.899, 0.09930240211471998, 1155.5755109786987)]"
nlshade,3658,1,0.3,"[(0.899, 0.09930240211471998, 1596.339967250824)]"
nlshade,3658,1,0.4,"[(0.899, 0.09930240211471998, 2083.951661348343)]"
nlshade,3658,1,0.5,"[(0.899, 0.09930240211471998, 2573.776864528656)]"
nlshade,3658,1,0.6,"[(0.899, 0.09930240211471998, 3107.117035150528)]"
nlshade,3658,1,0.7,"[(0.8889285714285714, 0.09551731543554859, 3623.0614683628082)]"
nlshade,3658,1,0.8,"[(0.8877857142857143, 0.09551473838753166, 4085.9652440547943)]"
nlshade,3658,1,0.9,"[(0.9047142857142857, 0.09264907653080015, 4450.441737413406)]"
nlshade,3658,1,1.0,"[(0.8895, 0.09255727562674239, 4557.700947999954)]"
nlshade,3658,2,0.01,"[(0.8955714285714286, 0.10498332474850329, 220.36982035636902)]"
nlshade,3658,2,0.1,"[(0.8955714285714286, 0.10498332474850329, 708.962376832962)]"
nlshade,3658,2,0.2,"[(0.8955714285714286, 0.10498332474850329, 1355.913370847702)]"
nlshade,3658,2,0.3,"[(0.9033571428571429, 0.10084693575146982, 1988.1745338439941)]"
nlshade,3658,2,0.4,"[(0.9033571428571429, 0.10084693575146982, 2498.2351462841034)]"
nlshade,3658,2,0.5,"[(0.9033571428571429, 0.10084693575146982, 3019.5867450237274)]"
