algorithm,dimension,run,checkpoint,error
nlshade,3658,0,0.01,"[(0.9049285714285714, 0.09119486488517602, 768.5445303916931)]"
nlshade,3658,0,0.1,"[(0.9049285714285714, 0.09119486488517602, 768.6961433887482)]"
nlshade,3658,0,0.2,"[(0.9049285714285714, 0.09119486488517602, 1114.125729084015)]"
nlshade,3658,0,0.3,"[(0.9049285714285714, 0.09119486639186396, 1391.9894924163818)]"
nlshade,3658,0,0.4,"[(0.9049285714285714, 0.09119486575212493, 1858.250316619873)]"
nlshade,3658,0,0.5,"[(0.9049285714285714, 0.09119564909871891, 2326.152418613434)]"
nlshade,3658,0,0.6,"[(0.9049285714285714, 0.09119564909871891, 2770.5650384426117)]"
nlshade,3658,0,0.7,"[(0.9049285714285714, 0.09119564909871891, 3194.2964940071106)]"
nlshade,3658,0,0.8,"[(0.9049285714285714, 0.09119564909871891, 3619.8038206100464)]"
nlshade,3658,0,0.9,"[(0.9049285714285714, 0.09121087915018845, 3984.781457901001)]"
nlshade,3658,0,1.0,"[(0.9049285714285714, 0.09121087915018845, 4159.047609090805)]"
nlshade,3658,1,0.01,"[(0.9039285714285714, 0.0912060809264028, 604.625002861023)]"
nlshade,3658,1,0.1,"[(0.9039285714285714, 0.0912060809264028, 604.6251356601715)]"
nlshade,3658,1,0.2,"[(0.8982142857142857, 0.0923343486588165, 862.2570009231567)]"
nlshade,3658,1,0.3,"[(0.8982142857142857, 0.0923343486588165, 1057.350081205368)]"
nlshade,3658,1,0.4,"[(0.8982142857142857, 0.0923343486588165, 1341.7896347045898)]"
nlshade,3658,1,0.5,"[(0.8982142857142857, 0.0923343486588165, 1685.4238743782043)]"
nlshade,3658,1,0.6,"[(0.8982142857142857, 0.0923343486588165, 2056.321984767914)]"
nlshade,3658,1,0.7,"[(0.8982142857142857, 0.0923343486588165, 2430.254818916321)]"
nlshade,3658,1,0.8,"[(0.8982142857142857, 0.0923343486588165, 2794.3830370903015)]"
nlshade,3658,1,0.9,"[(0.8982142857142857, 0.0923343486588165, 3227.065584421158)]"
nlshade,3658,1,1.0,"[(0.9012857142857142, 0.09274415679230187, 3628.325909137726)]"
nlshade,3658,2,0.01,"[(0.9067142857142857, 0.0913021940654899, 602.3094434738159)]"
nlshade,3658,2,0.1,"[(0.9067142857142857, 0.0913021940654899, 602.3095309734344)]"
nlshade,3658,2,0.2,"[(0.9067142857142857, 0.09130219406548938, 838.1411035060883)]"
nlshade,3658,2,0.3,"[(0.9067142857142857, 0.09130219410967881, 1023.4548764228821)]"
nlshade,3658,2,0.4,"[(0.9067142857142857, 0.09130219410967881, 1291.3124799728394)]"
nlshade,3658,2,0.5,"[(0.9067142857142857, 0.09130219410967881, 1555.783177614212)]"
nlshade,3658,2,0.6,"[(0.9067142857142857, 0.09130219410967881, 1799.7555828094482)]"
nlshade,3658,2,0.7,"[(0.9067142857142857, 0.09130219410967881, 2122.2888219356537)]"
nlshade,3658,2,0.8,"[(0.9067142857142857, 0.09130219410967881, 2455.4317643642426)]"
nlshade,3658,2,0.9,"[(0.9067142857142857, 0.09131253585004832, 2790.634140253067)]"
nlshade,3658,2,1.0,"[(0.9067142857142857, 0.09131253585004832, 3152.8638417720795)]"
nlshade,3658,3,0.01,"[(0.8980714285714286, 0.09100105684792478, 698.8898496627808)]"
nlshade,3658,3,0.1,"[(0.8980714285714286, 0.09100105684792478, 698.8899481296539)]"
nlshade,3658,3,0.2,"[(0.8980714285714286, 0.09100105684792478, 1058.8554065227509)]"
nlshade,3658,3,0.3,"[(0.8980714285714286, 0.09100109616015051, 1302.2929804325104)]"
nlshade,3658,3,0.4,"[(0.8980714285714286, 0.09100109616015051, 1720.5195488929749)]"
nlshade,3658,3,0.5,"[(0.8980714285714286, 0.09100109616015051, 2141.9115211963654)]"
nlshade,3658,3,0.6,"[(0.8980714285714286, 0.09100109616015051, 2482.6891775131226)]"
nlshade,3658,3,0.7,"[(0.8980714285714286, 0.09100104891780718, 2773.049496650696)]"
nlshade,3658,3,0.8,"[(0.8980714285714286, 0.09100104891780718, 3134.689218521118)]"
nlshade,3658,3,0.9,"[(0.8980714285714286, 0.091001048917807, 3533.7813329696655)]"
nlshade,3658,3,1.0,"[(0.8980714285714286, 0.09100104891780716, 3933.4275736808777)]"
nlshade,3658,4,0.01,"[(0.9003571428571429, 0.09117796064967491, 751.3226583003998)]"
nlshade,3658,4,0.1,"[(0.9003571428571429, 0.09117796064967491, 751.3227739334106)]"
nlshade,3658,4,0.2,"[(0.9003571428571429, 0.09117795952562917, 1132.4333579540253)]"
nlshade,3658,4,0.3,"[(0.9003571428571429, 0.09117795952562917, 1357.2028124332428)]"
nlshade,3658,4,0.4,"[(0.9003571428571429, 0.09117795952562917, 1744.3392548561096)]"
nlshade,3658,4,0.5,"[(0.9003571428571429, 0.09117795952562917, 2141.3918974399567)]"
nlshade,3658,4,0.6,"[(0.9003571428571429, 0.09117795952562917, 2427.3710901737213)]"
nlshade,3658,4,0.7,"[(0.9003571428571429, 0.09117795952562917, 2729.7319378852844)]"
nlshade,3658,4,0.8,"[(0.9003571428571429, 0.09117795952562917, 3108.6628470420837)]"
nlshade,3658,4,0.9,"[(0.9003571428571429, 0.0911781379983515, 3516.8254475593567)]"
nlshade,3658,4,1.0,"[(0.9003571428571429, 0.0911782685907009, 3966.306416988373)]"
nlshade,3658,5,0.01,"[(0.9021428571428571, 0.09117766746905966, 791.149852514267)]"
nlshade,3658,5,0.1,"[(0.9021428571428571, 0.09117766746905966, 791.1499366760254)]"
nlshade,3658,5,0.2,"[(0.9021428571428571, 0.09117766746905966, 1139.1623711585999)]"
nlshade,3658,5,0.3,"[(0.9021428571428571, 0.09117766768773106, 1425.3656775951385)]"
nlshade,3658,5,0.4,"[(0.9021428571428571, 0.09117738433371929, 1807.8541119098663)]"
nlshade,3658,5,0.5,"[(0.9021428571428571, 0.09117738433371929, 2221.484669446945)]"
nlshade,3658,5,0.6,"[(0.9021428571428571, 0.0911773843337203, 2571.4153492450714)]"
nlshade,3658,5,0.7,"[(0.9021428571428571, 0.0911773843337203, 2984.2470378875732)]"
nlshade,3658,5,0.8,"[(0.9021428571428571, 0.0911773843337203, 3452.0153522491455)]"
nlshade,3658,5,0.9,"[(0.9021428571428571, 0.09117739021412025, 3752.985119819641)]"
nlshade,3658,5,1.0,"[(0.9021428571428571, 0.09104945313758789, 3852.7156579494476)]"
nlshade,3658,6,0.01,"[(0.9038571428571429, 0.09123348905597713, 640.5461061000824)]"
nlshade,3658,6,0.1,"[(0.9038571428571429, 0.09123348905597713, 640.546190738678)]"
nlshade,3658,6,0.2,"[(0.9038571428571429, 0.09123348080708912, 930.1648769378662)]"
nlshade,3658,6,0.3,"[(0.9038571428571429, 0.09123348081837054, 1124.8126952648163)]"
nlshade,3658,6,0.4,"[(0.9038571428571429, 0.09123348081837054, 1412.9103198051453)]"
nlshade,3658,6,0.5,"[(0.9038571428571429, 0.09123348081837054, 1671.373351573944)]"
nlshade,3658,6,0.6,"[(0.9038571428571429, 0.09123354696591236, 1933.6795256137848)]"
nlshade,3658,6,0.7,"[(0.9038571428571429, 0.0912340156297698, 2231.6600699424744)]"
