function,dimension,run,checkpoint,error
F62013,10,0,0.01,[801.3859074029244]
F62013,10,0,0.1,[130.6720941952533]
F62013,10,0,0.2,[130.6720941952533]
F62013,10,0,0.3,[130.6720941952533]
F62013,10,0,0.4,[130.6720941952533]
F62013,10,0,0.5,[130.6720941952533]
F62013,10,0,0.6,[130.6720941952533]
F62013,10,0,0.7,[130.6720941952533]
F62013,10,0,0.8,[130.6720941952533]
F62013,10,0,0.9,[130.6720941952533]
F62013,10,0,1.0,[130.6720941952533]
F62013,10,0,0.01,[357.0218056600413]
F62013,10,0,0.1,[66.81463224341167]
F62013,10,0,0.2,[66.81463224341167]
F62013,10,0,0.3,[66.81463224341167]
F62013,10,0,0.4,[66.81463224341167]
F62013,10,0,0.5,[66.81463224341167]
F62013,10,0,0.6,[66.81463224341167]
F62013,10,0,0.7,[66.81463224341167]
F62013,10,0,0.8,[66.81463224341167]
F62013,10,0,0.9,[66.81463224341167]
F62013,10,0,1.0,[66.81463224341167]
F62013,10,0,0.01,[591.0181380037241]
F62013,10,0,0.1,[42.31546935803067]
F62013,10,0,0.2,[42.31546935803067]
F62013,10,0,0.3,[42.31546935803067]
F62013,10,0,0.4,[42.31546935803067]
F62013,10,0,0.5,[42.31546935803067]
F62013,10,0,0.6,[42.31546935803067]
F62013,10,0,0.7,[42.31546935803067]
F62013,10,0,0.8,[42.31546935803067]
F62013,10,0,0.9,[42.31546935803067]
F62013,10,0,1.0,[42.31546935803067]
F62013,10,0,0.01,[449.49903807380565]
F62013,10,0,0.1,[115.59613878447612]
F62013,10,0,0.2,[115.59613878447612]
F62013,10,0,0.3,[115.59613878447612]
F62013,10,0,0.4,[115.59613878447612]
F62013,10,0,0.5,[115.59613878447612]
F62013,10,0,0.6,[115.59613878447612]
F62013,10,0,0.7,[115.59613878447612]
F62013,10,0,0.8,[115.59613878447612]
F62013,10,0,0.9,[115.59613878447612]
F62013,10,0,1.0,[115.59613878447612]
F62013,10,0,0.01,[335.15233687368095]
F62013,10,0,0.1,[106.67122090747966]
F62013,10,0,0.2,[106.67122090747966]
F62013,10,0,0.3,[106.67122090747966]
F62013,10,0,0.4,[106.67122090747966]
F62013,10,0,0.5,[106.67122090747966]
F62013,10,0,0.6,[106.67122090747966]
F62013,10,0,0.7,[106.67122090747966]
F62013,10,0,0.8,[106.67122090747966]
F62013,10,0,0.9,[106.67122090747966]
F62013,10,0,1.0,[106.67122090747966]
F62013,10,0,0.01,[324.44517947955137]
F62013,10,0,0.1,[59.411505632769945]
F62013,10,0,0.2,[59.411505632769945]
F62013,10,0,0.3,[59.411505632769945]
F62013,10,0,0.4,[59.411505632769945]
F62013,10,0,0.5,[59.411505632769945]
F62013,10,0,0.6,[59.411505632769945]
F62013,10,0,0.7,[59.411505632769945]
F62013,10,0,0.8,[59.411505632769945]
F62013,10,0,0.9,[59.411505632769945]
F62013,10,0,1.0,[59.411505632769945]
F62013,10,0,0.01,[538.2598632332522]
F62013,10,0,0.1,[123.46265557003608]
F62013,10,0,0.2,[123.46265557003608]
F62013,10,0,0.3,[123.46265557003608]
F62013,10,0,0.4,[123.46265557003608]
F62013,10,0,0.5,[123.46265557003608]
F62013,10,0,0.6,[123.46265557003608]
F62013,10,0,0.7,[123.46265557003608]
F62013,10,0,0.8,[123.46265557003608]
F62013,10,0,0.9,[123.46265557003608]
F62013,10,0,1.0,[123.46265557003608]
F62013,10,0,0.01,[687.2443104001308]
F62013,10,0,0.1,[45.472359625908894]
F62013,10,0,0.2,[45.472359625908894]
F62013,10,0,0.3,[45.472359625908894]
F62013,10,0,0.4,[45.472359625908894]
F62013,10,0,0.5,[45.472359625908894]
F62013,10,0,0.6,[45.472359625908894]
F62013,10,0,0.7,[45.472359625908894]
F62013,10,0,0.8,[45.472359625908894]
F62013,10,0,0.9,[45.472359625908894]
F62013,10,0,1.0,[45.472359625908894]
F62013,10,0,0.01,[303.5061000528044]
F62013,10,0,0.1,[76.84552804239058]
F62013,10,0,0.2,[76.84552804239058]
F62013,10,0,0.3,[76.84552804239058]
F62013,10,0,0.4,[76.84552804239058]
F62013,10,0,0.5,[76.84552804239058]
F62013,10,0,0.6,[76.84552804239058]
F62013,10,0,0.7,[76.84552804239058]
F62013,10,0,0.8,[76.84552804239058]
F62013,10,0,0.9,[76.84552804239058]
F62013,10,0,1.0,[76.84552804239058]
F62013,10,0,0.01,[631.4156855184813]
F62013,10,0,0.1,[111.82980664592935]
F62013,10,0,0.2,[111.82980664592935]
F62013,10,0,0.3,[111.82980664592935]
F62013,10,0,0.4,[111.82980664592935]
F62013,10,0,0.5,[111.82980664592935]
F62013,10,0,0.6,[111.82980664592935]
F62013,10,0,0.7,[111.82980664592935]
F62013,10,0,0.8,[111.82980664592935]
F62013,10,0,0.9,[111.82980664592935]
F62013,10,0,1.0,[111.82980664592935]
F62013,10,0,0.01,[526.2150171979794]
