function,dimensions,checkpoint,mean,std,median,max,min
F12013,10,0.01,885.823772525575,485.76875113126954,765.4896189998066,2339.2601297134925,238.36943399264396
F12013,10,0.1,0,0,0,0,0
F12013,10,0.2,0,0,0,0,0
F12013,10,0.3,0,0,0,0,0
F12013,10,0.4,0,0,0,0,0
F12013,10,0.5,0,0,0,0,0
F12013,10,0.6,0,0,0,0,0
F12013,10,0.7,0,0,0,0,0
F12013,10,0.8,0,0,0,0,0
F12013,10,0.9,0,0,0,0,0
F12013,10,1.0,0,0,0,0,0
F12013,30,0.01,18673.627703775248,2905.592840872802,18156.315407678336,25907.11846222019,11397.473142782264
F12013,30,0.1,1.680184551314953e-07,1.0055880852571665e-07,1.4031047612661496e-07,4.7252797230612487e-07,2.983097147080116e-08
F12013,30,0.2,0,0,0,0,0
F12013,30,0.3,0,0,0,0,0
F12013,30,0.4,0,0,0,0,0
F12013,30,0.5,0,0,0,0,0
F12013,30,0.6,0,0,0,0,0
F12013,30,0.7,0,0,0,0,0
F12013,30,0.8,0,0,0,0,0
F12013,30,0.9,0,0,0,0,0
F12013,30,1.0,0,0,0,0,0
F12013,50,0.01,29572.507297323766,2700.454156685257,29835.49982507217,36377.112553510706,22118.677916716886
F12013,50,0.1,4.810681110600354e-06,2.1656315215549467e-06,4.228831585351145e-06,1.1653418823698303e-05,2.056509174508392e-06
F12013,50,0.2,0,0,0,0,0
F12013,50,0.3,0,0,0,0,0
F12013,50,0.4,0,0,0,0,0
F12013,50,0.5,0,0,0,0,0
F12013,50,0.6,0,0,0,0,0
F12013,50,0.7,0,0,0,0,0
F12013,50,0.8,0,0,0,0,0
F12013,50,0.9,0,0,0,0,0
F12013,50,1.0,0,0,0,0,0
