function,dimension,run,checkpoint,error
F32013,10,0,0.01,"[8198529052.531469, 0.5518145561218262]"
F32013,10,0,0.1,"[2337.1609934355824, 5.614071846008301]"
F32013,10,0,0.2,"[1991.3181908499275, 11.712798357009888]"
F32013,10,0,0.3,"[1979.5278724356094, 18.38785719871521]"
F32013,10,0,0.4,"[1972.3095355576518, 25.708807229995728]"
F32013,10,0,0.5,"[1970.9016541414608, 34.09942078590393]"
F32013,10,0,0.6,"[1947.3626980703812, 43.881797313690186]"
F32013,10,0,0.7,"[1946.4842453687606, 55.15362358093262]"
F32013,10,0,0.8,"[1694.5534426632223, 67.90220165252686]"
F32013,10,0,0.9,"[1040.5011114626514, 82.1972599029541]"
F32013,10,0,1.0,"[1037.5234018439355, 85.380126953125]"
F32013,10,1,0.01,"[16813851567.183205, 0.5541515350341797]"
F32013,10,1,0.1,"[2309513.0161648816, 5.620436429977417]"
F32013,10,1,0.2,"[3649.263923619059, 11.327863693237305]"
F32013,10,1,0.3,"[3579.5079122766865, 17.67134976387024]"
F32013,10,1,0.4,"[3507.6872475271107, 24.98550820350647]"
F32013,10,1,0.5,"[3478.4511962900983, 33.29255437850952]"
F32013,10,1,0.6,"[3476.2276282613407, 42.98655343055725]"
F32013,10,1,0.7,"[3474.856568279676, 54.140512466430664]"
F32013,10,1,0.8,"[3095.038758931425, 66.85221266746521]"
F32013,10,1,0.9,"[2886.99861914873, 75.08643054962158]"
F32013,10,1,1.0,"[2886.99861914873, 75.08643388748169]"
F32013,10,2,0.01,"[9458831527.963299, 0.5471763610839844]"
F32013,10,2,0.1,"[28936.00954126152, 5.603466749191284]"
F32013,10,2,0.2,"[4892.286044134524, 11.41042423248291]"
F32013,10,2,0.3,"[4393.6111649764525, 18.04680848121643]"
F32013,10,2,0.4,"[4360.258795340906, 25.470155477523804]"
F32013,10,2,0.5,"[4056.1034645752393, 33.894105434417725]"
F32013,10,2,0.6,"[4012.9718069908845, 43.67712759971619]"
F32013,10,2,0.7,"[4001.226474524741, 54.846763610839844]"
F32013,10,2,0.8,"[3592.763178131893, 67.56314325332642]"
F32013,10,2,0.9,"[2872.1036626123605, 80.57258248329163]"
F32013,10,2,1.0,"[2872.1036626123605, 80.57258605957031]"
F32013,10,3,0.01,"[6814047846.102294, 0.5482025146484375]"
F32013,10,3,0.1,"[2240.0936168846256, 5.54611873626709]"
F32013,10,3,0.2,"[1111.8401602658512, 11.412498712539673]"
F32013,10,3,0.3,"[1000.6411340881416, 17.982698440551758]"
F32013,10,3,0.4,"[973.2002588431959, 25.448740005493164]"
F32013,10,3,0.5,"[900.8310077387326, 33.86714220046997]"
F32013,10,3,0.6,"[840.4220290878847, 43.64585876464844]"
F32013,10,3,0.7,"[824.0253425841895, 54.818427085876465]"
F32013,10,3,0.8,"[744.4540291539306, 67.53677606582642]"
F32013,10,3,0.9,"[674.1290730384295, 75.36246085166931]"
F32013,10,3,1.0,"[674.1290730384295, 75.36246418952942]"
F32013,10,4,0.01,"[12120440856.338436, 0.5515990257263184]"
F32013,10,4,0.1,"[4798.0460317271445, 5.675175189971924]"
F32013,10,4,0.2,"[2753.830585876324, 11.782236337661743]"
F32013,10,4,0.3,"[2438.8450458259226, 18.389184951782227]"
F32013,10,4,0.4,"[2385.231202417954, 25.92108654975891]"
F32013,10,4,0.5,"[2315.3793953923755, 34.612515449523926]"
F32013,10,4,0.6,"[2298.614117419964, 44.51209115982056]"
F32013,10,4,0.7,"[2211.1109479850043, 55.74230098724365]"
F32013,10,4,0.8,"[2199.293698176134, 68.45200657844543]"
F32013,10,4,0.9,"[1555.839528062782, 79.4756531715393]"
F32013,10,4,1.0,"[1555.839528062782, 79.475656747818]"
F32013,10,5,0.01,"[9274624805.200418, 0.5551762580871582]"
F32013,10,5,0.1,"[4788.744225011279, 5.5790557861328125]"
F32013,10,5,0.2,"[3640.835197646185, 11.57274079322815]"
F32013,10,5,0.3,"[3342.814900251942, 18.235738515853882]"
F32013,10,5,0.4,"[3279.0133939757266, 25.80828022956848]"
F32013,10,5,0.5,"[3267.449257084152, 34.46879196166992]"
F32013,10,5,0.6,"[3107.6725220520193, 44.31056785583496]"
F32013,10,5,0.7,"[3057.6466693027737, 55.63438415527344]"
F32013,10,5,0.8,"[2874.4276449280615, 68.38024878501892]"
F32013,10,5,0.9,"[2608.2252430799513, 78.2649416923523]"
F32013,10,5,1.0,"[2608.2252430799513, 78.26494526863098]"
F32013,10,6,0.01,"[12636383921.87695, 0.549950361251831]"
F32013,10,6,0.1,"[2779.129865952779, 5.5459983348846436]"
F32013,10,6,0.2,"[1355.853514585565, 11.507925987243652]"
F32013,10,6,0.3,"[1300.2416656488292, 18.22389554977417]"
F32013,10,6,0.4,"[1294.469819554739, 25.650582313537598]"
F32013,10,6,0.5,"[1262.0642812767805, 34.224162101745605]"
F32013,10,6,0.6,"[1261.922152824131, 44.11453723907471]"
F32013,10,6,0.7,"[1261.6445169128517, 55.32695746421814]"
F32013,10,6,0.8,"[1101.025758468519, 67.9643325805664]"
F32013,10,6,0.9,"[1052.9813441423523, 74.21566224098206]"
F32013,10,6,1.0,"[1052.9813441423523, 74.21566557884216]"
F32013,10,7,0.01,"[7824316433.385709, 0.5584695339202881]"
F32013,10,7,0.1,"[14903.846983004009, 5.570637464523315]"
F32013,10,7,0.2,"[3801.862614928794, 11.567197799682617]"
F32013,10,7,0.3,"[3752.4017351927228, 18.417164087295532]"
F32013,10,7,0.4,"[3747.5882297553903, 25.87842321395874]"
F32013,10,7,0.5,"[3600.641366834135, 34.52094101905823]"
F32013,10,7,0.6,"[3571.066068010884, 44.31253004074097]"
F32013,10,7,0.7,"[3570.718873159755, 55.432997703552246]"
F32013,10,7,0.8,"[3189.145016456467, 68.08567953109741]"
F32013,10,7,0.9,"[2382.9206868401993, 82.24055695533752]"
F32013,10,7,1.0,"[2382.9204246325185, 82.33727240562439]"
F32013,10,8,0.01,"[46451961266.969215, 0.661329984664917]"
F32013,10,8,0.1,"[6407.991923546437, 5.719179630279541]"
F32013,10,8,0.2,"[2173.495097046826, 11.935757637023926]"
F32013,10,8,0.3,"[1943.7048499286634, 18.661170482635498]"
F32013,10,8,0.4,"[1884.979861073945, 26.2280695438385]"
F32013,10,8,0.5,"[1846.8742868613012, 34.8311505317688]"
F32013,10,8,0.6,"[1833.6727139725006, 44.643609046936035]"
F32013,10,8,0.7,"[1826.8908928929784, 55.858853340148926]"
F32013,10,8,0.8,"[1585.9727511231767, 68.63891434669495]"
F32013,10,8,0.9,"[1294.4109108605858, 78.11638927459717]"
F32013,10,8,1.0,"[1294.4109108605858, 78.11639332771301]"
F32013,10,9,0.01,"[3829744026.434293, 0.551720142364502]"
F32013,10,9,0.1,"[18092.060450176607, 5.484717607498169]"
F32013,10,9,0.2,"[2060.6667038453215, 11.432957887649536]"
F32013,10,9,0.3,"[1990.456199396326, 18.306148529052734]"
F32013,10,9,0.4,"[1983.6547257964307, 25.969821214675903]"
F32013,10,9,0.5,"[1981.159267809672, 34.51672029495239]"
F32013,10,9,0.6,"[1980.7033168655637, 44.40711450576782]"
F32013,10,9,0.7,"[1980.5521610127003, 55.66675567626953]"
F32013,10,9,0.8,"[1710.5177882375938, 68.47583103179932]"
F32013,10,9,0.9,"[972.6462697982897, 82.81754207611084]"
F32013,10,9,1.0,"[972.6356504469376, 83.02923560142517]"
F32013,10,10,0.01,"[11939674914.829071, 0.5715734958648682]"
F32013,10,10,0.1,"[5029.63747754082, 5.712958097457886]"
F32013,10,10,0.2,"[3248.7346990738424, 11.865116119384766]"
F32013,10,10,0.3,"[3116.989861606235, 18.530970811843872]"
F32013,10,10,0.4,"[2980.1232980169534, 26.10937762260437]"
F32013,10,10,0.5,"[2941.5284009153797, 34.38077688217163]"
F32013,10,10,0.6,"[2782.785583037806, 44.04756164550781]"
F32013,10,10,0.7,"[2644.4929169075567, 55.23926639556885]"
F32013,10,10,0.8,"[2531.1986024545786, 67.97168731689453]"
F32013,10,10,0.9,"[2149.4870915449865, 80.32441997528076]"
F32013,10,10,1.0,"[2149.4870915449865, 80.32442307472229]"
F32013,10,11,0.01,"[12727211552.463894, 0.6830031871795654]"
F32013,10,11,0.1,"[5800.6281395637325, 5.712699890136719]"
F32013,10,11,0.2,"[2296.2245227048206, 11.760365962982178]"
F32013,10,11,0.3,"[2135.9444301907965, 18.555442571640015]"
F32013,10,11,0.4,"[2074.960347106867, 25.919084548950195]"
F32013,10,11,0.5,"[1789.8396235015437, 34.410383462905884]"
F32013,10,11,0.6,"[1740.8316904672286, 44.290570974349976]"
F32013,10,11,0.7,"[1714.1596443238814, 55.52151441574097]"
F32013,10,11,0.8,"[1375.2131182270043, 68.23388934135437]"
F32013,10,11,0.9,"[993.3420847002873, 80.93431520462036]"
F32013,10,11,1.0,"[993.3420847002873, 80.93431854248047]"
F32013,10,12,0.01,"[12400119605.45181, 0.5499603748321533]"
F32013,10,12,0.1,"[2914.9610797613595, 5.547642230987549]"
F32013,10,12,0.2,"[1886.6055347912345, 11.441261529922485]"
F32013,10,12,0.3,"[1808.0232135738015, 18.078400373458862]"
F32013,10,12,0.4,"[1791.066311138334, 25.361908674240112]"
F32013,10,12,0.5,"[1766.8495721094498, 33.71552610397339]"
F32013,10,12,0.6,"[1766.1471384893998, 43.40753960609436]"
F32013,10,12,0.7,"[1754.8412612733039, 54.54592800140381]"
F32013,10,12,0.8,"[1579.7095405943378, 67.24515867233276]"
F32013,10,12,0.9,"[1561.8357526542566, 77.31089091300964]"
F32013,10,12,1.0,"[1561.8357526542566, 77.31089472770691]"
F32013,10,13,0.01,"[25202321722.113674, 0.5729777812957764]"
F32013,10,13,0.1,"[26603086.656282794, 5.640745639801025]"
F32013,10,13,0.2,"[7472.2834320144975, 11.366064071655273]"
F32013,10,13,0.3,"[3240.5336534371077, 17.974204540252686]"
F32013,10,13,0.4,"[3238.1090310331397, 25.48442840576172]"
F32013,10,13,0.5,"[3224.4003420336376, 34.01067757606506]"
F32013,10,13,0.6,"[3224.0770625600444, 43.79342246055603]"
F32013,10,13,0.7,"[3201.218925861967, 54.997212171554565]"
F32013,10,13,0.8,"[3146.249877191088, 67.74132823944092]"
F32013,10,13,0.9,"[2766.622371507894, 80.68636441230774]"
F32013,10,13,1.0,"[2766.622371507894, 80.68636775016785]"
F32013,10,14,0.01,"[15849537741.620422, 0.5749239921569824]"
F32013,10,14,0.1,"[1142608.3896299596, 5.497615098953247]"
F32013,10,14,0.2,"[1601.8439169733826, 11.189826488494873]"
F32013,10,14,0.3,"[1416.0781998583277, 17.735541582107544]"
