function,dimension,run,checkpoint,error
F12013,10,0,0.01,"[2517.121358144045, 0.3685922622680664]"
F12013,10,0,0.1,"[0.0040410942624475865, 3.3468918800354004]"
F12013,10,0,0.2,"[0, 5.6145899295806885]"
F12013,10,0,0.3,"[0, 5.614590644836426]"
F12013,10,0,0.4,"[0, 5.614591360092163]"
F12013,10,0,0.5,"[0, 5.6145920753479]"
F12013,10,0,0.6,"[0, 5.614592790603638]"
F12013,10,0,0.7,"[0, 5.614593744277954]"
F12013,10,0,0.8,"[0, 5.614594459533691]"
F12013,10,0,0.9,"[0, 5.614595174789429]"
F12013,10,0,1.0,"[0, 5.614595890045166]"
F12013,10,0,0.01,"[7925.8243138945745, 0.3659524917602539]"
F12013,10,0,0.1,"[0.006496261275287907, 3.29583477973938]"
F12013,10,0,0.2,"[0, 5.272189140319824]"
F12013,10,0,0.3,"[0, 5.272190093994141]"
F12013,10,0,0.4,"[0, 5.272190809249878]"
F12013,10,0,0.5,"[0, 5.272191762924194]"
F12013,10,0,0.6,"[0, 5.272192478179932]"
F12013,10,0,0.7,"[0, 5.272193193435669]"
F12013,10,0,0.8,"[0, 5.272193908691406]"
F12013,10,0,0.9,"[0, 5.2721946239471436]"
F12013,10,0,1.0,"[0, 5.27219557762146]"
F12013,10,0,0.01,"[5580.542365551632, 0.3715665340423584]"
F12013,10,0,0.1,"[0.0049108081727808894, 3.3193516731262207]"
F12013,10,0,0.2,"[0, 5.491221904754639]"
F12013,10,0,0.3,"[0, 5.491222858428955]"
F12013,10,0,0.4,"[0, 5.4912238121032715]"
F12013,10,0,0.5,"[0, 5.491224765777588]"
F12013,10,0,0.6,"[0, 5.491225481033325]"
F12013,10,0,0.7,"[0, 5.491226434707642]"
F12013,10,0,0.8,"[0, 5.491227149963379]"
F12013,10,0,0.9,"[0, 5.491228342056274]"
F12013,10,0,1.0,"[0, 5.491229057312012]"
F12013,10,0,0.01,"[3946.862029449374, 0.3506166934967041]"
F12013,10,0,0.1,"[0.0014968223224514077, 3.256225109100342]"
F12013,10,0,0.2,"[0, 5.342714309692383]"
F12013,10,0,0.3,"[0, 5.342715501785278]"
F12013,10,0,0.4,"[0, 5.342716217041016]"
F12013,10,0,0.5,"[0, 5.342717170715332]"
F12013,10,0,0.6,"[0, 5.342718124389648]"
F12013,10,0,0.7,"[0, 5.342718839645386]"
F12013,10,0,0.8,"[0, 5.342719793319702]"
F12013,10,0,0.9,"[0, 5.3427205085754395]"
F12013,10,0,1.0,"[0, 5.342721700668335]"
F12013,10,0,0.01,"[2151.401088683555, 0.35892415046691895]"
F12013,10,0,0.1,"[0.0069993382314805785, 3.344180107116699]"
F12013,10,0,0.2,"[0, 5.60999059677124]"
F12013,10,0,0.3,"[0, 5.6099913120269775]"
F12013,10,0,0.4,"[0, 5.609992027282715]"
F12013,10,0,0.5,"[0, 5.609992742538452]"
F12013,10,0,0.6,"[0, 5.6099934577941895]"
F12013,10,0,0.7,"[0, 5.609994411468506]"
F12013,10,0,0.8,"[0, 5.609994888305664]"
F12013,10,0,0.9,"[0, 5.6099958419799805]"
F12013,10,0,1.0,"[0, 5.609996318817139]"
F12013,10,0,0.01,"[7512.9502119477675, 0.3532743453979492]"
F12013,10,0,0.1,"[0.002116963590424348, 3.2839269638061523]"
F12013,10,0,0.2,"[0, 5.3612401485443115]"
F12013,10,0,0.3,"[0, 5.361241340637207]"
F12013,10,0,0.4,"[0, 5.361242055892944]"
F12013,10,0,0.5,"[0, 5.361242771148682]"
F12013,10,0,0.6,"[0, 5.361243486404419]"
F12013,10,0,0.7,"[0, 5.361244440078735]"
F12013,10,0,0.8,"[0, 5.361245155334473]"
F12013,10,0,0.9,"[0, 5.36124587059021]"
F12013,10,0,1.0,"[0, 5.361246585845947]"
F12013,10,0,0.01,"[4060.8002060058025, 0.362764835357666]"
F12013,10,0,0.1,"[0.003149949467569968, 3.2900190353393555]"
F12013,10,0,0.2,"[0, 5.587449073791504]"
F12013,10,0,0.3,"[0, 5.587449789047241]"
F12013,10,0,0.4,"[0, 5.587450742721558]"
F12013,10,0,0.5,"[0, 5.587451219558716]"
F12013,10,0,0.6,"[0, 5.587451934814453]"
F12013,10,0,0.7,"[0, 5.58745265007019]"
F12013,10,0,0.8,"[0, 5.587453365325928]"
F12013,10,0,0.9,"[0, 5.587454319000244]"
F12013,10,0,1.0,"[0, 5.5874550342559814]"
F12013,10,0,0.01,"[1963.2003090555475, 0.35701465606689453]"
F12013,10,0,0.1,"[0.003415670188360309, 3.20719575881958]"
F12013,10,0,0.2,"[0, 5.21885085105896]"
F12013,10,0,0.3,"[0, 5.218851804733276]"
F12013,10,0,0.4,"[0, 5.218852281570435]"
F12013,10,0,0.5,"[0, 5.218852996826172]"
F12013,10,0,0.6,"[0, 5.218853950500488]"
F12013,10,0,0.7,"[0, 5.218854665756226]"
F12013,10,0,0.8,"[0, 5.218855381011963]"
F12013,10,0,0.9,"[0, 5.218856334686279]"
F12013,10,0,1.0,"[0, 5.218857049942017]"
F12013,10,0,0.01,"[4754.997322839296, 0.3662233352661133]"
F12013,10,0,0.1,"[0.003638847015281499, 3.2837634086608887]"
F12013,10,0,0.2,"[0, 5.669484853744507]"
F12013,10,0,0.3,"[0, 5.669485569000244]"
F12013,10,0,0.4,"[0, 5.6694862842559814]"
F12013,10,0,0.5,"[0, 5.669486999511719]"
F12013,10,0,0.6,"[0, 5.669487953186035]"
F12013,10,0,0.7,"[0, 5.6694886684417725]"
F12013,10,0,0.8,"[0, 5.66948938369751]"
F12013,10,0,0.9,"[0, 5.669490098953247]"
F12013,10,0,1.0,"[0, 5.669490814208984]"
F12013,10,0,0.01,"[5161.832987598749, 0.35680270195007324]"
F12013,10,0,0.1,"[0.0029999086061707203, 3.2940268516540527]"
F12013,10,0,0.2,"[0, 5.637158632278442]"
F12013,10,0,0.3,"[0, 5.637159824371338]"
F12013,10,0,0.4,"[0, 5.637160539627075]"
