function,dimension,run,checkpoint,error
F12013,10,0,0.01,[6083.130981965047]
F12013,10,0,0.1,[0.0028869082971141324]
F12013,10,0,0.2,[1.1350452950864565e-06]
F12013,10,0,0.3,[1.1350452950864565e-06]
F12013,10,0,0.4,[1.1350452950864565e-06]
F12013,10,0,0.5,[1.1350452950864565e-06]
F12013,10,0,0.6,[1.1350452950864565e-06]
F12013,10,0,0.7,[1.1350452950864565e-06]
F12013,10,0,0.8,[1.1350452950864565e-06]
F12013,10,0,0.9,[1.1350452950864565e-06]
F12013,10,0,1.0,[1.1350452950864565e-06]
F12013,10,0,0.01,[3798.8847331167476]
F12013,10,0,0.1,[0.010749302972726582]
F12013,10,0,0.2,[1.2701843843387906e-07]
F12013,10,0,0.3,[1.2701843843387906e-07]
F12013,10,0,0.4,[1.2701843843387906e-07]
F12013,10,0,0.5,[1.2701843843387906e-07]
F12013,10,0,0.6,[1.2701843843387906e-07]
F12013,10,0,0.7,[1.2701843843387906e-07]
F12013,10,0,0.8,[1.2701843843387906e-07]
F12013,10,0,0.9,[1.2701843843387906e-07]
F12013,10,0,1.0,[1.2701843843387906e-07]
F12013,10,0,0.01,[5079.703501586435]
F12013,10,0,0.1,[0.001592076472888948]
F12013,10,0,0.2,[9.371376563649392e-07]
F12013,10,0,0.3,[9.371376563649392e-07]
F12013,10,0,0.4,[9.371376563649392e-07]
F12013,10,0,0.5,[9.371376563649392e-07]
F12013,10,0,0.6,[9.371376563649392e-07]
F12013,10,0,0.7,[9.371376563649392e-07]
F12013,10,0,0.8,[9.371376563649392e-07]
F12013,10,0,0.9,[9.371376563649392e-07]
F12013,10,0,1.0,[9.371376563649392e-07]
F12013,10,0,0.01,[1439.9514839358849]
F12013,10,0,0.1,[0.001960241578217392]
F12013,10,0,0.2,[6.138245680631371e-07]
F12013,10,0,0.3,[6.138245680631371e-07]
F12013,10,0,0.4,[6.138245680631371e-07]
F12013,10,0,0.5,[6.138245680631371e-07]
F12013,10,0,0.6,[6.138245680631371e-07]
F12013,10,0,0.7,[6.138245680631371e-07]
F12013,10,0,0.8,[6.138245680631371e-07]
F12013,10,0,0.9,[6.138245680631371e-07]
F12013,10,0,1.0,[6.138245680631371e-07]
F12013,10,0,0.01,[6086.303738880333]
F12013,10,0,0.1,[0.0019156060109253303]
F12013,10,0,0.2,[1.5995933608792257e-06]
F12013,10,0,0.3,[1.5995933608792257e-06]
F12013,10,0,0.4,[1.5995933608792257e-06]
F12013,10,0,0.5,[1.5995933608792257e-06]
F12013,10,0,0.6,[1.5995933608792257e-06]
F12013,10,0,0.7,[1.5995933608792257e-06]
F12013,10,0,0.8,[1.5995933608792257e-06]
F12013,10,0,0.9,[1.5995933608792257e-06]
F12013,10,0,1.0,[1.5995933608792257e-06]
F12013,10,0,0.01,[4758.330302688606]
F12013,10,0,0.1,[0.008819482566195802]
F12013,10,0,0.2,[1.6342930848622927e-06]
F12013,10,0,0.3,[1.6342930848622927e-06]
F12013,10,0,0.4,[1.6342930848622927e-06]
F12013,10,0,0.5,[1.6342930848622927e-06]
F12013,10,0,0.6,[1.6342930848622927e-06]
F12013,10,0,0.7,[1.6342930848622927e-06]
F12013,10,0,0.8,[1.6342930848622927e-06]
F12013,10,0,0.9,[1.6342930848622927e-06]
F12013,10,0,1.0,[1.6342930848622927e-06]
F12013,10,0,0.01,[4470.942989959966]
F12013,10,0,0.1,[0.0015586099023039424]
F12013,10,0,0.2,[4.770809027832001e-07]
F12013,10,0,0.3,[4.770809027832001e-07]
F12013,10,0,0.4,[4.770809027832001e-07]
F12013,10,0,0.5,[4.770809027832001e-07]
F12013,10,0,0.6,[4.770809027832001e-07]
F12013,10,0,0.7,[4.770809027832001e-07]
F12013,10,0,0.8,[4.770809027832001e-07]
F12013,10,0,0.9,[4.770809027832001e-07]
F12013,10,0,1.0,[4.770809027832001e-07]
F12013,10,0,0.01,[4497.301421179464]
