function,dimension,run,checkpoint,error
F182013,10,0,0.01,[516.6264190897158]
F182013,10,0,0.1,[50.725150279550746]
F182013,10,0,0.2,[39.43952134903742]
F182013,10,0,0.3,[33.90206733452527]
F182013,10,0,0.4,[25.421580191736723]
F182013,10,0,0.5,[22.577984802663934]
F182013,10,0,0.6,[21.812751415404136]
F182013,10,0,0.7,[21.495930514152292]
F182013,10,0,0.8,[21.41635539101975]
F182013,10,0,0.9,[20.732590600444496]
F182013,10,0,1.0,[20.673001289584533]
F182013,10,0,0.01,[363.67185332241024]
F182013,10,0,0.1,[47.454007272412696]
F182013,10,0,0.2,[43.59313492569993]
F182013,10,0,0.3,[35.39062506206767]
F182013,10,0,0.4,[26.312457377727412]
F182013,10,0,0.5,[24.442500210653293]
F182013,10,0,0.6,[23.16352882344472]
F182013,10,0,0.7,[20.4139216715231]
F182013,10,0,0.8,[18.75297484957332]
F182013,10,0,0.9,[16.424785824152877]
F182013,10,0,1.0,[16.424785824152877]
F182013,10,0,0.01,[363.641408595789]
F182013,10,0,0.1,[48.74662116156759]
F182013,10,0,0.2,[29.048082463824244]
F182013,10,0,0.3,[29.048082463824244]
F182013,10,0,0.4,[29.048082463824244]
F182013,10,0,0.5,[29.048082463824244]
F182013,10,0,0.6,[28.845532802540504]
F182013,10,0,0.7,[26.17080243087696]
F182013,10,0,0.8,[20.298308787986343]
F182013,10,0,0.9,[11.161863998029617]
F182013,10,0,1.0,[10.79694520347141]
F182013,10,0,0.01,[334.526777018835]
F182013,10,0,0.1,[40.516471365261225]
F182013,10,0,0.2,[25.471599913765658]
F182013,10,0,0.3,[19.948907000251495]
F182013,10,0,0.4,[19.600920386068026]
F182013,10,0,0.5,[16.091916616826325]
F182013,10,0,0.6,[16.023322059465272]
F182013,10,0,0.7,[15.210403446609007]
F182013,10,0,0.8,[15.21000210088107]
F182013,10,0,0.9,[14.986747306811026]
F182013,10,0,1.0,[14.973872623771626]
F182013,10,0,0.01,[276.76647874857304]
F182013,10,0,0.1,[53.79943878350821]
F182013,10,0,0.2,[47.633871415253]
F182013,10,0,0.3,[27.283396162941642]
F182013,10,0,0.4,[20.230442618696713]
F182013,10,0,0.5,[19.97595579006304]
F182013,10,0,0.6,[19.598286353673927]
F182013,10,0,0.7,[18.706990125956395]
F182013,10,0,0.8,[17.51831873730913]
F182013,10,0,0.9,[13.161568483896247]
F182013,10,0,1.0,[13.1424781696835]
F182013,10,0,0.01,[282.7614656849581]
F182013,10,0,0.1,[46.62840040577703]
F182013,10,0,0.2,[43.10253170912273]
F182013,10,0,0.3,[26.990791433326137]
F182013,10,0,0.4,[26.201838328464476]
F182013,10,0,0.5,[25.13621380340618]
F182013,10,0,0.6,[24.23490126916863]
F182013,10,0,0.7,[24.21076788222041]
F182013,10,0,0.8,[14.910092437215894]
F182013,10,0,0.9,[9.846454139317814]
F182013,10,0,1.0,[8.81848006951003]
F182013,10,0,0.01,[282.6595245079527]
F182013,10,0,0.1,[49.14053388115957]
F182013,10,0,0.2,[24.917975532153605]
F182013,10,0,0.3,[22.6826335764124]
F182013,10,0,0.4,[22.486808338021262]
F182013,10,0,0.5,[20.341877395299946]
F182013,10,0,0.6,[17.715634404218008]
F182013,10,0,0.7,[17.61008171881457]
F182013,10,0,0.8,[16.48221075779304]
F182013,10,0,0.9,[8.934501259001763]
F182013,10,0,1.0,[8.900109205531749]
F182013,10,0,0.01,[318.3997815512405]
F182013,10,0,0.1,[55.951100530874044]
F182013,10,0,0.2,[38.982375029299305]
F182013,10,0,0.3,[33.3720318798313]
F182013,10,0,0.4,[27.753396897080506]
F182013,10,0,0.5,[25.415937996413618]
F182013,10,0,0.6,[22.171994511590583]
F182013,10,0,0.7,[21.504503924455037]
F182013,10,0,0.8,[21.161889378438673]
F182013,10,0,0.9,[17.353603610925518]
F182013,10,0,1.0,[17.006352877415566]
F182013,10,0,0.01,[335.34374930312254]
F182013,10,0,0.1,[55.80606336893021]
F182013,10,0,0.2,[33.35093908485078]
F182013,10,0,0.3,[27.593352243245477]
F182013,10,0,0.4,[27.382586182534794]
F182013,10,0,0.5,[25.86900343638382]
F182013,10,0,0.6,[25.76978345103595]
F182013,10,0,0.7,[24.90038442938004]
F182013,10,0,0.8,[22.31062063673744]
F182013,10,0,0.9,[13.959785607096023]
F182013,10,0,1.0,[12.904191801621607]
F182013,10,0,0.01,[206.96726879891048]
F182013,10,0,0.1,[56.53672221116955]
F182013,10,0,0.2,[43.18983636779143]
F182013,10,0,0.3,[40.31404526350343]
F182013,10,0,0.4,[38.47472887196619]
F182013,10,0,0.5,[31.733535124561115]
F182013,10,0,0.6,[31.733535124561115]
F182013,10,0,0.7,[31.733535124561115]
F182013,10,0,0.8,[31.733535124561115]
F182013,10,0,0.9,[24.1991042075843]
F182013,10,0,1.0,[21.61609356989095]
F182013,10,0,0.01,[266.93512795275774]
F182013,10,0,0.1,[49.800440909461145]
F182013,10,0,0.2,[40.3713243665635]
F182013,10,0,0.3,[32.16897555413692]
F182013,10,0,0.4,[25.82372204883734]
F182013,10,0,0.5,[24.09880691219729]
F182013,10,0,0.6,[22.445711840491242]
F182013,10,0,0.7,[21.833983738388383]
F182013,10,0,0.8,[21.742298199358117]
F182013,10,0,0.9,[21.477716261290425]
F182013,10,0,1.0,[20.709332543635014]
F182013,10,0,0.01,[347.7721343034425]
F182013,10,0,0.1,[60.54022775439171]
F182013,10,0,0.2,[23.418405633798898]
F182013,10,0,0.3,[17.20821691311255]
F182013,10,0,0.4,[15.067604206066846]
F182013,10,0,0.5,[14.996388678461415]
F182013,10,0,0.6,[13.357910157649371]
F182013,10,0,0.7,[12.640415977832845]
F182013,10,0,0.8,[12.276402012330493]
F182013,10,0,0.9,[12.133957176842102]
F182013,10,0,1.0,[12.133957157375505]
F182013,10,0,0.01,[314.5391168233192]
F182013,10,0,0.1,[56.713339122265154]
F182013,10,0,0.2,[45.129974281038415]
F182013,10,0,0.3,[35.933411506982566]
F182013,10,0,0.4,[32.72782912292206]
F182013,10,0,0.5,[31.086005094141342]
F182013,10,0,0.6,[26.781353821556763]
F182013,10,0,0.7,[26.523746797296553]
F182013,10,0,0.8,[24.489889350278133]
F182013,10,0,0.9,[19.04508771391147]
F182013,10,0,1.0,[18.354028642347657]
F182013,10,0,0.01,[270.58308148180095]
F182013,10,0,0.1,[53.172171431109746]
F182013,10,0,0.2,[39.96468019070511]
F182013,10,0,0.3,[30.336158561619925]
F182013,10,0,0.4,[29.05669128451308]
F182013,10,0,0.5,[25.84279931009621]
F182013,10,0,0.6,[20.50124915323903]
F182013,10,0,0.7,[20.489788558238843]
F182013,10,0,0.8,[20.38465669278014]
F182013,10,0,0.9,[14.736759083108382]
F182013,10,0,1.0,[14.57023469776567]
F182013,10,0,0.01,[216.21369589723008]
F182013,10,0,0.1,[49.36581641476914]
F182013,10,0,0.2,[34.40616400768647]
F182013,10,0,0.3,[34.40616400768647]
F182013,10,0,0.4,[33.59429482093606]
F182013,10,0,0.5,[31.395490858935318]
F182013,10,0,0.6,[30.661020246588578]
F182013,10,0,0.7,[27.66783889211314]
F182013,10,0,0.8,[27.59288121881758]
F182013,10,0,0.9,[22.506940614409814]
F182013,10,0,1.0,[21.08443772745113]
F182013,10,0,0.01,[243.4028790639943]
F182013,10,0,0.1,[63.99697003509459]
F182013,10,0,0.2,[43.59798939860889]
F182013,10,0,0.3,[37.91995010465962]
F182013,10,0,0.4,[34.88473866468115]
F182013,10,0,0.5,[30.84839910709303]
F182013,10,0,0.6,[23.3371526297679]
F182013,10,0,0.7,[22.184272859622695]
F182013,10,0,0.8,[21.613666218914034]
F182013,10,0,0.9,[18.1549537566072]
F182013,10,0,1.0,[17.057101842858515]
F182013,10,0,0.01,[217.93571010460164]
F182013,10,0,0.1,[45.82966402972397]
F182013,10,0,0.2,[31.90876099845417]
F182013,10,0,0.3,[24.969192732114436]
F182013,10,0,0.4,[23.311120897080286]
F182013,10,0,0.5,[17.214130046404932]
F182013,10,0,0.6,[16.777542605937242]
F182013,10,0,0.7,[13.273552628829236]
F182013,10,0,0.8,[11.752129222543772]
F182013,10,0,0.9,[9.168090560440419]
F182013,10,0,1.0,[8.470825171968897]
F182013,10,0,0.01,[218.82660956666803]
F182013,10,0,0.1,[44.32999144920757]
F182013,10,0,0.2,[31.400356335801973]
F182013,10,0,0.3,[25.840627870375158]
F182013,10,0,0.4,[25.83970403417652]
F182013,10,0,0.5,[25.44143145615118]
F182013,10,0,0.6,[25.335208925620122]
F182013,10,0,0.7,[24.96085324637926]
F182013,10,0,0.8,[24.52659652590137]
F182013,10,0,0.9,[20.979562026512554]
F182013,10,0,1.0,[20.92019109387047]
F182013,10,0,0.01,[426.7525122319024]
F182013,10,0,0.1,[54.04816819483898]
F182013,10,0,0.2,[34.13471337695313]
F182013,10,0,0.3,[28.967576141393806]
F182013,10,0,0.4,[24.70243153000189]
F182013,10,0,0.5,[21.110562331138055]
F182013,10,0,0.6,[20.56199287074071]
F182013,10,0,0.7,[20.15987659910968]
F182013,10,0,0.8,[19.859247865130783]
F182013,10,0,0.9,[16.52265312310749]
F182013,10,0,1.0,[16.44349905854608]
F182013,10,0,0.01,[360.5627241473974]
F182013,10,0,0.1,[37.51573321028218]
F182013,10,0,0.2,[34.1537775068586]
F182013,10,0,0.3,[28.04155478545448]
F182013,10,0,0.4,[24.570022495447347]
F182013,10,0,0.5,[23.933166079157786]
F182013,10,0,0.6,[20.837788477487777]
F182013,10,0,0.7,[20.297295241494567]
F182013,10,0,0.8,[19.101378558691636]
F182013,10,0,0.9,[14.139894056170476]
F182013,10,0,1.0,[12.801973160821603]
F182013,10,0,0.01,[250.16720386294276]
F182013,10,0,0.1,[47.82839359114996]
F182013,10,0,0.2,[34.05928077715731]
F182013,10,0,0.3,[31.025026651644737]
F182013,10,0,0.4,[26.41476584678253]
F182013,10,0,0.5,[24.556306188794736]
F182013,10,0,0.6,[22.89149693184953]
F182013,10,0,0.7,[22.87365096937185]
F182013,10,0,0.8,[22.45665812662122]
F182013,10,0,0.9,[19.039614556747324]
F182013,10,0,1.0,[18.442374418342865]
F182013,10,0,0.01,[204.94871546293462]
F182013,10,0,0.1,[45.207797942357104]
