function,dimension,run,checkpoint,error
F42013,10,0,0.01,[20622.6181859348]
F42013,10,0,0.1,[17322.967431414458]
F42013,10,0,0.2,[12502.921057056448]
F42013,10,0,0.3,[10616.274930898928]
F42013,10,0,0.4,[9834.568933254506]
F42013,10,0,0.5,[7003.920550600735]
F42013,10,0,0.6,[4588.161570342588]
F42013,10,0,0.7,[2240.0286137752723]
F42013,10,0,0.8,[1464.7371217720804]
F42013,10,0,0.9,[1301.4821788939557]
F42013,10,0,1.0,[1280.049457102735]
F42013,10,0,0.01,[24073.99447486361]
F42013,10,0,0.1,[16353.714625500175]
F42013,10,0,0.2,[12364.94892956174]
F42013,10,0,0.3,[12364.94892956174]
F42013,10,0,0.4,[11693.250352738223]
F42013,10,0,0.5,[11498.144580143176]
F42013,10,0,0.6,[9275.509439564312]
F42013,10,0,0.7,[6384.48227145817]
F42013,10,0,0.8,[5970.440109198691]
F42013,10,0,0.9,[5549.8220355754065]
F42013,10,0,1.0,[5350.063544288926]
F42013,10,0,0.01,[27737.338077689412]
F42013,10,0,0.1,[16581.641195531192]
F42013,10,0,0.2,[16396.646130553803]
F42013,10,0,0.3,[15346.017467377953]
F42013,10,0,0.4,[15346.017467377953]
F42013,10,0,0.5,[12820.046725364786]
F42013,10,0,0.6,[10513.945839886195]
F42013,10,0,0.7,[6770.119703550679]
F42013,10,0,0.8,[5360.7414107718705]
F42013,10,0,0.9,[4662.5451834988535]
F42013,10,0,1.0,[2235.7941049752085]
F42013,10,0,0.01,[21706.441945168925]
F42013,10,0,0.1,[8646.402410152705]
F42013,10,0,0.2,[8526.59868592886]
F42013,10,0,0.3,[8453.357324078388]
F42013,10,0,0.4,[8453.357324078388]
F42013,10,0,0.5,[8409.679730977276]
F42013,10,0,0.6,[7648.90689035303]
F42013,10,0,0.7,[6253.074836005958]
F42013,10,0,0.8,[4245.022304634329]
F42013,10,0,0.9,[3299.995747104749]
F42013,10,0,1.0,[3237.9008553642993]
F42013,10,0,0.01,[14061.397064681254]
F42013,10,0,0.1,[13111.331798410769]
F42013,10,0,0.2,[12368.449999228547]
F42013,10,0,0.3,[8809.52851501808]
F42013,10,0,0.4,[8809.52851501808]
F42013,10,0,0.5,[4834.9195437687285]
F42013,10,0,0.6,[4834.825680559815]
F42013,10,0,0.7,[3309.8460921271662]
F42013,10,0,0.8,[2843.456615963165]
F42013,10,0,0.9,[2027.3163273269884]
F42013,10,0,1.0,[2019.4015222541673]
F42013,10,0,0.01,[17019.700772634482]
F42013,10,0,0.1,[16007.879538914925]
F42013,10,0,0.2,[15343.965312072685]
F42013,10,0,0.3,[12716.593280904746]
F42013,10,0,0.4,[11761.61086761586]
F42013,10,0,0.5,[7288.700667896483]
F42013,10,0,0.6,[6982.352114492464]
F42013,10,0,0.7,[4433.327079315282]
F42013,10,0,0.8,[2345.082960315408]
F42013,10,0,0.9,[959.4782755104159]
F42013,10,0,1.0,[959.3305808004136]
F42013,10,0,0.01,[44915.392531070334]
F42013,10,0,0.1,[20128.424944091188]
F42013,10,0,0.2,[14678.90262390734]
F42013,10,0,0.3,[9112.044725629095]
F42013,10,0,0.4,[9105.931225435452]
F42013,10,0,0.5,[7906.248382293862]
F42013,10,0,0.6,[7460.846759769029]
F42013,10,0,0.7,[4330.661229530562]
F42013,10,0,0.8,[2362.8671903713976]
F42013,10,0,0.9,[1509.8781762001502]
F42013,10,0,1.0,[1175.4813638214914]
F42013,10,0,0.01,[33848.45218806424]
F42013,10,0,0.1,[13663.419676364498]
F42013,10,0,0.2,[11934.525493230836]
F42013,10,0,0.3,[10441.074700199102]
